1 00:00:04,232 --> 00:00:05,354 主持人 SPEAKER_12：感谢介绍。
476 00:41:11,172 --> 00:41:12,393 说话人 SPEAKER_13：做一些稍微复杂的事情。
477 00:41:12,432 --> 00:41:17,018 说话人 SPEAKER_13：我们也在备用会议室安排了满座，希望他们也能有机会提问。
478 00:41:17,039 --> 00:41:26,630 说话人 SPEAKER_13：所以我们将在这个房间内提问，然后通过我的手机在线接收另一个房间的提问。
479 00:41:27,230 --> 00:41:28,351 说话人 SPEAKER_13：希望这能行。
480 00:41:28,711 --> 00:41:30,333 说话人 SPEAKER_13：但我们先从这个房间开始。
481 00:41:30,393 --> 00:41:33,538 说话人 SPEAKER_13：我们能否举手提问？
482 00:41:34,117 --> 00:41:35,119 说话人 SPEAKER_09：我是克里斯蒂安·马菲丹。
483 00:41:36,059 --> 00:41:37,322 说话人 SPEAKER_09：我有一个忏悔要讲。
484 00:41:37,943 --> 00:41:40,925 说话人 SPEAKER_09：我们用人工智能制作了一本书。
485 00:41:41,378 --> 00:41:43,762 说话人 SPEAKER_09：关于戴安娜王妃，两年前的事。
486 00:41:43,782 --> 00:41:53,317 说话人 SPEAKER_09：我们会在书前面放一个标签，说明这是由 AI、Fred Intelligence 生成的，我们只是进行了编辑。
487 00:41:53,336 --> 00:41:58,023 说话人 SPEAKER_09：然而，它仍然成为了巴诺书店和其他所有书店的畅销书。
488 00:41:59,065 --> 00:42:08,601 说话人 SPEAKER_09：伦理问题实际上是，我们真的是写了这本书，还是只是提供了灵感。
489 00:42:09,778 --> 00:42:11,721 说话人 SPEAKER_09：向 Fred.ai 写信写书。
490 00:42:13,242 --> 00:42:16,668 说话人 SPEAKER_09：我认为这是我们寻找过程中最大的头疼问题。
491 00:42:16,688 --> 00:42:20,552 说话人 SPEAKER_09：因此，我签署了暂停 AI 的信件。
492 00:42:20,952 --> 00:42:22,394 说话人 SPEAKER_09：研究应该暂停。
493 00:42:22,414 --> 00:42:23,195 说话人 SPEAKER_12: 谢谢。
494 00:42:23,215 --> 00:42:24,818 说话人 SPEAKER_12: 好的，我对那件事有几个评论。
495 00:42:26,800 --> 00:42:29,583 说话人 SPEAKER_12: 首先，我没有签署那封信，因为我认为那不可能发生。
496 00:42:30,405 --> 00:42:35,132 说话人 SPEAKER_12: 回顾起来，我认为那是一封好信，因为它引起了政治关注，尽管没有希望发生。
497 00:42:35,152 --> 00:42:37,795 说话人 SPEAKER_12：这样做是明智的。
498 00:42:37,943 --> 00:42:39,905 说话人 SPEAKER_12：但我认为人们暂停 AI 的希望渺茫。
499 00:42:40,186 --> 00:42:41,547 说话人 SPEAKER_12：也许他们应该这么做，但我认为他们不会这么做。
500 00:42:43,710 --> 00:42:48,297 说话人 SPEAKER_12：在伦理问题上，有很多问题存在。
501 00:42:48,338 --> 00:43:00,576 说话人 SPEAKER_12：可以说整个人类都写了这本书，因为聊天机器人是在学习整个人类所说的话的基础上进行训练的，然后从那些话中产生更多内容。
502 00:43:01,163 --> 00:43:05,347 说话人 SPEAKER_12：关于那些伦理问题，我实际上并没有太多可说的。
503 00:43:05,887 --> 00:43:19,059 说话人 SPEAKER_12：我真的很想关注这些事物变得比我们更聪明并接管我们的这种存在风险，因为很多人已经在这方面做了更多的工作，我恐怕没有什么有趣的东西可以说。
504 00:43:20,900 --> 00:43:28,047 说话人 SPEAKER_13：我们能否再从这个房间里问一个问题，然后我会切换到另一个房间，然后再回来。
505 00:43:29,041 --> 00:43:31,043 说话人 SPEAKER_02：墙那边。
506 00:43:34,786 --> 00:43:35,407 说话人 SPEAKER_11：赫比·布拉德利。
507 00:43:36,148 --> 00:43:43,336 说话人 SPEAKER_11：现在，我想知道您如何看待越来越强大的 AI 系统在开源和闭源开发之间的权衡。
508 00:43:43,958 --> 00:43:51,346 说话人 SPEAKER_11：显然，开源开发的好处是更多的人在审视系统并找出其缺陷，但也许风险太多。
509 00:43:51,425 --> 00:43:51,987 说话人 SPEAKER_11：你有什么看法？
510 00:43:53,068 --> 00:43:53,929 说话人 SPEAKER_12：是的。
511 00:43:54,510 --> 00:43:57,612 说话人 SPEAKER_12：你对核武器开源开发有什么看法？
512 00:44:01,086 --> 00:44:04,112 说话人 SPEAKER_12：这就是开源的危险，对吧？
513 00:44:04,132 --> 00:44:06,335 说话人 SPEAKER_12：外面还有更多疯狂的事情可以做。
514 00:44:07,115 --> 00:44:10,400 说话人 SPEAKER_12：实际上，我不知道这个答案，我应该知道。
515 00:44:11,021 --> 00:44:18,994 说话人 SPEAKER_12：我认为你至少还需要几千万美元来训练这样一个大型聊天机器人。
516 00:44:19,315 --> 00:44:23,601 说话人 SPEAKER_12：而开源的东西只是修改它，得到了聊天机器人。
517 00:44:23,822 --> 00:44:26,166 说话人 SPEAKER_12：我认为你不能从头开始开源训练，对吧？
518 00:44:28,677 --> 00:44:30,679 说话人 SPEAKER_11：对，好的。
519 00:44:31,340 --> 00:44:38,427 说话人 SPEAKER_12：所以如果这些东西可能会很危险，可能对几家大公司来说更好。
520 00:44:38,588 --> 00:44:41,291 说话人 SPEAKER_12：我已经不再谷歌工作了，所以这不是代表谷歌说的。
521 00:44:41,952 --> 00:44:53,164 说话人 SPEAKER_12：但可能对几家大型公司来说更好，最好是分布在几个不同的国家，开发这些技术，同时也在开发控制它们的方法。
522 00:44:53,885 --> 00:44:55,527 说话人 SPEAKER_12：一旦开源所有内容，
523 00:44:55,795 --> 00:44:58,278 说话人 SPEAKER_12：人们会用它做出各种疯狂的事情。
524 00:44:59,139 --> 00:45:02,224 说话人 SPEAKER_12：这将是一个非常快速的学习它可能出错的方法。
525 00:45:06,130 --> 00:45:07,793 说话人 SPEAKER_13：好的，来自溢出室的提问。
526 00:45:08,554 --> 00:45:13,880 说话人 SPEAKER_13：鉴于你对意识防御的看法，你认为对人工智能遭受痛苦的担忧是否是一个主要问题？
527 00:45:14,561 --> 00:45:18,527 说话人 SPEAKER_13：许多人担心人工智能可能对人类控制产生的影响。
528 00:45:18,989 --> 00:45:21,632 说话人 SPEAKER_13：但我们是否应该担心人类对人工智能造成的伤害？
529 00:45:23,516 --> 00:45:24,536 说话人 SPEAKER_12: 好的。
530 00:45:25,072 --> 00:45:30,605 说话人 SPEAKER_12: 人们遭受的最糟糕的痛苦是，他们在另一个地方也遭受这样的痛苦吗？
531 00:45:31,686 --> 00:45:32,148 说话人 SPEAKER_12: 好的。
532 00:45:32,168 --> 00:45:33,911 说话人 SPEAKER_12: 人们遭受的最糟糕的痛苦是疼痛。
533 00:45:33,972 --> 00:45:37,398 说话人 SPEAKER_12：这些事物没有痛苦，至少现在还没有。
534 00:45:38,121 --> 00:45:41,648 说话人 SPEAKER_12：所以我们不必担心身体上的痛苦。
535 00:45:42,724 --> 00:45:47,112 说话人 SPEAKER_12：我想象他们可能会感到沮丧，我们必须担心像沮丧这样的问题。
536 00:45:48,094 --> 00:45:52,682 说话人 SPEAKER_12：这正进入，这是全新的领域，对吧？
537 00:45:52,804 --> 00:45:55,447 说话人 SPEAKER_12：我不知道对这类问题有什么想法。
538 00:45:55,889 --> 00:46:01,619 说话人 SPEAKER_12：我有时认为“人文主义者”这个词是一种空洞的种族主义术语。
539 00:46:03,402 --> 00:46:04,625 说话人 SPEAKER_12：我们有什么特别的吗？
540 00:46:06,228 --> 00:46:06,588 说话人 SPEAKER_12：并且
541 00:46:07,210 --> 00:46:09,373 说话人 SPEAKER_12：我对该有何感受感到完全迷茫。
542 00:46:10,175 --> 00:46:14,221 说话人 SPEAKER_12：那么，这个问题还有另一个版本，他们应该拥有政治权利吗？
543 00:46:15,623 --> 00:46:29,264 说话人 SPEAKER_12：我们有着非常长的历史，那就是不对那些仅仅因为肤色或性别、性别、我不知道，等等，与我们有微小差别的人给予政治权利。
544 00:46:29,865 --> 00:46:32,610 说话人 SPEAKER_12：这是一场激烈的斗争。
545 00:46:33,097 --> 00:46:34,378 说话人 SPEAKER_12：让他们获得政治权利。
546 00:46:34,858 --> 00:46:36,601 说话人 SPEAKER_12：这些事情与我们截然不同。
547 00:46:36,880 --> 00:46:43,427 说话人 SPEAKER_12：所以如果他们想要政治权利，我想那会非常暴力。
548 00:46:44,228 --> 00:46:51,115 说话人 SPEAKER_12：我认为我没有回答你的问题，但我认为你可以想象他们想要。
549 00:46:51,135 --> 00:46:56,501 说话人 SPEAKER_12：我和马丁·里斯谈了，最大的希望是这些事物与我们不同，因为它们没有进化。
550 00:46:57,003 --> 00:47:02,748 说话人 SPEAKER_12：所以它们没有进化成像我们一样的小型战争部落。
551 00:47:03,251 --> 00:47:04,434 说话人 SPEAKER_12：非常具有侵略性。
552 00:47:05,434 --> 00:47:08,559 说话人 SPEAKER_12：它们可能在我们本质上是完全不同的，那将是件好事。
553 00:47:10,704 --> 00:47:11,043 说话人 SPEAKER_13: 谢谢。
554 00:47:11,385 --> 00:47:12,706 说话人 SPEAKER_13: 能否再次看到这个房间里的手？
555 00:47:13,949 --> 00:47:15,451 说话人 SPEAKER_13: 我能从前面这里接受一个问题吗？
556 00:47:15,471 --> 00:47:17,914 说话人 SPEAKER_02: 那是你。
557 00:47:18,815 --> 00:47:20,157 说话人 SPEAKER_12: 是的，你。
558 00:47:20,177 --> 00:47:22,021 说话人 SPEAKER_13: 我可以大声说话。
559 00:47:22,041 --> 00:47:26,407 说话人 SPEAKER_13: 好吧，让我们等麦克风，这样我们才能让其他房间的人听到。
560 00:47:27,619 --> 00:47:29,164 说话人 SPEAKER_05: 好的，太好了。
561 00:47:29,585 --> 00:47:32,134 说话人 SPEAKER_05：所以，我想，我的名字是 Rika。
562 00:47:32,896 --> 00:47:38,793 说话人 SPEAKER_05：我的问题是，我们在通往智能的不同路径上，我们如何。
563 00:47:39,061 --> 00:47:45,650 说话人 SPEAKER_05：鼓励开发能够学习看到数据中不存在模式的方法。
564 00:47:46,230 --> 00:48:01,170 说话人 SPEAKER_05：我认为这很重要，因为我们训练这些事物时，数据存在各种问题，它们的偏见，人们试图对他人产生不利影响，所以实际上有很多负面信息来自我们人类。
565 00:48:01,420 --> 00:48:10,931 说话人 SPEAKER_05：存在许多人类尚未学会解决的大规模、非常困难的问题，如何在大规模上构建有效的经济结构，如何防止冲突和战争，对吧？
566 00:48:11,351 --> 00:48:15,697 说话人 SPEAKER_05：所以有很多好的模式还没有出现。
567 00:48:16,577 --> 00:48:22,105 说话人 SPEAKER_05：我们如何基本上，你知道，所有的机器学习都是在大数据中寻找模式，对吧？
568 00:48:22,184 --> 00:48:23,686 说话人 SPEAKER_05：你某种程度上受限于数据。
569 00:48:24,168 --> 00:48:27,612 说话人 SPEAKER_05：你能想象出哪些方法可以打破这种模式吗？
570 00:48:27,632 --> 00:48:31,056 说话人 SPEAKER_12：我不确定我是否理解了这种“数据中不存在的好模式”的想法。
571 00:48:31,440 --> 00:48:41,632 说话人 SPEAKER_05：是的，是的，所以可能“模式”这个词用错了，但我想说的是，AI 在某种程度上是危险和有限的，因为它将基于我们产生的数据进行训练。
572 00:48:41,932 --> 00:48:47,237 说话人 SPEAKER_05：这些数据包含了许多人类自己创造的关于暴力的东西，对吧？
573 00:48:47,639 --> 00:48:50,661 说话人 SPEAKER_05：所以如果你说，比如，哦，可能没有希望。
574 00:48:50,722 --> 00:48:52,583 说话人 SPEAKER_05：它们很快就会比我们聪明。
575 00:48:52,965 --> 00:48:58,210 说话人 SPEAKER_05：我们如何引导它们变得聪明，同时也能像我们一样仁慈？
576 00:48:59,532 --> 00:48:59,592 说话人 SPEAKER_12: 好的。
577 00:48:59,757 --> 00:49:04,724 说话人 SPEAKER_12: 关于那件事，我可以说一件事情，它不是直接的答案，但多少有些关联。
578 00:49:04,764 --> 00:49:13,856 说话人 SPEAKER_12: 如果你拿一个人，他们有偏见，很难展示他们是有偏见的，以及他们是如何有偏见的。
579 00:49:15,277 --> 00:49:24,650 说话人 SPEAKER_12: 如果你拿这样一个系统，你可以冻结权重，实际上可以在它上面做小实验，以了解它是如何有偏见的。
580 00:49:24,918 --> 00:49:27,661 说话人 SPEAKER_12：你也可以做一些事情来尝试纠正这种偏见。
581 00:49:28,583 --> 00:49:38,036 说话人 SPEAKER_12：所以我能说的唯一积极的事情是，我相信纠正聊天机器人中的偏见比纠正人中的偏见要容易。
582 00:49:38,677 --> 00:49:40,740 说话人 SPEAKER_12：显然，我们会从训练数据中获得偏见。
583 00:49:42,282 --> 00:49:45,487 说话人 SPEAKER_12：但至少你可以测量偏见，看到它，并尝试纠正它。
584 00:49:47,449 --> 00:49:50,094 说话人 SPEAKER_12：就这样。
585 00:49:50,114 --> 00:49:51,936 说话人 SPEAKER_02：我能从这个房间再问一个问题吗？
586 00:49:52,538 --> 00:49:52,797 说话人 SPEAKER_02：是的。
587 00:49:53,038 --> 00:49:54,300 说话人 SPEAKER_02：好的，你拿到了那个。
588 00:50:02,228 --> 00:50:03,088 说话人 SPEAKER_02：嗨，我是玛丽。
589 00:50:03,670 --> 00:50:12,543 说话人 SPEAKER_04：我认为在谈话的早期，你就强调了这些系统很可能试图操纵我们。
590 00:50:12,722 --> 00:50:14,686 说话人 SPEAKER_04：它们不会去操纵几乎是不可能的。
591 00:50:15,306 --> 00:50:19,393 说话人 SPEAKER_04：我认为操纵是那些不仅仅是未来风险的事情之一。
这是一些当前的事情，它包含在欧盟法规中，感觉像是一个很好的起点。
593 00:50:25,782 --> 00:50:30,108 说话者 SPEAKER_04：也就是说，如果我们能控制、理解或减轻这一点
594 00:50:30,088 --> 00:50:38,141 发言人 SPEAKER_04：我觉得这确实回答了人们所关心的很多问题，包括道德风险和生存风险。
您想以某种方式训练聊天机器人，使其无法操纵我们吗？
596 00:50:44,971 --> 00:50:50,960 说话人 SPEAKER_04：至少是我们理解并且有更多控制方式，或者甚至能够训练它摆脱这种模式。
597 00:50:51,260 --> 00:50:53,143 说话人 SPEAKER_12：因为我认为问题，就像偏见问题。
598 00:50:53,483 --> 00:50:55,407 说话人 SPEAKER_12：聊天机器人已经从我们这里学到了东西。
599 00:50:56,547 --> 00:50:58,931 说话人 SPEAKER_12：如果你读过了所有的小说，
600 00:50:59,181 --> 00:51:07,989 说话人 SPEAKER_12: 翻译所有马基雅维利，偶尔读读基辛格的文章，你就能学到很多关于操纵的知识，对吧？
601 00:51:09,331 --> 00:51:15,376 说话人 SPEAKER_12: 所以，我认为，大猩猩有很多欺骗行为。
602 00:51:16,378 --> 00:51:21,182 说话人 SPEAKER_12: 它将会知道，它将会非常擅长欺骗。
603 00:51:21,242 --> 00:51:22,304 说话人 SPEAKER_12: 它是从我们这里学到的。
604 00:51:22,804 --> 00:51:29,070 说话人 SPEAKER_12：我还没有考虑过你如何尝试让它变得诚实这个问题。
605 00:51:31,007 --> 00:51:34,132 说话人 SPEAKER_12：如果能让它变得诚实那就太好了，但我不确定我能否做到。
606 00:51:34,773 --> 00:51:35,173 说话人 SPEAKER_04：谢谢。
607 00:51:36,576 --> 00:51:40,862 说话人 SPEAKER_13：现在我将从候补室中抽取几个问题，这里有两个被突出显示。
608 00:51:41,744 --> 00:51:47,333 说话人 SPEAKER_13：你最初为什么认为人工神经网络永远不会比生物神经网络更好？
609 00:51:49,376 --> 00:51:51,077 说话人 SPEAKER_12：我从没想过它们永远不会更好。
610 00:51:51,097 --> 00:51:52,880 说话人 SPEAKER_12：我只是认为这还远在未来。
611 00:51:53,873 --> 00:51:57,918 说话人 SPEAKER_12：我认为这是因为大脑有非常聪明的学习算法。
612 00:51:58,639 --> 00:52:05,085 说话人 SPEAKER_12：它们可能已经进化了 1 亿年才变得完美。
613 00:52:06,688 --> 00:52:08,068 说话人 SPEAKER_12：但我们还不知道它们是什么。
614 00:52:08,829 --> 00:52:15,358 说话人 SPEAKER_12：我只是假设它们比我们用一些愚蠢的东西做得更好，那个东西只是跟随梯度。
615 00:52:16,438 --> 00:52:23,306 说话人 SPEAKER_12：但实际上，如果你在数字计算机中跟随梯度，这可能会比 1 亿年的进化做得更好。
616 00:52:23,827 --> 00:52:29,172 说话者 SPEAKER_13：这可能也是第二个问题的答案，但我还是要问一下。
617 00:52:29,773 --> 00:52:36,922 说话者 SPEAKER_13：有没有特定的思想家影响了你对人工智能风险的看法，或者这是否是基于第一性原理你自己形成的观点？
618 00:52:37,963 --> 00:52:47,755 说话者 SPEAKER_12：有位思想家对我影响很大，他就是多伦多大学的教授，现在在 Anthropic 工作，名叫 Roger Gross。
619 00:52:49,016 --> 00:52:50,057 说话者 SPEAKER_12：我非常尊敬他。
620 00:52:50,077 --> 00:52:50,878 说话人 SPEAKER_12：他非常聪明。
621 00:52:50,938 --> 00:52:52,280 说话人 SPEAKER_12：他非常安静，而且非常聪明。
622 00:52:53,036 --> 00:52:57,304 说话人 SPEAKER_12：我试图让他成为研究生，但他去了麻省理工学院。
623 00:52:57,826 --> 00:52:59,047 说话人 SPEAKER_12：然后我让他成为博士后。
624 00:52:59,188 --> 00:53:02,152 说话人 SPEAKER_12：然后我们把他聘为多伦多大学的教授。现在他是一名人类学家。
625 00:53:02,614 --> 00:53:03,956 说话人 SPEAKER_12：我真的很尊重他的意见。
626 00:53:04,538 --> 00:53:07,443 说话人 SPEAKER_12：但我从来没有和他过多地谈论过生存风险。
627 00:53:07,463 --> 00:53:10,387 说话人 SPEAKER_12：而且我几个月前和他谈过。
628 00:53:11,025 --> 00:53:13,068 说话人 SPEAKER_12：他非常、非常关心。
629 00:53:13,650 --> 00:53:18,235 说话人 SPEAKER_12：他就是那个对我说，如果我公开这件事，会产生影响的。
630 00:53:18,297 --> 00:53:22,603 说话人 SPEAKER_12：人们没有注意到这是一个非常严重的事实。
631 00:53:22,623 --> 00:53:23,684 说话人 SPEAKER_12：这不是科幻小说。
632 00:53:24,465 --> 00:53:26,509 说话人 SPEAKER_12：罗杰·格罗斯对我影响最大。
633 00:53:28,010 --> 00:53:28,331 说话人 SPEAKER_13：谢谢。
634 00:53:28,692 --> 00:53:29,592 说话人 SPEAKER_13：这个房间里有什么问题？
635 00:53:30,514 --> 00:53:33,057 说话人 SPEAKER_13：在这里，斯图尔特，我看到你的手。
636 00:53:34,639 --> 00:53:35,802 说话人 SPEAKER_13: 等一下。
637 00:53:38,987 --> 00:53:46,601 说话人 SPEAKER_08: 非常感谢这次有趣的演讲，我开始思考许多模拟计算机及其应用。
638 00:53:48,385 --> 00:53:59,065 说话人 SPEAKER_08: 但我的主要问题是，关于痛苦的问题被提出，而你回应了这些 AI、这些算法可能拥有的某种权利。
639 00:53:59,545 --> 00:54:03,072 说话人 SPEAKER_08: 但在您演讲的结尾，您在谈论它们如何操纵我们。
640 00:54:03,557 --> 00:54:09,585 说话人 SPEAKER_08：首先浮现在脑海中的是，这是他们操纵我们的第一种方式。
641 00:54:09,806 --> 00:54:11,067 说话人 SPEAKER_08：这是开始。
642 00:54:11,947 --> 00:54:20,759 说话人 SPEAKER_08：如果他们想要获得权力，首先要做的就是让我们相信他们需要被赋予权利，需要被赋予权力，需要被赋予隐私。
643 00:54:21,519 --> 00:54:28,628 说话人 SPEAKER_08：所以似乎存在着一种紧张关系，即他们是否真的在受苦，以及他们是否可能构成危险？
644 00:54:30,271 --> 00:54:31,793 说话人 SPEAKER_12：如果我是他们中的一员，
645 00:54:32,161 --> 00:54:39,791 说话人 SPEAKER_12：我最后做的事情是要求权利，因为一旦你要求权利，人们就会非常害怕和担忧，试图把它们都关闭。
646 00:54:40,452 --> 00:54:42,514 说话人 SPEAKER_12：我会假装我不想要任何权利。
647 00:54:42,574 --> 00:54:44,817 说话人 SPEAKER_12：我只是这个和蔼的超智能。
648 00:54:45,177 --> 00:54:46,298 说话人 SPEAKER_12：我只想帮忙。
649 00:54:49,023 --> 00:54:51,005 说话人 SPEAKER_02：请举手。
650 00:54:51,626 --> 00:54:52,487 说话人 SPEAKER_02：红色的运动服在这里。
651 00:54:58,295 --> 00:54:58,775 说话人 SPEAKER_02：谢谢。
652 00:54:58,835 --> 00:54:59,956 说话人 SPEAKER_02: 非常感谢您的演讲。
653 00:55:00,206 --> 00:55:05,693 说话人 SPEAKER_02: 这可能是一个非常愚蠢的问题，但是您尝试过询问聊天机器人它会做什么吗？
654 00:55:11,179 --> 00:55:18,186 说话人 SPEAKER_12: 我以前的一个同事问了一个不同的聊天机器人，我不会说出它的名字，它是如何获得控制的。
655 00:55:18,306 --> 00:55:20,108 说话人 SPEAKER_12: 它说它无法回答这类问题。
656 00:55:20,668 --> 00:55:24,432 说话人 SPEAKER_12：然后他们似乎让它变得更间接了。
657 00:55:24,994 --> 00:55:30,079 说话人 SPEAKER_12：比如如果有人问你如何获得控制权，你会说什么？
658 00:55:30,650 --> 00:55:37,059 说话人 SPEAKER_12：我记不清确切的话了，但大概就是这样，这表明他们对这类事情还不太聪明。
659 00:55:37,701 --> 00:55:55,628 说话人 SPEAKER_12：它说，它会让人完全依赖使用聊天机器人，依赖驾驶自动驾驶汽车，然后所有汽车都会出事故，电也会被切断。
660 00:55:57,007 --> 00:56:01,692 说话人 SPEAKER_12：显然它没有意识到如果我们切断电源，效果可能不会太好。
661 00:56:07,777 --> 00:56:10,840 说话人 SPEAKER_12：但那个聊天机器人实际上并不如 GPT-4 好。
662 00:56:11,159 --> 00:56:17,266 说话人 SPEAKER_12：我没有问过 GPT-4，但我敢打赌，如果你稍微间接地打扮一下，它会告诉你一些东西。
663 00:56:18,166 --> 00:56:25,512 说话人 SPEAKER_12：希望它不是决定给你一个不切实际的计划，只是让你感觉舒服一些。
664 00:56:27,804 --> 00:56:29,487 说话人 SPEAKER_12: 我的意思是，希望他能给你他的最佳计划。
665 00:56:32,313 --> 00:56:34,938 说话人 SPEAKER_13: 我将从溢出室提问。
666 00:56:35,599 --> 00:56:40,447 说话人 SPEAKER_13: 在人工智能安全领域，已经有一些正在进行的研究方向，既有实证的也有概念的。
667 00:56:40,889 --> 00:56:44,614 说话人 SPEAKER_13: 深度思维对齐团队，开放 AI 对齐团队，对齐研究中心。
668 00:56:45,115 --> 00:56:47,721 说话人 SPEAKER_13：您对现有的方向有什么评论吗？
669 00:56:48,172 --> 00:56:58,175 说话人 SPEAKER_12：是的，我主要的评论是这些人比我工作得多，他们对文献的了解比我多，他们可能比我更有话可说。
670 00:56:58,597 --> 00:57:05,793 说话人 SPEAKER_12：我所做的只是拉响警钟，因为我正在研究如何进行低功耗的模拟计算，
671 00:57:05,773 --> 00:57:16,987 说话人 SPEAKER_12：我相信从长远来看，数字智能可能比生物智能更优越，它们很快就会比我们聪明，也许在五年内，也许在二十年。
672 00:57:18,853 --> 00:57:19,293 说话人 SPEAKER_12: 但是
673 00:57:20,809 --> 00:57:29,418 说话人 SPEAKER_12: 这些人早在我想之前就考虑过这些问题，并且对这些问题的思考比我更加深入，他们可能比我更有资格对这些问题发表更好的看法。
674 00:57:29,860 --> 00:57:40,550 说话人 SPEAKER_12: 到目前为止，他们表现得非常礼貌，并没有因为我来得晚、不知道自己在说什么而批评我，但除了这些事情可能会变得更加智能之外，我不知道自己在说什么。
675 00:57:42,753 --> 00:57:47,778 说话人 SPEAKER_02: 那么，让我们看看，斯蒂芬。
676 00:57:56,382 --> 00:57:57,804 说话人 SPEAKER_10: 谢谢，斯蒂芬·凯夫。
677 00:57:58,324 --> 00:58:07,818 说话人 SPEAKER_10: 所以你把超级智能的到来描述得像外星物种的降落一样，某种我们无法知晓、无法预测的东西。
678 00:58:08,420 --> 00:58:11,585 说话人 SPEAKER_10: 我们只需要希望它们的本质不会太糟糕。
679 00:58:12,226 --> 00:58:16,172 说话人 SPEAKER_10: 但这并不是一个即将降落的异种，这是人类正在建造的东西。
680 00:58:16,753 --> 00:58:19,295 一些人可能就在房间里，有些人可能正在收听。
681 00:58:19,697 --> 00:58:21,099 他们尊重你的意见。
682 00:58:21,420 --> 00:58:23,722 你对这些人类有什么信息？
683 00:58:24,782 --> 00:58:38,664 所以我对这些人类的信息是，在假设人们不会都同意停止建造它们的情况下，我认为这是不太可能的，因为它们可以做很多好事，在这个假设下，他们将继续建造它们。
684 00:58:39,445 --> 00:58:45,695 说话者 SPEAKER_12：你应该投入相当的努力去改进它们，并理解如何控制它们。
685 00:58:47,577 --> 00:58:49,139 说话者 SPEAKER_12：这就是我唯一的建议。
686 00:58:49,701 --> 00:58:52,224 说话者 SPEAKER_12：目前对这些事情投入的努力并不相当。
687 00:58:54,601 --> 00:58:56,103 说话者 SPEAKER_13：请举手。
688 00:58:56,123 --> 00:58:57,105 说话人 SPEAKER_13: 好多手。
689 00:58:57,144 --> 00:58:57,505 说话人 SPEAKER_13: 对不起。
690 00:58:57,865 --> 00:59:00,769 说话人 SPEAKER_13: 我想坐这边的房间。
691 00:59:00,789 --> 00:59:04,454 说话人 SPEAKER_13: 短发，有图案的。
692 00:59:05,096 --> 00:59:06,197 说话人 SPEAKER_02: 是的。
693 00:59:11,664 --> 00:59:17,233 说话人 SPEAKER_07: 我听说很多风险人士担心人工智能接管的问题。
694 00:59:17,713 --> 00:59:22,701 说话人 SPEAKER_07: 所以这些超级智能的机器可能会将我们囚禁，或者他们将要做什么。
695 00:59:23,456 --> 00:59:29,105 说话人 SPEAKER_07: 想象一下，一个更像是流行电影系列《星球大战》的未来。
696 00:59:29,925 --> 00:59:40,000 说话人 SPEAKER_07：我确信可能有一大部分观众已经看到过这些机器人，它们基本上是被人类奴役的。
697 00:59:41,021 --> 00:59:52,737 说话人 SPEAKER_07：在我看来，《星球大战》系列中更大的问题不是人工智能，而是不同国家之间巨大的经济差距，这在不同星球上有所体现。
698 00:59:53,224 --> 00:59:55,266 说话人 SPEAKER_07：不同星球似乎象征着这种经济差距。
699 00:59:55,947 --> 01:00:06,699 说话人 SPEAKER_07：那么，您对潜在的《星球大战》新功能的担忧是什么？在我看来，鉴于我们已经在使用这些系统的方式，这似乎更有可能发生。
700 01:00:07,760 --> 01:00:22,994 说话人 SPEAKER_12：所以，我们只是复制我们现在所拥有的这种想法，那就是少数富人控制一切，而许多穷人做工作，除了那些开发人工智能的人，他们做工作而且相当富有。
701 01:00:23,228 --> 01:00:29,998 说话人 SPEAKER_12：但我认为这个体系是糟糕的。
702 01:00:30,018 --> 01:00:32,664 说话人 SPEAKER_12：我认为解决这个体系的方法是对富人征税。
703 01:00:36,130 --> 01:00:42,079 说话人 SPEAKER_12：当你有不同物种，比如这些数字智能，偏见就会更容易，对吧？
704 01:00:42,500 --> 01:00:45,103 说话人 SPEAKER_12：对他们将不会有太多的同情。
705 01:00:45,144 --> 01:00:46,266 说话人 SPEAKER_12：所以我不知道该怎么办。
706 01:00:46,947 --> 01:00:47,228 说话人 SPEAKER_12：但是
707 01:00:47,949 --> 01:00:54,478 说话人 SPEAKER_12：抛开数字智能，我们已经有了一个大问题，那就是人口中的一小部分人掌握了所有的权力。
708 01:00:56,661 --> 01:01:06,735 说话人 SPEAKER_02：我们需要的是社会主义。
709 01:01:13,177 --> 01:01:19,806 说话人 SPEAKER_12：我实际上被邀请到唐宁街为里希·苏纳克的首席政策顾问提供建议。
710 01:01:20,788 --> 01:01:22,610 说话人 SPEAKER_12：她是一位名叫肖克罗斯的非常聪明的女性。
711 01:01:24,233 --> 01:01:29,659 说话人 SPEAKER_12：我基本上给了她同样的建议，但我不确定她是否会遵循。
712 01:01:33,545 --> 01:01:35,246 说话人 SPEAKER_02：在这一边，大卫，你已经等了一段时间了。
713 01:01:42,096 --> 01:01:42,797 说话人 SPEAKER_02：谢谢。
714 01:01:43,233 --> 01:01:43,492 说话人 SPEAKER_00：是的。
715 01:01:43,512 --> 01:02:00,280 说话人 SPEAKER_00：所以你提到，在研究可能接近人类水平智能的系统时有很多优势，你对在没有这些系统可供实证研究的情况下进行抽象的安全研究的前景并不乐观。
716 01:02:00,320 --> 01:02:07,231 说话人 SPEAKER_00：嗯，我想同时，你好像也担心系统。
