1 00:00:00,318 --> 00:00:05,626 早上好，下午好，晚上好，取决于你在世界的哪个地方。
445 00:49:44,054 --> 00:49:47,376 Speaker SPEAKER_01: So Ting discovered he could get very good representations from SimClear.  
446 00:49:48,739 --> 00:49:54,925 Speaker SPEAKER_01: You do unsupervised learning this way, and then you train a linear classifier on top of the representation.  
447 00:49:55,445 --> 00:49:57,146 Speaker SPEAKER_01: That is the layer before the end here.  
448 00:49:57,807 --> 00:50:00,130 Speaker SPEAKER_01: That was another thing Ting discovered made it work much better.  
449 00:50:02,773 --> 00:50:06,215 Speaker SPEAKER_01: And what you get is very good unsupervised learning.  
450 00:50:07,177 --> 00:50:14,043 Speaker SPEAKER_01: So what I'm showing you here is how well SimClear works compared with other methods from six months ago.  
451 00:50:15,525 --> 00:50:25,230 Speaker SPEAKER_01: And the way you evaluate them is you take the representations that they learn unsupervised, and then you apply a linear classifier on ImageNet to see how well you do.  
452 00:50:25,250 --> 00:50:28,518 Speaker SPEAKER_01: And SimClear does better than the other methods.  
453 00:50:29,400 --> 00:50:32,487 Speaker SPEAKER_01: Since then, the other methods have improved, but SimClear has also improved.  
454 00:50:33,514 --> 00:50:48,311 Speaker SPEAKER_01: And what you notice is that if you use a big SimClear net, it extracts representations that are as good as the representations learned in 2012 by the AlexNet that made a big revolution by showing supervised learning on ImageNet can do very good classification.  
455 00:50:50,873 --> 00:51:02,947 Speaker SPEAKER_01: So simply applying a linear classifier, just one layer of weights to the unsupervised representations extracted by SimClear does as well as supervised learning  
456 00:51:05,458 --> 00:51:08,402 Speaker SPEAKER_00: but you have to use a deeper net and you have to use more parameters.  
457 00:51:10,706 --> 00:51:22,461 Speaker SPEAKER_01: Alternatively, you can take the representation extracted unsupervised by SimClear, and then you can fine tune the whole net, but only 1% of the labels.  
458 00:51:23,643 --> 00:51:27,889 Speaker SPEAKER_01: And now SimClear again, does as well as the 2012 AlexNet.  
459 00:51:28,914 --> 00:51:42,690 Speaker SPEAKER_01: So basically what's happened in the eight years since 2012 is by using much more computation and much bigger nets, much deeper nets and much wider nets, we can now get the same performance with only 1% of the data labels.  
460 00:51:43,632 --> 00:51:49,860 Speaker SPEAKER_01: And that's because we can do effective unsupervised learning.  
461 00:51:49,880 --> 00:51:50,219 Speaker SPEAKER_01: Okay.  
462 00:51:51,121 --> 00:51:54,043 Speaker SPEAKER_01: I was going to say more things, but I've run out of time.  
463 00:51:55,005 --> 00:51:56,708 Speaker SPEAKER_01: So I will leave it there.  
464 00:51:57,929 --> 00:51:58,769 Speaker SPEAKER_00: That's the end of my talk.  
465 00:52:00,438 --> 00:52:04,063 Speaker SPEAKER_00: Thank you.  
466 00:52:04,083 --> 00:52:05,847 Speaker SPEAKER_00: I'm going to try and unshare my screen now.  
467 00:52:10,034 --> 00:52:13,559 Speaker SPEAKER_03: A visionary talk, and now it's Q&A time.  
468 00:52:14,400 --> 00:52:16,123 Speaker SPEAKER_03: The first question from Thorsten.  
469 00:52:16,905 --> 00:52:18,809 Speaker SPEAKER_03: Professor Thorsten, could you?  
470 00:52:18,829 --> 00:52:20,771 Speaker SPEAKER_04: Yeah.  
471 00:52:20,811 --> 00:52:21,052 Speaker SPEAKER_04: Thank you.  
472 00:52:21,072 --> 00:52:23,255 Speaker SPEAKER_04: That was a fascinating talk.  
473 00:52:24,467 --> 00:52:29,291 Speaker SPEAKER_04: Many of the techniques that you talked about would be extremely useful in recommender systems.  
474 00:52:29,371 --> 00:52:38,280 Speaker SPEAKER_04: For example, recommender system for this conference that would learn about the semantic relationships between the papers and the interests of the authors and participants.  
475 00:52:39,400 --> 00:52:50,431 Speaker SPEAKER_04: But typically, these systems also have additional constraints like policy rules, for example, that we want to feature student papers at this conference.  
476 00:52:50,451 --> 00:52:54,153 Speaker SPEAKER_04: Or if you go to company settings, there may be business policies  
477 00:52:55,061 --> 00:53:01,550 Speaker SPEAKER_04: Now, one could, of course, have second stages that would take care of these policies.  
478 00:53:01,652 --> 00:53:15,592 Speaker SPEAKER_04: But can you think of, you know, or do you envision that it would at some point be possible to just have a kind of end to end deep network solution where you could feed the policies, as well as the data.  
479 00:53:16,353 --> 00:53:19,197 Speaker SPEAKER_04: So rules that would be fulfilled as well.  
480 00:53:20,257 --> 00:53:21,579 Speaker SPEAKER_01: I think that should be possible.  
481 00:53:21,840 --> 00:53:27,510 Speaker SPEAKER_01: But what you're going to have to do is you're going to have to put your policies into the objective function that gets optimized.  
482 00:53:28,092 --> 00:53:35,106 Speaker SPEAKER_01: And typically what happens when you do that is you discover that what you thought was your policy wasn't actually your policy.  
483 00:53:35,586 --> 00:53:38,974 Speaker SPEAKER_01: Then you discover that by seeing weird counterexamples.  
484 00:53:38,954 --> 00:53:40,478 Speaker SPEAKER_01: And so it's an iterative process.  
485 00:53:41,199 --> 00:53:51,041 Speaker SPEAKER_01: You try and formalize your policy as we want to get, we want to recommend things, but we want to preferentially recommend things by students.  
486 00:53:51,903 --> 00:53:54,550 Speaker SPEAKER_01: And so you give some preferential weight to a student.  
487 00:53:54,530 --> 00:53:59,635 Speaker SPEAKER_01: And then you discover that, well, actually, no, there's this very well-known student.  
488 00:54:00,117 --> 00:54:02,659 Speaker SPEAKER_01: And now all the things you recommended by this well-known student.  
489 00:54:02,679 --> 00:54:03,820 Speaker SPEAKER_01: So you didn't really mean that.  
490 00:54:04,202 --> 00:54:10,349 Speaker SPEAKER_01: What you meant was you want to recommend things by, preferentially recommend things by students who aren't already well-known.  
491 00:54:11,891 --> 00:54:17,617 Speaker SPEAKER_01: But as long as you're willing to go through all those cycles of gradually refining what your policy really is,  
492 00:54:18,661 --> 00:54:27,315 Speaker SPEAKER_01: which you don't actually know until you see things, because we think we can make rules about what our policies are, but you then see counter examples and you have to refine them.  
493 00:54:27,355 --> 00:54:33,644 Speaker SPEAKER_01: As long as you're willing to do that, which is where a lot of work is, then I think you could make end-to-end recommender systems that do that, yes.  
494 00:54:35,266 --> 00:54:35,608 Speaker SPEAKER_03: Thank you.  
495 00:54:37,952 --> 00:54:45,023 Speaker SPEAKER_03: Okay, the next question, Professor Ai Jing An, could you please ask your question?  
496 00:54:46,740 --> 00:54:49,606 Speaker SPEAKER_01: Let's go on to another question and come back to him when he's figured.  
497 00:54:49,626 --> 00:54:50,447 Speaker SPEAKER_03: Okay.  
498 00:54:50,527 --> 00:54:57,057 Speaker SPEAKER_03: So here is the one question, you know, by text from Professor Han Barst.  
499 00:54:57,978 --> 00:54:59,561 Speaker SPEAKER_03: She raised this question through text.  
500 00:55:00,422 --> 00:55:09,538 Speaker SPEAKER_03: His question to Professor Hinton is, why do you believe that brain does not learn while backpropagation?  
501 00:55:10,860 --> 00:55:11,922 Speaker SPEAKER_01: Okay.  
502 00:55:12,172 --> 00:55:17,179 Speaker SPEAKER_01: Yes, over many years, I keep changing my beliefs about this.  
503 00:55:18,360 --> 00:55:25,751 Speaker SPEAKER_01: So to begin with, I thought probably it doesn't because it's hard to see how we could get the information to come back through many layers in real time.  
504 00:55:26,873 --> 00:55:30,338 Speaker SPEAKER_01: So when you're doing perception, you need to pipeline things, right?  
505 00:55:31,219 --> 00:55:35,585 Speaker SPEAKER_01: Video is coming in and you can't just stop and go backwards to get derivatives.  
506 00:55:36,045 --> 00:55:37,507 Speaker SPEAKER_01: You need to deal with things in real time.  
507 00:55:38,588 --> 00:55:41,233 Speaker SPEAKER_01: So that's one argument against doing back propagation.  
508 00:55:41,280 --> 00:55:47,106 Speaker SPEAKER_01: I don't really believe the arguments neuroscientists come up with, which say it's sort of impossible for the brain to do.  
509 00:55:48,668 --> 00:55:50,248 Speaker SPEAKER_01: If the brain needed to do it, it could do it.  
510 00:55:51,710 --> 00:55:53,010 Speaker SPEAKER_01: But I think there are alternatives.  
511 00:55:53,452 --> 00:56:00,797 Speaker SPEAKER_01: And more recently, then I went through a period of thinking the brain must do back propagation, because that's the right way to learn early feature detectors.  
512 00:56:01,818 --> 00:56:10,646 Speaker SPEAKER_01: And then when work from Google and from open AI started producing really powerful language models,  
513 00:56:11,284 --> 00:56:22,594 Speaker SPEAKER_01: like the really big models from Google and GPT-3 from OpenAI, I became suspicious because those language models use very few parameters.  
514 00:56:23,275 --> 00:56:30,242 Speaker SPEAKER_01: Like the language model from OpenAI only uses 175 billion parameters.  
515 00:56:30,943 --> 00:56:38,710 Speaker SPEAKER_01: Now you might think 175 billion is a lot, but that's only about a fifth of a CC of brain tissue.  
516 00:56:39,449 --> 00:56:44,581 Speaker SPEAKER_01: And with a fifth of a cc of brain tissue, it seems to be able to learn a huge amount of information.  
517 00:56:46,224 --> 00:56:53,862 Speaker SPEAKER_01: Another way of saying it is the GPT-3 model would show up as just a few voxels in a brain scan.  
518 00:56:55,327 --> 00:57:00,177 Speaker SPEAKER_01: And I don't believe just a few voxels have all that information in them.  
519 00:57:00,197 --> 00:57:07,750 Speaker SPEAKER_01: So I think backpropagation running for a thousand petaflop days is actually a more effective algorithm than the brain's got.  
520 00:57:08,550 --> 00:57:14,501 Speaker SPEAKER_01: I think the brain does have a way of getting information back through many layers, but maybe it doesn't do it in real time.  
521 00:57:14,481 --> 00:57:18,228 Speaker SPEAKER_01: And maybe it's not as effective as backpropagation.  
522 00:57:18,427 --> 00:57:19,610 Speaker SPEAKER_01: So that's what I currently believe.  
523 00:57:20,231 --> 00:57:30,106 Speaker SPEAKER_01: And in fact, at the end of this week, I'm going to give a talk at the Cognitive Science Conference, which is very similar to the talk I gave here, but it has less detail than I gave here.  
524 00:57:30,867 --> 00:57:36,235 Speaker SPEAKER_01: But in the last part of it, I briefly outline how I think the brain might be able to do something other than backpropagation.  
525 00:57:36,856 --> 00:57:37,637 Speaker SPEAKER_01: And I'll leave it at that.  
526 00:57:41,025 --> 00:57:42,927 Speaker SPEAKER_02: There's some question from the audience.  
527 00:57:43,228 --> 00:57:45,010 Speaker SPEAKER_02: Maybe Yi, you can read it.  
528 00:57:46,512 --> 00:57:51,719 Speaker SPEAKER_03: Yeah, one more question from Kevin.  
529 00:57:53,320 --> 00:57:57,246 Speaker SPEAKER_03: The question is, any ALP models are trained by tax corpors?  
530 00:57:57,766 --> 00:58:03,273 Speaker SPEAKER_03: The question is, Professor Hendon, do you think we can train ALP models by vision?  
531 00:58:04,675 --> 00:58:06,476 Speaker SPEAKER_03: I think the question is.  
532 00:58:06,523 --> 00:58:12,971 Speaker SPEAKER_01: Yeah, I have two people who work in my lab called Jamie Kiros and William Chan.  
533 00:58:14,032 --> 00:58:23,443 Speaker SPEAKER_01: And they kindly put my name on a paper, which I didn't have much to do with, which is learning better representations for words by also using vision.  
534 00:58:23,503 --> 00:58:35,956 Speaker SPEAKER_01: So their idea was take the word and do image search, and then try and find embedding in Google, and then try and find embeddings  
535 00:58:36,088 --> 00:58:45,101 Speaker SPEAKER_01: that are good for both the typical image for that word and the text that contains that word.  
536 00:58:45,561 --> 00:58:47,983 Speaker SPEAKER_01: And they showed that they could get slightly better embeddings that way.  
537 00:58:48,764 --> 00:58:49,967 Speaker SPEAKER_01: The system was called PictureBook.  
538 00:58:50,768 --> 00:59:05,606 Speaker SPEAKER_01: And yes, I believe that it's very impressive what GPT-3 can do, but I think it would be able to do even better if it was hearing sentences describing scenes that it was seeing.  
539 00:59:05,586 --> 00:59:10,632 Speaker SPEAKER_01: And more recently, the same technique, or very similar techniques, have been applied to images.  
540 00:59:11,152 --> 00:59:12,875 Speaker SPEAKER_01: And they're very good now at completing images.  
541 00:59:13,476 --> 00:59:20,864 Speaker SPEAKER_01: Instead of you giving them some text and then giving you the next bit of text, you can give them part of an image, and they will fill in the rest of the image.  
542 00:59:21,545 --> 00:59:23,126 Speaker SPEAKER_01: And it's extremely impressive what it does.  
543 00:59:23,786 --> 00:59:25,048 Speaker SPEAKER_01: And so clearly, it can do both.  
544 00:59:25,228 --> 00:59:28,952 Speaker SPEAKER_01: It can learn to do both images and text combined.  
545 00:59:29,452 --> 00:59:31,615 Speaker SPEAKER_01: And that ought to be better for learning what's really going on.  
546 00:59:32,797 --> 00:59:35,340 Speaker SPEAKER_01: It's amazing you can learn anything from just text by itself.  
547 00:59:36,804 --> 00:59:40,547 Speaker SPEAKER_02: Okay, yeah, I found one question from audience.  
548 00:59:40,849 --> 00:59:41,789 Speaker SPEAKER_02: It's a bit long.  
549 00:59:42,389 --> 00:59:44,472 Speaker SPEAKER_02: Should I read it or you read it?  
550 00:59:44,492 --> 00:59:45,032 Speaker SPEAKER_02: Okay Okay.  
551 00:59:45,893 --> 00:59:46,393 Speaker SPEAKER_03: Okay.  
552 00:59:47,153 --> 00:59:54,460 Speaker SPEAKER_02: Yeah Professor Hinton, do you think that IR problems are more subjective?  
553 00:59:54,481 --> 01:00:06,811 Speaker SPEAKER_02: Such as people can have different opinions about IR systems result than they can have judge Judging the content of an image or the translation of a sentence  
554 01:00:07,822 --> 01:00:16,016 Speaker SPEAKER_02: so that there isn't much progress of the deep neural networks in this area compared to the NLP and the computer vision.  
555 01:00:18,061 --> 01:00:20,945 Speaker SPEAKER_01: Okay, so I sort of have two things to say about that.  
556 01:00:21,586 --> 01:00:29,121 Speaker SPEAKER_01: The first thing is, if you do good work in one area, like how to get neural networks to learn things,  
557 01:00:30,045 --> 01:00:33,329 Speaker SPEAKER_01: particularly if you win an award, people then think you're an expert on everything.  
558 01:00:33,750 --> 01:00:35,271 Speaker SPEAKER_01: And I'm not an expert on IR.  
559 01:00:36,032 --> 01:00:42,039 Speaker SPEAKER_01: So I was slightly embarrassed to be talking to this conference because I don't really know that much about IR.  
560 01:00:43,601 --> 01:00:45,983 Speaker SPEAKER_01: So you shouldn't believe my opinion too much.  
561 01:00:46,545 --> 01:00:56,255 Speaker SPEAKER_01: My primitive view about IR is that if you want to retrieve information from documents, you really ought to understand what's in the document.  
562 01:00:56,235 --> 01:01:02,083 Speaker SPEAKER_01: So there's all sorts of tricks at looking at frequencies, particularly frequencies of rare words in documents.  
563 01:01:02,623 --> 01:01:04,545 Speaker SPEAKER_01: And you can do quite surprisingly well with that.  
564 01:01:05,367 --> 01:01:07,349 Speaker SPEAKER_01: And then you can use kind of bag of words models.  
565 01:01:08,070 --> 01:01:14,358 Speaker SPEAKER_01: But it's clear that if you really want to do good information retrieval, you have to understand what's in the document.  
566 01:01:15,099 --> 01:01:20,346 Speaker SPEAKER_01: My fundamental belief is that neural nets are going to lead us to be able to understand what's in documents.  
567 01:01:20,826 --> 01:01:23,829 Speaker SPEAKER_01: And that's going to lead to much more sophisticated information retrieval.  
568 01:01:24,603 --> 01:01:39,121 Speaker SPEAKER_01: So although I don't know much about IR, it seems to me, I'd like to be able to ask a question like, find me a document in which Mike Pence says something that's clearly false, and he says it because of his religious beliefs.  
569 01:01:41,003 --> 01:01:54,440 Speaker SPEAKER_01: Now, you can look at a document that says something about religion and something about Mike Pence and something about false, but unless you understand what's going on in the document, you're not gonna be able to produce just the right answers to that.  
570 01:01:55,518 --> 01:01:58,380 Speaker SPEAKER_01: But I'll leave it at that because I'm not an expert on information retrieval.  
571 01:01:59,282 --> 01:02:02,706 Speaker SPEAKER_03: Okay, Professor Hinton, the last not the least question.  
572 01:02:04,367 --> 01:02:07,652 Speaker SPEAKER_03: So one question is, what is your idea?  
573 01:02:07,692 --> 01:02:15,539 Speaker SPEAKER_03: How can we incorporate causality into the deep learning framework?  
574 01:02:16,360 --> 01:02:19,605 Speaker SPEAKER_01: Yes, I've had this debate for a very long time with Judea Pearl.  
575 01:02:20,405 --> 01:02:22,268 Speaker SPEAKER_01: And  
576 01:02:24,661 --> 01:02:32,369 Speaker SPEAKER_01: I think his work is very important and I think causality is very important, but I think it's a higher level thing.  
577 01:02:33,130 --> 01:02:41,880 Speaker SPEAKER_01: So my basic approach to it is there's the sort of basic mechanisms for learning in these neural networks, for learning big distributed representations.  
578 01:02:43,681 --> 01:02:49,588 Speaker SPEAKER_01: And then there's higher level structure that emerges like building causal models.  
579 01:02:50,664 --> 01:02:55,289 Speaker SPEAKER_01: And I don't believe that causality is going to be a very low-level thing in these nets.  
580 01:02:55,309 --> 01:02:57,972 Speaker SPEAKER_01: I think we're going to get nets that are good at finding structure in data.  
581 01:02:59,193 --> 01:03:08,382 Speaker SPEAKER_01: And the causal models of the kind that people interested in graphical models like to produce are much higher-level constructs.  
582 01:03:09,063 --> 01:03:10,784 Speaker SPEAKER_01: They'll be implemented in neural nets.  
583 01:03:11,284 --> 01:03:16,070 Speaker SPEAKER_01: But I think it's a mistake to think that the neural nets themselves are going to look like the causal models.  
584 01:03:17,231 --> 01:03:19,693 Speaker SPEAKER_01: I think they're going to implement causal models at a higher level.  
585 01:03:20,922 --> 01:03:21,463 Speaker SPEAKER_01: Okay.  
586 01:03:22,545 --> 01:03:23,146 Speaker SPEAKER_03: Okay.  
587 01:03:23,186 --> 01:03:23,887 Speaker SPEAKER_03: Thank you very much.  
588 01:03:23,907 --> 01:03:31,242 Speaker SPEAKER_03: I noticed that there are new questions that keep coming, but it's running out of time.  
589 01:03:31,704 --> 01:03:37,956 Speaker SPEAKER_03: So let's thank Professor Hinton again for his very visionary talk and question answering session.  
590 01:03:38,257 --> 01:03:39,018 Speaker SPEAKER_03: Thank you very much.  
591 01:03:39,840 --> 01:03:40,181 Speaker SPEAKER_01: Thank you.  
592 01:03:40,762 --> 01:03:41,224 Speaker SPEAKER_01: Thank you.  
593 01:03:41,985 --> 01:03:42,306 Speaker SPEAKER_01: Thank you.  
