1 00:00:02,478 --> 00:00:04,120 说话人 SPEAKER_01：让我检查一下它是否可以点击通过。
463 00:40:49,679 --> 00:40:56,967 演讲者 SPEAKER_01：所以你如何改变 w1 取决于 w3 的值，这是一个远程权重。
464 00:40:57,028 --> 00:41:04,018 演讲者 SPEAKER_01：这甚至不涉及与 w1 连接影响的相同单位。
465 00:41:05,259 --> 00:41:10,445 演讲者 SPEAKER_01：因此，为了知道如何改变 w1，你需要知道 w3 的符号。
466 00:41:10,907 --> 00:41:14,331 讲者 SPEAKER_01：现在在一个像反向传播这样的算法中，
467 00:41:15,070 --> 00:41:19,355 讲者 SPEAKER_01：你将信息向后发送以获取该信息。
468 00:41:19,375 --> 00:41:25,362 讲者 SPEAKER_01：但在玻尔兹曼机中，你有一种完全不同的方式来获取这些信息，这看起来就像魔法一样。
469 00:41:27,704 --> 00:41:29,445 讲者 SPEAKER_01：所以，这里有一个非常令人惊讶的事实。
470 00:41:31,407 --> 00:41:40,918 演讲者 SPEAKER_01：关于所有其他权重，一个权重需要知道的一切都包含在其中，可以通过查看两个相关性来本地获得。
471 00:41:40,958 --> 00:41:43,541 演讲者 SPEAKER_01：你不需要像反向传播那样的回传。
472 00:41:46,170 --> 00:41:53,844 演讲者 SPEAKER_01：所以假设我有一个可见向量 v，我想让这个可见向量更有可能被网络生成。
473 00:41:54,284 --> 00:42:05,262 演讲者 SPEAKER_01：所以我给它一个图像的例子，我说，如何，我问，我应该如何改变两个神经元之间的权重 wij，以使 v 更有可能？
474 00:42:06,704 --> 00:42:11,192 说话人 SPEAKER_01：它可能存在于两个可见神经元之间，或者存在于一个可见神经元和一个隐藏神经元之间，或者存在于两个隐藏神经元之间。
475 00:42:12,193 --> 00:42:12,954 说话人 SPEAKER_01：这是同样的规则。
476 00:42:14,217 --> 00:42:38,291 说话人 SPEAKER_01：你想要的导数，将使 V 的对数概率更高，就是当你将 V 固定在可见单元上并达到热平衡时，你和我以及你和 J 同时被激活的频率，与你不固定任何东西在可见单元上，只是让它自由幻想时，它们同时被激活的频率之间的差异。
477 00:42:38,331 --> 00:42:41,456 说话人 SPEAKER_01：你运行它时，你正在更新所有单元，
478 00:42:42,061 --> 00:42:47,987 说话者 SPEAKER_01：将它运行到 Regius 热平衡状态，然后看看这两个单元同时开启的频率。
479 00:42:49,309 --> 00:42:52,751 说话者 SPEAKER_01：所以这里有一个极其简单的学习规则。
480 00:42:52,771 --> 00:43:04,545 说话者 SPEAKER_01：它说学习神经元 i 和 j 之间的连接强度，不需要像反向传播那样，因为反向传播在神经学上不太可能，因为它需要在反向传递中传播与正向传递不同的信息。
481 00:43:05,164 --> 00:43:11,612 说话者 SPEAKER_01：当你清醒并且有可见向量输入时，你有一个非常简单的规则。
482 00:43:12,182 --> 00:43:15,806 讲者 SPEAKER_01: 只需测量 i 和 j 的相关性。这就是那些尖括号的意思。
483 00:43:15,827 --> 00:43:17,768 讲者 SPEAKER_01: 这是物理学家对相关性的表示法。
484 00:43:18,329 --> 00:43:20,331 讲者 SPEAKER_01: 测量 i 和 j 同时出现的频率。
485 00:43:21,273 --> 00:43:25,896 讲者 SPEAKER_01: 然后去睡觉，让模型生成数据。
486 00:43:27,858 --> 00:43:32,423 演讲者 SPEAKER_01：现在你们正在更新所有单元，不让其中一些单元由感官输入驱动。
487 00:43:33,025 --> 00:43:34,045 演讲者 SPEAKER_01：然后测量相同的东西。
488 00:43:34,106 --> 00:43:35,887 演讲者 SPEAKER_01：测量这两个单元同时开启的频率。
489 00:43:37,009 --> 00:43:39,911 演讲者 SPEAKER_01：这种相关性的差异就是学习规则。
490 00:43:40,972 --> 00:43:42,994 说话人 SPEAKER_01：这只是一个非常漂亮的学习规则。
491 00:43:43,474 --> 00:43:44,416 说话人 SPEAKER_01：它非常、非常简单。
492 00:43:45,137 --> 00:43:47,179 说话人 SPEAKER_01：看起来你可以很容易地把它放入大脑中。
493 00:43:47,199 --> 00:43:58,976 说话人 SPEAKER_01：而不是像你正在做的反向传播那样，先向前再向后，这不能实时进行，你必须先向前，然后停下来再向后，这对感知来说并不很有用。
494 00:43:59,817 --> 00:44:01,699 讲者 SPEAKER_01：这个算法说，不，不，你不能这么做。
495 00:44:02,179 --> 00:44:08,869 讲者 SPEAKER_01：当你醒着，数据进来时，你只是在测量所有连接单元之间的相关性。
496 00:44:09,811 --> 00:44:11,672 讲者 SPEAKER_01：然后当你睡着时，你会有不同的阶段。
497 00:44:12,634 --> 00:44:16,097 讲者 SPEAKER_01：你从模型中生成数据，并测量相关性。
498 00:44:16,818 --> 00:44:19,882 说话人 SPEAKER_01：这些相关性的差异就是学习信号。
499 00:44:21,362 --> 00:44:23,565 说话人 SPEAKER_01：当然，这里有一个负号。
500 00:44:24,045 --> 00:44:31,054 说话人 SPEAKER_01：这个负号的意思是，当你睡觉时，如果两个单元同时激活，你会减弱它们之间的连接强度。
501 00:44:31,393 --> 00:44:39,463 说话人 SPEAKER_01：也就是说，你使你在睡觉时得到的联合配置比你在清醒时得到的配置更不可能。
502 00:44:39,797 --> 00:44:43,862 说话人 SPEAKER_01：这就像你在睡眠中正在遗忘的快速理论。
503 00:44:44,322 --> 00:44:47,945 说话人 SPEAKER_01：但实际上这是某个东西的导数，这个学习规则。
504 00:44:47,965 --> 00:44:53,632 说话人 SPEAKER_01：这正是你想要的那个东西的导数，即生成训练向量的对数概率。
505 00:44:55,454 --> 00:44:56,875 说话人 SPEAKER_01：现在你可能要问，为什么它这么简单？
506 00:44:59,518 --> 00:45:00,097 说话人 SPEAKER_01: 我都说了。
507 00:45:01,800 --> 00:45:09,788 说话人 SPEAKER_01: 原因很简单，学习规则只是与这种相关性的差异成正比。
508 00:45:10,391 --> 00:45:13,315 说话人 SPEAKER_01: 当你锁定可见单元或者不使用数据锁定它们时。
509 00:45:14,556 --> 00:45:15,777 说话人 SPEAKER_01: 简单的原因是这个。
510 00:45:16,759 --> 00:45:27,050 讲者 SPEAKER_01：在热平衡状态下，你会有这样一个神奇的性质，即配置的对数概率是能量的线性函数。
511 00:45:28,110 --> 00:45:30,974 换句话说，概率是能量指数的负数。
512 00:45:31,474 --> 00:45:34,597 所以取对数，对数概率与能量呈线性关系。
513 00:45:35,780 --> 00:45:37,902 能量是权重的线性函数。
514 00:45:38,606 --> 00:45:46,115 讲者 SPEAKER_01：所以如果你取能量，即 S-I-S-J-W-I-J，对 W-I-J 求导，你只会得到 S-I-S-J。
515 00:45:46,936 --> 00:45:53,005 讲者 SPEAKER_01：因此，你对权重求能量导数，得到的是这个 S-I-S-J。
516 00:45:55,047 --> 00:46:01,375 讲者 SPEAKER_01：因为达到热平衡的过程会传播关于权重的信息，
517 00:46:01,726 --> 00:46:04,449 讲者 SPEAKER_01：你得到了这个神奇的性质，你不需要反向传播阶段。
518 00:46:04,949 --> 00:46:08,673 说话者 SPEAKER_01：你只需利用清醒时和睡眠时获得的关联即可。
519 00:46:11,056 --> 00:46:16,923 说话者 SPEAKER_01：如果你思考为什么需要负相，让我们回到数学上来。
520 00:46:17,184 --> 00:46:28,257 说话者 SPEAKER_01：可见向量的概率，我知道我超时了，可见向量的概率是所有隐藏配置
521 00:46:28,574 --> 00:46:48,356 说话者 SPEAKER_01：在该可见向量上的可见单元和任何隐藏配置 H 在隐藏单元上的和，因此这里有一个和，通过配分函数归一化，配分函数是所有可能的可见向量和所有可能的隐藏向量上 e 的负指数之和。
522 00:46:49,637 --> 00:46:58,547 说话者 SPEAKER_01：如果你考虑如何最大化 V 的概率，你应该显然降低能量，提高品质
523 00:46:59,016 --> 00:47:04,724 说话者 SPEAKER_01：尤其是那些已经很好的向量。
524 00:47:05,764 --> 00:47:20,782 说话者 SPEAKER_01：因此，在学习算法的积极阶段，当你清醒时，对于每个向量 v，你试图用与之相匹配的隐藏向量填充它，这是一个对 v 的合理解释，然后你试图通过降低该组合的能量来使这种组合更可信。
525 00:47:21,844 --> 00:47:28,753 说话者 SPEAKER_01：但是这里有一个归一化项，如果你使一切更可信，你不会使它更可信。
526 00:47:29,391 --> 00:47:36,960 说话人 SPEAKER_01：你所要做的是找到所有竞争组合，这些 u 和 g，并将它们都变得不太可能。
527 00:47:37,681 --> 00:47:41,284 说话人 SPEAKER_01：这正是学习规则中的负项所做的事情。
528 00:47:41,605 --> 00:47:53,539 说话人 SPEAKER_01：它在使配分函数变小的同时，使与特定隐藏向量的“好”的总和变大，与特定可见向量的“好”的总和变大。
529 00:47:56,442 --> 00:47:58,503 说话人 SPEAKER_01：所以当你醒着的时候学习的正面阶段。
530 00:47:58,922 --> 00:48:03,309 演讲者 SPEAKER_01：最大化最上面一行，负相则最小化最下面一行。
531 00:48:04,791 --> 00:48:11,682 演讲者 SPEAKER_01：因此，这些基于能量的模型必须有两个这样的阶段，因为你无法计算这个配分函数。
532 00:48:11,702 --> 00:48:12,403 演讲者 SPEAKER_01：它太大了。
533 00:48:12,724 --> 00:48:13,585 演讲者 SPEAKER_01：你必须进行采样。
534 00:48:14,507 --> 00:48:23,221 说话人 SPEAKER_01：因此，这种基于能量的模型可以解释为什么人们想要睡觉、做梦并且不记得梦境。
535 00:48:24,543 --> 00:48:25,605 说话人 SPEAKER_01：这就是我演讲的结束。
536 00:48:26,512 --> 00:48:29,255 说话人 SPEAKER_01：所以我将尝试看看我是否还能再次见到人们。
537 00:48:29,755 --> 00:48:31,938 说话人 SPEAKER_01：非常感谢您的演讲。
538 00:48:32,760 --> 00:48:33,641 说话人 SPEAKER_06: 我们是吗？
539 00:48:33,681 --> 00:48:37,043 说话人 SPEAKER_06: 我们有时间回答几个问题吗？
540 00:48:37,364 --> 00:48:38,164 说话人 SPEAKER_06: 是的，我有时间。
541 00:48:39,126 --> 00:48:39,407 说话人 SPEAKER_06: 好的。
542 00:48:41,469 --> 00:48:43,130 说话人 SPEAKER_06：您希望我们定在什么时间？
543 00:48:44,351 --> 00:48:46,193 说话人 SPEAKER_01：也许到 210 或者什么，如果您愿意的话。
544 00:48:46,213 --> 00:48:47,375 说话人 SPEAKER_06：是的，绝对是问题。
545 00:48:47,996 --> 00:48:48,376 说话人 SPEAKER_06：绝对是。
546 00:48:49,177 --> 00:48:51,518 演讲者 SPEAKER_06：我们将开始问答环节。
547 00:48:51,579 --> 00:48:53,061 我们通常的做法是。
548 00:48:53,530 --> 00:48:59,418 听众成员举起他们的虚拟手，然后口头提出问题。
549 00:48:59,458 --> 00:49:01,880 因此，这更像是一场互动讨论。
550 00:49:05,405 --> 00:49:11,554 演讲者 SPEAKER_06：您希望我们的问题是否应该专门针对讲座内容，还是开放式的？
551 00:49:12,273 --> 00:49:14,998 演讲者 SPEAKER_06：开放式。
552 00:49:15,518 --> 00:49:17,340 演讲者 SPEAKER_01：哦，让我再说一件事。
553 00:49:17,380 --> 00:49:18,442 演讲者 SPEAKER_01：我将提问。
554 00:49:18,862 --> 00:49:20,485 说话人 SPEAKER_01：这些玻尔兹曼机有什么用吗？
555 00:49:20,945 --> 00:49:23,068 说话人 SPEAKER_01：最初，它们似乎没什么用。
556 00:49:23,409 --> 00:49:26,913 说话人 SPEAKER_01：在大系统中设置热平衡太慢了。
557 00:49:27,414 --> 00:49:28,735 说话人 SPEAKER_01：我的意思是，这太慢了，毫无希望。
558 00:49:28,795 --> 00:49:32,561 说话人 SPEAKER_01：数学很美，但效率低得无法救药。
559 00:49:33,262 --> 00:49:38,750 说话人 SPEAKER_01：但 17 年后，我发现可以制作更简单的版本，它们可以快速收敛。
560 00:49:39,471 --> 00:49:44,277 说话人 SPEAKER_01：这些实际上被用于初始化随后用反向传播训练的神经网络。
561 00:49:45,050 --> 00:49:48,233 说话人 SPEAKER_01：通过使用更简单的玻尔兹曼机版本，一次学习一层神经网络。
562 00:49:48,534 --> 00:49:51,936 说话人 SPEAKER_01：结果证明，这正是打开洪水闸门的一件事。
563 00:49:52,237 --> 00:49:58,923 说话人 SPEAKER_01：我们突然可以训练非卷积的深度网络，通过使用受限玻尔兹曼机进行初始化。
564 00:49:58,943 --> 00:50:05,871 说话人 SPEAKER_01：所以这些实际上是在使神经网络通过反向传播工作道路上的。
565 00:50:06,711 --> 00:50:09,335 说话人 SPEAKER_01：一旦我们使它们工作，我们就扔掉了所有的玻尔兹曼东西。
566 00:50:09,735 --> 00:50:12,217 说话人 SPEAKER_01：我以为这件事不会再有人知道了。
567 00:50:12,257 --> 00:50:14,280 说话人 SPEAKER_01：但物理学家们喜欢它。
568 00:50:14,547 --> 00:50:29,467 说话人 SPEAKER_01：所以当物理学家们认为，嗯，你知道，人工智能领域正在发生很多事情，也许我们应该为人工智能获得诺贝尔奖时，他们不得不构建一个非常复杂的理由，试图找到一些看起来像物理的人工智能，玻尔兹曼机显然看起来像物理。
569 00:50:29,487 --> 00:50:38,460 说话人 SPEAKER_01：所以他们只能抓住一个非常细的线索，即玻尔兹曼机实际上在 2006 年至 2011 年之间被用来初始化反向传播。
570 00:50:38,481 --> 00:50:39,862 说话人 SPEAKER_01: 并且
571 00:50:40,213 --> 00:50:47,601 说话人 SPEAKER_01: 这在物理学和人工智能之间建立了一种联系，这足以让他们有理由用物理学奖来奖励人工智能。
572 00:50:48,943 --> 00:50:49,864 说话人 SPEAKER_01: 现在您可以提问了。
573 00:50:53,166 --> 00:50:56,650 说话人 SPEAKER_06: 好的，那么，是的，让我们欢迎提问。
574 00:50:58,532 --> 00:51:03,838 说话人 SPEAKER_02：这里有很多问题通过聊天发过来，所以如果你能口头提问，请举手。
575 00:51:03,858 --> 00:51:04,940 说话人 SPEAKER_06：我们将口头回答这些问题。
576 00:51:05,420 --> 00:51:08,262 说话人 SPEAKER_02：是的，你可以一个接一个地说。
577 00:51:08,885 --> 00:51:10,887 说话人 SPEAKER_06：好的，罗比·乔杜里。
578 00:51:11,827 --> 00:51:12,307 演讲者 SPEAKER_06：问题。
579 00:51:14,010 --> 00:51:17,873 演讲者 SPEAKER_04：我挺好的，我...我的摄像头已经打开了，是从飞机上还是别的什么地方。
580 00:51:17,893 --> 00:51:19,373 演讲者 SPEAKER_06：是的，如果你能的话，请打开你的摄像头。
581 00:51:20,355 --> 00:51:21,275 演讲者 SPEAKER_04：是的，谢谢。
582 00:51:21,596 --> 00:51:25,719 说话人 SPEAKER_01: 嗯，那会很棒，因为我可以看到你的嘴唇，我有点聋，所以这会很有帮助。
583 00:51:25,739 --> 00:51:26,300 说话人 SPEAKER_01: 看见你的嘴唇。
584 00:51:27,981 --> 00:51:30,844 说话人 SPEAKER_04: 你好，Hinton 博士，我是 Robbie。
585 00:51:32,106 --> 00:51:37,170 说话人 SPEAKER_04: 非常感谢你的演讲。
586 00:51:37,402 --> 00:51:39,485 说话人 SPEAKER_04：关于 Hopfield 网络。
587 00:51:39,686 --> 00:51:44,192 说话人 SPEAKER_04：我真的很喜欢您对 Hopfield 网络和能量的讨论。
588 00:51:44,652 --> 00:51:54,885 说话人 SPEAKER_04：我想问一下，直到现在，抱歉，我之前从未听说过 Hopfield 网络。
589 00:51:55,005 --> 00:52:02,094 说话人 SPEAKER_04：我已经了解了机器学习和深度学习，以及最新的，比如图神经网络。
590 00:52:02,311 --> 00:52:04,992 说话人 SPEAKER_04：几何深度学习等等。
591 00:52:05,373 --> 00:52:09,518 说话人 SPEAKER_04：您知道霍普菲尔德网络现在是否还存在吗？
592 00:52:10,798 --> 00:52:12,800 说话人 SPEAKER_04：或者——霍普菲尔德网络有一个新版本。
593 00:52:13,822 --> 00:52:20,027 说话人 SPEAKER_01：有一个新版本，人们正在尝试一种霍普菲尔德网络的变体。
594 00:52:20,367 --> 00:52:31,557 说话人 SPEAKER_01：但基本上，在 20 世纪 80 年代初，如果你去 NeurIPS（当时称为 NIPS），大部分论文都是关于 Hopfield 网络的。
595 00:52:32,010 --> 00:52:37,318 说话人 SPEAKER_01：然后到了 20 世纪 80 年代中期，有一些关于反向传播的论文。
596 00:52:38,639 --> 00:52:43,985 说话人 SPEAKER_01：然后 Hopfield 网络论文和反向传播网络论文的数量逐渐减少。
597 00:52:44,086 --> 00:52:46,289 说话人 SPEAKER_01：然后有很多关于支持向量机的论文。
598 00:52:47,291 --> 00:52:52,958 说话人 SPEAKER_01：然后到 2000 年代中期，反向传播又回来了，而 Hopfield 网络却没有。
599 00:52:55,400 --> 00:52:56,563 说话人 SPEAKER_01：这大致是该领域的历程。
600 00:52:56,842 --> 00:53:00,668 说话人 SPEAKER_01：但在当前情况下，我觉得实际上解释
601 00:53:01,440 --> 00:53:04,945 说话人 SPEAKER_01：玻尔兹曼机再次，因为它们是一个美丽但毫无实际应用价值的思想。
602 00:53:06,748 --> 00:53:07,730 说话人 SPEAKER_04: 嗯。
603 00:53:07,750 --> 00:53:16,181 说话人 SPEAKER_04: 你看，我知道当我们学习机器学习时，会用到，还在讨论玻尔兹曼机。
604 00:53:16,240 --> 00:53:30,300 说话人 SPEAKER_04: 我的意思是，我认为即使在现在，即使我们听到图神经网络或因果深度学习等出现时，也应该讨论一些热门领域网络和玻尔兹曼网络。
605 00:53:30,483 --> 00:53:36,570 说话人 SPEAKER_04: 关于图神经网络的出现，甚至像因果深度学习这样的。
606 00:53:38,072 --> 00:53:39,375 说话人 SPEAKER_01: 嗯。
607 00:53:39,695 --> 00:53:46,985 这是该领域的历史的一部分，可能仍然相关，特别是 Boltz 机器学习算法以及有一个单独的阶段来解除学习的想法。
608 00:53:48,527 --> 00:53:50,048 但我们应该让其他人提问。
609 00:53:50,548 --> 00:53:51,650 说话人 SPEAKER_05: 安德鲁，你有问题吗？
610 00:53:53,152 --> 00:53:55,956 说话人 SPEAKER_08: 谢谢。
611 00:53:55,976 --> 00:54:00,422 说话人 SPEAKER_05: 如果你想分享，如果你介意的话，请打开你的摄像头。
612 00:54:02,360 --> 00:54:02,840 说话人 SPEAKER_05: 不介意。
613 00:54:05,222 --> 00:54:06,224 说话人 SPEAKER_05: 也许你的麦克风。
614 00:54:07,244 --> 00:54:07,965 说话人 SPEAKER_05: 你的麦克风。
615 00:54:08,226 --> 00:54:09,327 说话人 SPEAKER_03: 是的。
616 00:54:09,648 --> 00:54:10,047 说话人 SPEAKER_07: 你能听到我吗？
617 00:54:11,210 --> 00:54:11,429 说话人 SPEAKER_03: 能。
618 00:54:12,871 --> 00:54:14,052 说话人 SPEAKER_03：很高兴见到你。
619 00:54:14,193 --> 00:54:29,329 说话人 SPEAKER_03：所以我的问题是，在这种情况下，我的直觉对吗？我们确实需要更多关于“反学习”的内容，即使目前大多数神经网络主要关注学习分子部分，还是我的理解有误？
620 00:54:30,253 --> 00:54:32,717 说话人 SPEAKER_01：有两种模型。
621 00:54:32,817 --> 00:54:40,947 说话人 SPEAKER_01：有一种模型你有分步函数，你使用能量来操纵概率，但你需要一个分步函数。
622 00:54:41,608 --> 00:54:42,809 说话人 SPEAKER_01：然后有一些模型你不需要。
623 00:54:43,030 --> 00:54:45,251 说话人 SPEAKER_01：至于标准神经网络，没有配分函数。
624 00:54:46,253 --> 00:54:49,657 说话人 SPEAKER_01：这就是为什么你不需要重新学习。
625 00:54:49,677 --> 00:54:51,920 说话人 SPEAKER_07：Manolis，你有问题吗？
626 00:54:56,686 --> 00:54:59,670 说话人 SPEAKER_07：麻省理工学院的卡利斯博士。
627 00:55:04,072 --> 00:55:04,552 说话人 SPEAKER_07：你能听到我吗？
628 00:55:09,858 --> 00:55:10,659 说话人 SPEAKER_07：曼诺利斯·卡拉斯。
629 00:55:11,862 --> 00:55:12,643 说话人 SPEAKER_07：你举手了。
630 00:55:15,987 --> 00:55:17,228 演讲者 SPEAKER_05: 好的，我们会再联系你，我想。
631 00:55:17,248 --> 00:55:18,409 演讲者 SPEAKER_06: 哦，你能听到吗？
632 00:55:18,751 --> 00:55:19,030 演讲者 SPEAKER_06: 好的。
633 00:55:19,871 --> 00:55:21,353 演讲者 SPEAKER_00: 是的。
634 00:55:21,534 --> 00:55:22,295 说话人 SPEAKER_00: 嗨，教授。
635 00:55:22,315 --> 00:55:23,217 说话人 SPEAKER_00: 你也能看到我吗？
636 00:55:23,277 --> 00:55:23,836 说话人 SPEAKER_00: 你能看到我吗？
637 00:55:24,217 --> 00:55:24,498 说话人 SPEAKER_00: 是的。
638 00:55:24,538 --> 00:55:27,222 说话人 SPEAKER_06: 你想在摄像头的屏幕上打开吗？
639 00:55:27,661 --> 00:55:29,744 说话人 SPEAKER_00: 我想我已经打开了视频。
640 00:55:29,784 --> 00:55:30,365 说话人 SPEAKER_00: 你现在能看到我吗？
641 00:55:30,606 --> 00:55:31,047 说话人 SPEAKER_00: 你能听到我说话吗？
642 00:55:31,586 --> 00:55:32,487 说话人 SPEAKER_00: 是的。
643 00:55:32,809 --> 00:55:33,068 说话人 SPEAKER_00: 好的。
644 00:55:33,449 --> 00:55:33,690 说话人 SPEAKER_00: 太棒了。
645 00:55:34,092 --> 00:55:46,010 说话人 SPEAKER_00: 所以我是麻省理工学院人工智能领域的教授，同时也在研究人脑，并进行大量的精神病学研究和认知生物医学研究。
646 00:55:46,512 --> 00:56:01,094 演讲者 演讲者_00：我们人类大脑中存在这种非凡的细胞多样性，这引发了一个问题，我们是否应该考虑
647 00:56:01,632 --> 00:56:09,483 演讲者 演讲者_00：人类大脑的多样性可能是一个暗示，我们需要在人工神经网络中拥有不同类型的神经元。
648 00:56:09,922 --> 00:56:22,239 演讲者 演讲者_00：换句话说，如果大脑中存在如此多的专业化，这是否仅仅是通过我们人工神经网络中复杂的数十亿参数自然发生的？
649 00:56:23,201 --> 00:56:28,628 演讲者 演讲者_00：或者我们应该在它们中硬编码专业化的约束？
650 00:56:28,869 --> 00:56:31,351 说话人 说话人_00：我想知道您在多大程度上考虑了智能的自然基础，以及这仅仅是人类大脑进化的产物，还是说这是使我们变得智能的东西。
651 00:56:31,972 --> 00:56:42,811 说话人 说话人_00：我认为如果您想了解大脑中的情况，您需要认真对待这样一个事实：存在许多不同的细胞类型，许多不同类型的抑制性中间神经元，以及许多不同类型的锥体细胞，它们在大多数地方都是相当相似的，但有许多抑制性神经元在模型中根本就没有被建模。
652 00:56:43,092 --> 00:56:55,534 说话人 说话人_01：我认为，如果您想了解大脑中的情况，您需要认真对待这样一个事实：存在许多不同的细胞类型，许多不同类型的抑制性中间神经元，以及许多不同类型的锥体细胞，它们在大多数地方都是相当相似的，但有许多抑制性神经元在模型中根本就没有被建模。
653 00:56:56,188 --> 00:57:02,297 说话人 说话人_01：在大多数地方，这些锥体细胞相当相似，但有许多抑制性神经元在模型中根本就没有被建模。
654 00:57:04,280 --> 00:57:05,420 说话人 SPEAKER_01：你必须认真对待这件事。
655 00:57:05,460 --> 00:57:10,969 说话人 SPEAKER_01：我认为我们还没有真正理解基本的学习算法。
656 00:57:11,510 --> 00:57:19,260 说话人 SPEAKER_01：我们知道反向传播工作得很好，因为它可以计算梯度，但对于大脑来说这似乎相当不切实际。
657 00:57:19,983 --> 00:57:31,195 说话人 SPEAKER_01：我和其他人尝试过用活动的时间差来表示反向传播的东西，即误差函数的导数。
658 00:57:31,856 --> 00:57:37,181 讲者 SPEAKER_01：所以你可以用神经活动来表示误差函数的导数和实际活动。
659 00:57:37,882 --> 00:57:43,188 讲者 SPEAKER_01：对于小数据集，你可以使用那种学习算法来建模。
660 00:57:43,389 --> 00:57:47,052 讲者 SPEAKER_01：但是一旦涉及到像 ImageNet 这样的大型数据集，它的效果远不如反向传播。
661 00:57:47,371 --> 00:57:51,996 讲者 SPEAKER_01：所以我认为目前没有人真正知道学习算法是什么。
662 00:57:52,516 --> 00:58:04,431 讲者 SPEAKER_01: 但我的直觉是，你应该首先寻求根本性的简化，并尝试找到一个大致可行的学习算法，然后看看所有复杂性是如何逐步积累的。
663 00:58:04,690 --> 00:58:13,681 讲者 SPEAKER_01: 如果你从复杂性开始，你最终可能会得到像蓝色大脑项目那样的事情，这几乎是毫无希望的。
664 00:58:13,965 --> 00:58:21,375 讲者 SPEAKER_00: 这涉及到通用人工智能（AGI）的学习算法的复杂性。
665 00:58:21,896 --> 00:58:25,800 讲者 SPEAKER_00: 你觉得我们现在的架构是否仅仅需要更多的扩展？
666 00:58:26,641 --> 00:58:38,255 说话者 SPEAKER_00: 或者您觉得我们需要彻底不同的代理功能方式，更多的自主性，更以目标为导向的思考等等吗？
667 00:58:39,938 --> 00:58:41,340 说话者 SPEAKER_01: 好的。
668 00:58:41,556 --> 00:58:44,842 说话者 SPEAKER_01: 我认为我们需要的是生成更好数据的方法。
669 00:58:45,362 --> 00:58:53,494 说话者 SPEAKER_01: 所以如果你看一个没有规模问题的领域，比如 AlphaGo 和 AlphaZero，因为它们使用蒙特卡洛回放。
670 00:58:54,675 --> 00:59:03,128 说话人 SPEAKER_01：然后他们使用这些来训练蒙特卡洛滚动的结果，为训练神经网络提供数据，以判断这是否是一个好走法或好位置？
671 00:59:04,010 --> 00:59:08,577 说话人 SPEAKER_01：对我们来说，如果想让大型语言模型不断改进推理能力，
672 00:59:09,045 --> 00:59:14,534 说话人 SPEAKER_01：那么就需要让模型进行推理，然后将推理结果与它们的原始直觉进行对比检查。
673 00:59:15,114 --> 00:59:16,036 说话人 SPEAKER_01：我们一直在这样做。
674 00:59:16,635 --> 00:59:18,159 说话人 SPEAKER_01：如果你是 MAGA 的一员，你就不会那样做。
675 00:59:18,179 --> 00:59:22,244 说话人 SPEAKER_01：但如果你是一个普通人，你会将推理的结果与你的原始直觉进行对比。
676 00:59:23,306 --> 00:59:28,032 说话人 SPEAKER_01：这样，你可以获得大量的数据。
677 00:59:28,833 --> 00:59:35,322 说话人 SPEAKER_01：所以我认为将要发生的事情是，我们将得到这些大型模型以类似于 AlphaZero 的方式生成自己的数据。
678 00:59:35,842 --> 00:59:37,364 说话人 SPEAKER_01：这样就能克服数据瓶颈。
679 00:59:37,581 --> 00:59:40,047 说话人 SPEAKER_01：然后扩展将带我们走到我们想去的地方。
680 00:59:40,068 --> 00:59:44,798 说话人 SPEAKER_01：但这并不意味着我们不能通过有革命性的新想法更快地到达那里。
681 00:59:45,179 --> 00:59:47,385 说话人 SPEAKER_01：可能还有很多像 Transformer 这样的新想法。
682 00:59:48,126 --> 00:59:54,021 演讲者 SPEAKER_01：在接下来的五到十年里，如果我们没有遇到一两个非常有帮助的全新想法，我会感到非常惊讶。
683 00:59:54,472 --> 01:00:08,592 演讲者 SPEAKER_01：即使我们没有，我认为我们也可以通过扩大规模和利用让模型进行推理以及通过蒙特卡洛滚动来检查结果，与它的原始直觉相比以获得学习信号的方式达到目标。
684 01:00:09,514 --> 01:00:18,385 演讲者 SPEAKER_00：您所说的推理是指传统的符号推理，你知道，正式类型的推理，而不是那种LLM类型的推理，对吧？
685 01:00:18,487 --> 01:00:20,969 演讲者 SPEAKER_01：不，我的意思是，我在说LLM中的推理。
686 01:00:21,389 --> 01:00:23,070 说话人 SPEAKER_01: 我不相信。
687 01:00:23,371 --> 01:00:23,891 说话人 SPEAKER_01: 我不相信。
688 01:00:23,911 --> 01:00:28,195 说话人 SPEAKER_01: 我的意思是，当我们做逻辑时，我们使用类似 LLM 的东西。
689 01:00:28,215 --> 01:00:30,498 说话人 SPEAKER_01: 这就是为什么我们在纯逻辑方面不太擅长。
对于人类来说，例如，当他们进行推理时，他们推理的内容对他们是否正确进行推理有很大影响。
691 01：00：40,146 --> 01：00：43,891 演讲者 SPEAKER_01：人们在内容无关紧要的情况下进行正式的推理是无望的。
692 01：00：44,472 --> 01：00：45,231 议长 SPEAKER_01：他们就是做不到。
693 01：00：46,733 --> 01：00：48,054 议长 SPEAKER_00：我是说，我们确实花钱。
694 01:00:49,266 --> 01:00:53,751 讲者 SPEAKER_00：我们在学校里花了 20 多年的时间，试图强迫自己学会那样推理。
695 01:00:53,771 --> 01:00:56,072 讲者 SPEAKER_00：但你说的我们仍然不是天生的。
