1 00:00:06,275 --> 00:00:07,517 说话人 SPEAKER_01: 你好，我是尼古拉斯·汤普森。
495 00:31:30,385 --> 00:31:34,911 说话人 说话人_00：我试图解决的主要问题，我已经做了好几年了，
496 00:31:36,680 --> 00:31:38,482 说话人 说话人_00：实际上，我想起了一位足球解说员。
497 00:31:38,502 --> 00:31:45,452 说话人 SPEAKER_00: 你可能会注意到足球解说员，他们总是说一些像“他们做得很好”这样的话，但最后总是传球失误。
498 00:31:46,034 --> 00:31:48,837 说话人 SPEAKER_00: 他们似乎从未注意到这一点很有趣。
499 00:31:49,558 --> 00:31:50,980 说话人 SPEAKER_00: 有点循环。
500 00:31:51,642 --> 00:31:56,148 说话人 SPEAKER_00: 所以我正在工作，最终，你将会开始做一件你无法完成的事情。
501 00:31:56,710 --> 00:31:59,153 说话人 SPEAKER_00: 我想我可能一直在做一件我永远无法完成的事情。
502 00:31:59,233 --> 00:32:03,480 说话人 SPEAKER_00: 但它被称为胶囊，这是一种理论，
503 00:32:03,460 --> 00:32:11,375 说话人 SPEAKER_00: 如何使用重建进行视觉感知，以及如何将信息路由到正确的位置。
504 00:32:12,518 --> 00:32:22,257 说话人 SPEAKER_00: 两个主要动机因素是，在标准神经网络中，某一层的活动会自动流向某个地方。
505 00:32:22,538 --> 00:32:24,642 说话人 SPEAKER_00: 你不会决定把它发送到哪儿。
506 00:32:25,229 --> 00:32:28,211 说话人 SPEAKER_00: 提出胶囊的概念是为了决定信息该发送到哪儿。
507 00:32:29,173 --> 00:32:35,961 说话人 SPEAKER_00: 现在，自从我开始研究胶囊以来，谷歌的一些非常聪明的人发明了转换器，它们正在做同样的事情。
508 00:32:35,980 --> 00:32:37,501 说话人 SPEAKER_00: 它们在决定信息该路由到哪儿。
509 00:32:38,083 --> 00:32:38,884 说话人 说话人_00: 这是一大胜利。
510 00:32:40,244 --> 00:32:44,869 说话人 说话人_00: 另一个促使胶囊结构产生的原因是坐标系。
511 00:32:44,890 --> 00:32:48,614 说话人 说话人_00: 所以当人类进行视觉处理时，他们总是使用坐标系。
512 00:32:49,194 --> 00:32:55,101 说话人 说话人_00: 如果他们给物体施加了错误的坐标系，甚至都无法识别这个物体。
513 00:32:55,080 --> 00:32:57,305 说话人 SPEAKER_00: 我给你一个小任务。
514 00:32:57,685 --> 00:32:59,449 说话人 SPEAKER_00: 想象一个四面体。
515 00:32:59,469 --> 00:33:01,593 说话人 SPEAKER_00: 它有一个三角形的底面和三个三角形面。
516 00:33:01,613 --> 00:33:02,734 说话人 SPEAKER_00: 它们都是等边三角形。
517 00:33:03,154 --> 00:33:04,076 说话人 说话人_00：想象一下，对吧？
518 00:33:06,621 --> 00:33:10,648 说话人 说话人_00：现在想象用平面去切割，得到一个正方形横截面。
519 00:33:12,250 --> 00:33:13,653 说话人 说话人_00：这并不容易，对吧？
520 00:33:14,315 --> 00:33:15,837 说话人 说话人_00：每次切割都会得到一个三角形。
521 00:33:16,638 --> 00:33:18,221 说话人 说话人_00：显然不知道如何得到一个正方形。
522 00:33:18,281 --> 00:33:19,384 说话人 说话人_00：一点也不明显。
523 00:33:20,208 --> 00:33:24,453 说话人 说话人_00：好吧，但我将以不同的方式描述相同的形状。
524 00:33:25,476 --> 00:33:26,096 说话人 说话人_00：我需要你的笔。
525 00:33:26,696 --> 00:33:36,090 讲者 SPEAKER_00：想象一下，如果你拿一支笔像这样，再拿另一支笔垂直于这个方向，并将这支笔上的所有点与那支笔上的所有点连接起来，你会得到什么形状。
526 00:33:37,573 --> 00:33:40,356 讲者 SPEAKER_00：那是一个实心四面体。
527 00:33:40,376 --> 00:33:40,698 讲者 SPEAKER_00：好吗？
528 00:33:42,019 --> 00:33:44,442 说话人 SPEAKER_00: 你是相对于不同的坐标系来看的。
529 00:33:45,976 --> 00:33:50,200 说话人 SPEAKER_00: 其中四面体的边缘，这两条线与坐标系对齐。
530 00:33:51,260 --> 00:33:57,865 说话人 SPEAKER_00: 对于这一点，如果你这样想四面体，那么很明显，在顶部，你会得到一个这样的长方形。
531 00:33:58,166 --> 00:33:59,988 说话人 SPEAKER_00: 在底部，你会得到一个这样的长方形。
532 00:34:00,969 --> 00:34:03,611 说话人 SPEAKER_00: 有个叫魏尔斯特拉斯的人说，你得在中间放一个正方形。
533 00:34:05,272 --> 00:34:08,094 说话人 SPEAKER_00: 所以很明显，你可以这样切割来得到一个正方形。
534 00:34:08,235 --> 00:34:11,097 说话人 SPEAKER_00: 但只有当你用那个坐标系来想的时候，这才会很明显。
535 00:34:11,117 --> 00:34:15,882 说话人 SPEAKER_00: 所以对人类来说，坐标系对于感知非常重要。
536 00:34:15,862 --> 00:34:18,367 Speaker SPEAKER_00: 它们对卷积神经网络来说根本不重要。
537 00:34:18,387 --> 00:34:27,025 Speaker SPEAKER_00: 对于卷积神经网络来说，如果我给你展示一个倾斜的正方形和一个直立的长方形，实际上它们是同一件事，卷积神经网络会认为它们看起来是一样的。
538 00:34:27,626 --> 00:34:30,731 Speaker SPEAKER_00: 它没有两种描述同一事物的不同方式。
539 00:34:30,965 --> 00:34:40,494 Speaker SPEAKER_01: 将坐标系添加到你的模型中，这与你在 90 年代犯的错误有什么不同，当时你试图将规则放入系统中，而不是让系统无监督地运行？
540 00:34:40,755 --> 00:34:41,996 说话人 SPEAKER_00: 这正是那个错误。
541 00:34:42,838 --> 00:34:47,623 说话人 SPEAKER_00: 因为我如此坚决地认为那是一个糟糕的错误，所以我被允许做一点。
542 00:34:48,603 --> 00:34:50,585 说话人 SPEAKER_00: 这有点像尼克松与中国谈判。
543 00:34:51,907 --> 00:34:55,831 说话人 SPEAKER_00: 实际上，这让我处于一个糟糕的角色。
544 00:34:55,851 --> 00:34:58,795 说话者 SPEAKER_00: 总之。
545 00:35:00,478 --> 00:35:05,644 说话者 SPEAKER_00: 如果你看看卷积神经网络，它们只是加入了少量知识的神经网络。
546 00:35:05,965 --> 00:35:09,568 说话者 SPEAKER_00: 你加入的知识是，如果在这里的特征检测器很好，那么在那里也很好。
547 00:35:10,971 --> 00:35:14,914 说话者 SPEAKER_00: 人们都希望加入更多关于尺度和平面的知识。
548 00:35:15,775 --> 00:35:20,340 说话人 SPEAKER_00: 但如果你用 4D 网格代替 2D 网格这种明显的方式来做，整个事情就会在你面前崩溃。
549 00:35:21,461 --> 00:35:28,409 说话人 SPEAKER_00: 但是你可以获取关于视角如何影响图像的知识。
550 00:35:28,626 --> 00:35:31,612 说话人 SPEAKER_00: 通过使用与图形中相同的方式使用坐标系。
551 00:35:32,413 --> 00:35:35,077 说话人 SPEAKER_00: 因此现在你在一层中有了这种表示。
552 00:35:35,418 --> 00:35:48,918 讲者 SPEAKER_00：当你尝试在下一层重建物体的各个部分时，当你进行这个重建时，你可以将整个物体的坐标系乘以部分与整体的关系，以得到部分坐标系。
553 00:35:49,739 --> 00:35:51,342 说话人 说话人_00：您可以将它连接到网络中。
554 00:35:51,362 --> 00:35:55,309 说话人 说话人_00：您可以将执行这些坐标变换的能力连接到网络中。
555 00:35:55,289 --> 00:35:57,557 说话人 说话人_00：这将使它更加通用，非常好。
556 00:35:57,579 --> 00:36:01,594 说话人 SPEAKER_00：这意味着网络很容易处理视角。
557 00:36:02,056 --> 00:36:05,873 说话人 SPEAKER_00：当前的神经网络除了翻译之外，很难处理视角。
558 00:36:06,358 --> 00:36:14,090 说话人 SPEAKER_01：所以你现在的任务是否仅限于视觉识别，或者是否是通过制定坐标系的规则集来提高的更一般的方法？
559 00:36:14,349 --> 00:36:16,092 说话人 SPEAKER_00：好的，它可以用于其他事情。
560 00:36:16,172 --> 00:36:20,197 说话人 SPEAKER_00: 我真的很感兴趣视觉识别的应用。
561 00:36:20,518 --> 00:36:21,340 说话人 SPEAKER_01: 好的，最后一个问题。
562 00:36:21,380 --> 00:36:23,983 说话人 SPEAKER_01: 我听了你前几天播客。
563 00:36:24,023 --> 00:36:31,753 说话人 SPEAKER_01: 在其中，你说你最看重想法的人是进入你实验室的年轻研究生，因为他们没有陷入旧观念的束缚。
564 00:36:31,835 --> 00:36:32,856 说话人 SPEAKER_01: 他们有新想法。
565 00:36:33,436 --> 00:36:34,998 说话人 SPEAKER_01: 而且他们还知道很多。
566 00:36:35,434 --> 00:36:43,757 说话人 SPEAKER_01: 你是否觉得自己可能陷入了某种思维定式，而一个新来的研究生或者这个房间里来和你一起工作的人可能会打破这种定式？
567 00:36:44,277 --> 00:36:45,539 说话人 SPEAKER_00: 是的，我所说的每一件事。
568 00:36:45,559 --> 00:36:47,201 说话人 SPEAKER_01：你说的一切。
569 00:36:47,221 --> 00:36:48,483 说话人 SPEAKER_01：把这些坐标单位取出来。
570 00:36:49,103 --> 00:36:50,827 说话人 SPEAKER_01：处理第三个功能，处理第四个功能。
571 00:36:50,847 --> 00:36:52,148 说话人 SPEAKER_01：我将问你一个单独的问题。
572 00:36:52,710 --> 00:36:55,112 说话人 SPEAKER_01：深度学习曾经是一件独特的事情。
573 00:36:55,132 --> 00:36:58,958 说话人 SPEAKER_01：然后它变成了与 AI 这个短语同义。
574 00:36:59,460 --> 00:37:04,126 说话人 SPEAKER_01：现在 AI 已经变成了一个营销术语，基本上意味着以任何方式使用机器。
575 00:37:04,427 --> 00:37:07,652 说话人 SPEAKER_01：作为帮助创造这一术语的人，你对这个术语有什么看法？
576 00:37:07,766 --> 00:37:15,001 说话人 SPEAKER_00: 但当有 AI 的时候，我更快乐，这意味着你的逻辑受到启发，并在符号字符串上进行操作。
577 00:37:15,623 --> 00:37:19,871 说话人 SPEAKER_00: 而且还有神经网络，这意味着你想要在神经网络中进行学习。
578 00:37:20,010 --> 00:37:26,625 说话人 SPEAKER_00: 它们是完全不同的企业，实际上并没有很好地相处，并且为了资金而争斗。
579 00:37:27,646 --> 00:37:29,369 说话人 SPEAKER_00: 我就是这样成长的。
580 00:37:30,059 --> 00:37:36,393 说话人 SPEAKER_00: 现在我看到那些多年来一直说神经网络是胡说的人，我说，我是人工智能教授，所以我需要钱。
581 00:37:37,094 --> 00:37:38,557 说话人 SPEAKER_00: 真是让人烦恼。
582 00:37:38,577 --> 00:37:46,195 说话人 SPEAKER_01: 所以你的领域成功了，某种程度上吞噬了其他领域，这使得他们有优势去申请资金，这很令人沮丧。
583 00:37:46,175 --> 00:37:49,018 说话人 SPEAKER_00: 是的，现在并不完全公平，因为他们中的许多人实际上已经转变了。
584 00:37:49,197 --> 00:37:50,619 说话人 SPEAKER_01: 好的，好吧，太棒了。
585 00:37:50,900 --> 00:37:52,420 说话人 SPEAKER_01: 那么，我还有时间再问一个问题。
586 00:37:52,820 --> 00:38:02,811 说话人 SPEAKER_01: 所以在那次采访中，你谈到 AI，你说，想想看，就像一台挖掘机，一台可以挖洞的挖掘机，如果建造不当，可能会把你摧毁。
587 00:38:03,351 --> 00:38:08,797 说话人 SPEAKER_01: 关键在于，当你修理你的挖掘机时，要设计得最好，以便它挖洞而不是敲你的头。
588 00:38:09,237 --> 00:38:11,760 说话人 SPEAKER_01：在你思考你的工作时，你做出了哪些这样的选择？
589 00:38:16,195 --> 00:38:24,244 说话人 SPEAKER_00：嗯，我想我绝不会故意去制作武器。
590 00:38:25,405 --> 00:38:28,829 说话人 SPEAKER_00：我的意思是，你可以设计一种能够很好地敲掉人们头部的蝙蝠，对吧？
591 00:38:28,849 --> 00:38:33,215 说话人 SPEAKER_00：我认为这是蝙蝠的糟糕用途，我不会去做的。
592 00:38:33,235 --> 00:38:33,434 说话人 SPEAKER_01: 好吧。
593 00:38:33,454 --> 00:38:36,277 说话人 SPEAKER_01: 嗯，杰弗里·辛顿，非常棒的采访，各种信息。
594 00:38:36,298 --> 00:38:39,541 说话人 SPEAKER_01: 我们明年再来谈谈第三、第四季度的梦想。
595 00:38:39,561 --> 00:38:41,204 说话人 SPEAKER_01: 真是太好玩了。
596 00：38：41,224 --> 00：38：41,864 议长 SPEAKER_01：谢谢。
