1 00:00:12,686 --> 00:00:22,184 说话人 SPEAKER_00：大家好，非常感谢大家的参与，我们有幸并且非常高兴地邀请到 Jeff Hinton 教授与我们同在。
441 00:48:34,478 --> 00:48:36,179 说话人 SPEAKER_02：这正是我所做的。
442 00:48:36,320 --> 00:48:43,666 说话人 SPEAKER_02：我不使用，我的意思是，我在谷歌，所以我可以使用这些庞大的计算资源，但我年纪大了，所以我不喜欢学习新语言。
443 00:48:43,746 --> 00:48:45,288 说话人 SPEAKER_02：我学新语言非常慢。
444 00:48:45,907 --> 00:48:51,413 说话人 SPEAKER_02：所以实际上，我决定做一些基础研究，看看大脑可能如何获得梯度。
445 00:48:51,452 --> 00:48:56,257 说话人 SPEAKER_02：进行基础研究不需要大量的计算。
446 00:48:56,277 --> 00:49:01,943 说话人 SPEAKER_02：如果你在推动前沿，比如这些大型语言模型，那就需要大量的计算。
447 00:49:02,282 --> 00:49:04,485 说话人 SPEAKER_02：这就是我选择从事这项工作的原因之一。
448 00:49:04,465 --> 00:49:11,826 说话人 SPEAKER_02：试图理解大脑如何获取梯度，我认为这不需要大量资源。
449 00:49:12,608 --> 00:49:13,952 说话人 SPEAKER_02：只需要好的想法。
450 00:49:17,003 --> 00:49:17,563 说话人 SPEAKER_00：太棒了。
451 00:49:17,744 --> 00:49:20,949 说话人 说话人_00：非常感谢您这次的演讲，Hinton 教授。
452 00:49:21,048 --> 00:49:25,896 说话人 说话人_00：能够代表整个社区，代表摩洛哥人工智能，邀请您来，这是一件非常荣幸的事情。
453 00:49:26,195 --> 00:49:32,364 说话人 说话人_00：我们非常高兴和激动能够与大家分享您最近的研究成果。
454 00:49:32,625 --> 00:49:37,932 说话人 说话人_00：我希望您很快就能听到来自摩洛哥的一些伟大的 AI 研究成果。
455 00：49：38,454 --> 00：49：41,458 议长 SPEAKER_00：四年后，我希望你能打败法国人。
