1 00:00:03,710 --> 00:00:04,351 说话者 SPEAKER_02：晚上好。
453 00:44:18,653 --> 00:44:23,802 说话者 SPEAKER_01：过滤是一种很好的处理方式的想法。
454 00:44:23,782 --> 00:44:33,195 说话人 SPEAKER_01：信号，无论是音频信号还是图像信号，卷积是一种非常自然的滤波方法，而且你能在大脑中找到这一点并不令人惊讶。
455 00:44:34,097 --> 00:44:47,496 说话人 SPEAKER_01：当然，这些想法是由 Hubel 和 Wiesel 在 20 世纪 60 年代的经典神经科学工作中提出的，而且也被日本研究者 Fukushima 所采纳，他试图
456 00:44:47,476 --> 00:44:52,186 说话人 SPEAKER_01：如果你愿意，可以构建 Hubel 和 Wiesel 模型的计算机模型。
457 00:44:53,027 --> 00:44:59,760 说话人 SPEAKER_01：我觉得这很有启发性，并试图使用可以反向传播训练的神经网络来重现这一点。
458 00:44:59,800 --> 00:45:03,307 说话人 SPEAKER_01：这就是卷积神经网络的基本概念。
459 00:45:03,288 --> 00:45:20,992 所以卷积神经网络的想法是，世界，感知世界是组合性的，视觉世界中的物体是由部分组成的，部分是由模式组成的，而模式是由纹理或边缘的基本组合形成的，边缘是由像素排列组成的。
460 00:45:22,728 --> 00:45:30,340 因此，如果你有一个可以分层检测像素组合成边缘、边缘组成模式、模式组成物体部分的异常有用组合的系统，那么你将拥有一个识别系统。
461 00:45:30,400 --> 00:45:43,599 因此，如果你有一个可以分层检测像素组合成边缘、边缘组成模式、模式组成物体部分的异常有用组合的系统，那么你将拥有一个识别系统。
462 00:45:43,659 --> 00:45:45,882 说话人 SPEAKER_01：这种层次结构的思想实际上已经很久远了。
463 00:45:45,862 --> 00:45:49,909 说话人 SPEAKER_01：所以这实际上就是卷积神经网络的原则。
464 00:45:49,929 --> 00:46:02,813 说话人 SPEAKER_01：结果证明，层次化表示不仅对视觉有用，而且对语音、文本以及所有其他可理解的、因为它们是组合性的自然信号都很有用。
465 00:46:03,735 --> 00:46:09,947 说话人 SPEAKER_01：我认为有这样一个说法，据说是爱因斯坦说的，我认为最重要的是
466 00:46:11,581 --> 00:46:21,679 说话人 SPEAKER_01：对世界的神秘之处在于它是可理解的，这可能是由于自然信号的组合性质。
467 00:46:22,199 --> 00:46:27,510 说话人 SPEAKER_01：所以在 20 世纪 90 年代初，我们能够做到像这样的构建识别系统。
468 00:46:27,530 --> 00:46:29,353 说话人 SPEAKER_01：这是年轻时的我。
469 00:46:29,333 --> 00:46:30,755 说话人 SPEAKER_01：我在贝尔实验室。
470 00:46:30,795 --> 00:46:35,202 顺便说一下，这是我贝尔实验室在 Hondal 的电话号码，现在已经不再运营了。
471 00:46:35,804 --> 00:46:40,371 我在这里按了一个键，系统就用视频摄像头捕捉了一张图像。
472 00:46:40,391 --> 00:46:49,268 这是在装有特殊 DSP 卡的 PC 上运行的，当时可以以每秒几百个字符的速度运行那些传统网络，这非常令人惊讶。
473 00:46:49,307 --> 00:46:50,771 我们可以运行20兆浮点运算。
474 00:46:50,891 --> 00:46:52,233 说话人 SPEAKER_01：你知道，那真是太令人难以置信了。
475 00:46:52,454 --> 00:46:53,856 说话人 SPEAKER_01：所以这做得非常好。
476 00:46:55,050 --> 00:47:03,664 说话人 SPEAKER_01：不久之后，我们意识到我们也可以用它来处理自然图像，比如检测人脸，最终检测行人。
477 00:47:03,704 --> 00:47:05,266 说话人 SPEAKER_01：这花了几年时间。
478 00:47:06,349 --> 00:47:18,206 说话人 SPEAKER_01：正如 Jeff 提到的，从 90 年代中期到 2000 年代末，几乎没有人从事神经网络研究，只有我们这些疯狂的人还在做。
479 00:47:18,186 --> 00:47:43,923 说话人 SPEAKER_01：但这并没有阻止我们，所以我们一直在研究人脸检测、行人检测，甚至利用机器学习和卷积神经网络进行机器人研究，我们会用卷积神经网络来标记整个图像，使得图像中的每个像素都能被标记为机器人可通行或不可通行。
480 00:47:43,903 --> 00:47:57,365 说话人 SPEAKER_01：这个方法的好处是你可以自动收集数据，不需要手动标记，因为使用立体视觉，你可以通过 3D 重建来判断像素是否突出于地面。
481 00:47:57,867 --> 00:48:05,018 说话人 SPEAKER_01：但遗憾的是，这只能在短距离内工作，所以如果你想有一个能够规划长距离轨迹的系统，那么你可以训练一个卷积神经网络来
482 00：48：05,318 --> 00：48：11,047 演讲者 SPEAKER_01：使用这些标签预测可遍历性，然后让机器人自己开车。
所以它结合了使用卷积网提取的不同特征的这个特定机器人，以及一个快速立体视觉系统，这使得它能够避开诸如讨厌的研究生等障碍物。
484 00:48:32,706 --> 00:48:41,231 说话者 SPEAKER_01：顺便说一句，Pia Somania 和 Raya Hetzel 很确定机器人不会撞到他们，因为他们实际上编写了代码。
485 00:48:44,501 --> 00:48:49,967 说话者 SPEAKER_01：好的，然后几年后，我们使用了一个非常相似的系统来进行语义分割。
486 00:48:50,009 --> 00:48:55,235 说话人 SPEAKER_01：这实际上就是 Jeff 之前提到的那个被 2011 年 CVPR 会议拒稿的工作。
487 00:48:56,036 --> 00:49:09,851 说话人 SPEAKER_01：这是一个系统，它可以使用 FPGA 实现实时处理，基本上每秒 30 帧的速度对图像中的每个像素进行分割，分辨率相当不错。
488 00:49:09,831 --> 00:49:17,945 说话人 SPEAKER_01：它远非完美，但可以以相当合理的准确性进行标记，检测行人、道路和树木等。
489 00:49:20,650 --> 00:49:26,119 说话人 SPEAKER_01：但结果基本上并没有立即被计算机视觉社区所相信。
490 00:49:26,099 --> 00:49:41,541 说话人 SPEAKER_01：现在来衡量自那时以来所取得的进展，在过去的 10 年左右，这是一个由 Facebook 团队最近构建的一个非常系统的结果示例，他们称之为全景特征金字塔网络。
491 00:49:41,561 --> 00:49:46,588 说话人 SPEAKER_01：所以它基本上是一个大型卷积网络，具有一种提取特征的路径。
492 00:49:46,568 --> 00:49:51,155 说话人 SPEAKER_01：多层路径提取特征，然后还有另一条路径生成输出图像。
493 00:49:51,556 --> 00:49:59,909 说话人 SPEAKER_01：输出图像基本上识别并生成图像中每个实例的每个对象的掩码，并告诉你它们的类别。
494 00:50:00,230 --> 00:50:04,657 说话人 SPEAKER_01：这里显示的是类别名称，但它可以识别几百个这样的类别。
495 00:50:05,038 --> 00:50:07,362 说话人 SPEAKER_01：人，各种车辆，
496 00:50:07,730 --> 00:50:19,166 说话人 SPEAKER_01：不仅仅是物体类别，还包括背景纹理或区域，比如草地、沙滩、树木等。
497 00:50:19,666 --> 00:50:26,976 说话人 SPEAKER_01：所以，这样的系统对于自动驾驶汽车等需要完整图像像素分割识别的场景非常有用。
498 00:50:27,617 --> 00:50:30,001 说话人 SPEAKER_01：这将使构建自动驾驶汽车变得更加容易。
499 00:50:30,460 --> 00:50:34,065 说话人 SPEAKER_01：不仅限于自动驾驶汽车，还包括医学图像分析系统。
500 00:50:34,085 --> 00:50:36,690 说话人 SPEAKER_01：所以这是一个相对类似的架构。
501 00:50:36,670 --> 00:50:42,157 说话人 SPEAKER_01：人们有时称这个卷积网络为 U-net，因为它具有明显的 U 形结构。
502 00:50:42,677 --> 00:50:54,213 说话人 SPEAKER_01：再次，它有一个编码器部分，用于提取特征，然后有一个构建输出图像的部分，其中医学图像的部分被分割。
503 00:50:54,273 --> 00:50:55,775 说话人 SPEAKER_01：这是它产生的一种结果。
504 00:50:56,777 --> 00:50:59,400 说话人 SPEAKER_01：这是我在纽约大学的一些同事的一些工作。
505 00:50:59,420 --> 00:51:01,083 说话人 SPEAKER_01：我没有参与这项工作。
506 00:51:01,143 --> 00:51:05,849 说话人 SPEAKER_01：有一些同事的不同小组有一些共同作者，他们也在做这项工作。
507 00:51:05,829 --> 00:51:11,418 说话人 SPEAKER_01：从成像、X 光、乳腺摄影中检测乳腺癌。
508 00:51:12,338 --> 00:51:22,634 说话人 SPEAKER_01：实际上，目前放射学中最具挑战性的话题之一就是使用深度学习进行医学图像分析。
509 00:51:22,813 --> 00:51:28,643 说话人 SPEAKER_01：这可能会在未来几年内影响，甚至可能彻底改变放射学。
510 00:51:28,782 --> 00:51:30,284 说话人 SPEAKER_01：它在某种程度上已经做到了。
511 00:51:31,463 --> 00:51:33,686 说话人 SPEAKER_01：在这方面的更多工作。
512 00:51:33,967 --> 00:51:41,019 说话人 SPEAKER_01：这实际上是纽约大学医学院和 Facebook 研究合作，加速 MRI 数据收集。
513 00:51:41,101 --> 00:51:47,952 说话人 SPEAKER_01：所以当你进行 MRI 检查时，你必须坐在机器里大约一个小时或 20 分钟，具体取决于你要进行的检查类型。
514 00:51:47,932 --> 00:52:04,878 说话人 SPEAKER_01：这里使用这种重建卷积网络的技术，基本上可以减少数据收集时间，并获得本质上相同质量的图像。
515 00:52:06,563 --> 00:52:13,617 说话人 SPEAKER_01：这不会让放射科医生失业，但可能会让这份工作更有趣。
516 00:52:14,920 --> 00:52:18,668 说话人 SPEAKER_01：Jeff 正在提到使用神经网络进行翻译的工作。
517 00:52:18,769 --> 00:52:25,905 说话人 SPEAKER_01：我认为，这是一个非常令人惊讶且有趣的进展，即可以使用神经网络进行翻译。
518 00:52:26,559 --> 00:52:31,025 说话人 SPEAKER_01：在这方面使用的架构有很多创新。
519 00:52:31,045 --> 00:52:35,032 说话人 SPEAKER_01：所以 Jeff 谈到了注意力机制、Transformer 架构。
520 00:52:35,351 --> 00:52:39,438 说话人 SPEAKER_01：这是一个新概念，称为动态卷积，它借鉴了一些这些想法。
521 00:52:40,079 --> 00:52:41,920 说话人 SPEAKER_01：那里的效果非常好。
522 00:52:42,262 --> 00:52:43,342 说话人 SPEAKER_01：这些网络非常大。
523 00:52:43,382 --> 00:52:45,987 说话人 SPEAKER_01：它们包含几亿个参数。
524 00:52:46,827 --> 00:52:54,920 说话人 SPEAKER_01：因此，其中的挑战之一实际上是在 GPU 上运行它们，需要有足够的内存来运行它们。
525 00:52:54,940 --> 00:52:58,146 说话人 SPEAKER_01：我们基本上在那里受限于 GPU 内存。
所以，那些图像分割的想法已经被从事自动驾驶汽车研究的人们所采用，尤其是现在属于英特尔的公司 Mobile Life 的人们，这可以追溯到好几年前。
527 00：53：11,110 --> 00：53：18,637 演讲者 SPEAKER_01：我认为，第一个用于自动驾驶汽车或驾驶辅助的卷积网络是在 2015 年的特斯拉 S 车型中。
528 00：53：19,778 --> 00：53：23,882 演讲者 SPEAKER_01：NVIDIA 也投入了大量精力来开发自动驾驶汽车。
529 00：53：24,503 --> 00：53：26,346 演讲者 SPEAKER_01：所以这里面有很多有趣的事情。
530 00:53:26,485 --> 00:53:35,414 说话人 SPEAKER_01：但进步，我不会说慢，但完全自动驾驶是一个难题。
531 00:53:35,434 --> 00:53:37,336 说话人 SPEAKER_01：它不像人们最初想象的那样简单。
532 00:53:38,414 --> 00:53:43,061 说话人 SPEAKER_01：好的，杰夫似乎对强化学习一笔带过。
533 00:53:43,081 --> 00:53:47,507 说话人 SPEAKER_01：但强化学习是很多人非常兴奋的事情，尤其是 DeepMind 的人。
534 00:53:48,789 --> 00:53:53,577 说话人 SPEAKER_01：但是当前强化学习存在一个问题，那就是它非常数据低效。
535 00:53:54,018 --> 00:53:59,646 说话人 SPEAKER_01：如果你想用强化学习训练一个系统做任何事情，它将不得不进行大量的试错。
536 00:53:59,996 --> 00:54:14,635 说话人 SPEAKER_01：例如，要让机器玩 Atari 游戏，经典的 Atari 游戏，达到任何人类在约 15 分钟训练后能达到的水平，机器将不得不玩相当于 80 小时实时游戏。
537 00:54:16,557 --> 00:54:24,148 说话人 SPEAKER_01：要达到超人类水平的围棋，它将不得不玩大约 2000 万场游戏。
538 00:54:24,128 --> 00:54:28,235 说话人 SPEAKER_01：玩星际争霸，这是 DeepMind 最近的一项工作。
539 00:54:29,215 --> 00:54:30,297 说话人 SPEAKER_01：这是一篇博客文章，不是论文。
540 00:54:31,018 --> 00:54:42,998 说话人 SPEAKER_01：AlphaStar 系统相当于 200 年的实时游戏时间，才在单一地图上达到人类水平，针对的是一种单一类型的玩家。
541 00:54:42,978 --> 00:54:49,307 说话人 SPEAKER_01：顺便说一下，所有这些系统都使用了卷积神经网络和其他各种技术，但这确实很有趣。
542 00:54:49,869 --> 00:54:55,797 说话者 SPEAKER_01：强化学习的问题在于，这些模型必须尝试一些方法才能知道它是否可行。
543 00:54:56,259 --> 00:55:04,652 说话者 SPEAKER_01：如果你想在现实世界中训练一个机器人去抓取东西，或者训练一辆车自动驾驶，这实际上并不实用。
544 00:55:04,672 --> 00:55:06,876 说话者 SPEAKER_01：所以，你知道，要弄清楚
545 00:55:08,492 --> 00:55:19,731 说话者 SPEAKER_01：要训练一个系统让汽车不冲下悬崖，它实际上必须多次冲下悬崖，才能弄清楚如何避免这样做。
首先，要弄清楚这是一个坏主意，其次，要弄清楚如何不这样做。
547 00：55：26,422 --> 00：55：27,864 演讲者 SPEAKER_01：因为它没有世界模型。
548 00：55：27,923 --> 00：55：30,588 议长 SPEAKER_01：在发生之前，它无法想象会发生什么。
549 00：55：30,648 --> 00：55：32,831 议长 SPEAKER_01：它必须尝试纠正自己。
550 00:55:33,032 --> 00:55:34,635 说话人 SPEAKER_01：这就是为什么它如此低效。
551 00:55:35,797 --> 00:55:40,610 说话人 SPEAKER_01：这不禁让人思考，人类和动物是如何如此高效、如此快速地学习的？
552 00:55:40,990 --> 00:55:42,034 说话人 SPEAKER_01：我们可以学会开车。
553 00:55:42,074 --> 00:55:46,005 说话人 SPEAKER_01：我们大多数人可以在大约 20 小时的训练后学会开车，而且几乎不会发生事故。
554 00:55:46,847 --> 00:55:47,628 说话人 SPEAKER_01：这是怎么发生的？
555 00:55:48,335 --> 00:56:01,014 说话人 SPEAKER_01：我们不会冲下悬崖，因为我们有一个相当好的直觉物理模型，它告诉我们，如果我正开车靠近悬崖，我向右打方向盘，车就会冲下悬崖，坠落，不会有好结果。
556 00:56:02,516 --> 00:56:04,159 说话人 SPEAKER_01：所以我们有一个内部模型。
557 00:56:04,760 --> 00:56:06,603 说话人 SPEAKER_01：问题是，我们如何学习这个内部模型？
558 00:56:06,983 --> 00:56:10,590 说话人 SPEAKER_01：下一个问题是，我们如何让机器学习像那样的内部模型？
559 00:56:11,451 --> 00:56:12,773 说话人 SPEAKER_01：基本上，就是通过观察。
560 00:56:14,811 --> 00:56:19,601 说话人 SPEAKER_01：所以，在巴黎有一位名叫 Emmanuel Dupou 的先生。
561 00:56:19,681 --> 00:56:21,907 说话人 SPEAKER_01：他是一位发展心理学家。
562 00:56:22,126 --> 00:56:27,878 说话人 SPEAKER_01：他实际上在研究儿童如何学习语言和言语以及类似的事情，还研究其他概念。
563 00:56:27,938 --> 00:56:28,820 说话人 SPEAKER_01：他制作了这个图表。
564 00:56:29,222 --> 00:56:40,398 说话人 SPEAKER_01：关于时间，婴儿在几个月大时学习基本概念，比如区分有生命物体和无生命物体，这通常发生在大约三个月大的时候。
565 00:56:41,599 --> 00:56:51,012 说话人 SPEAKER_01：有些物体是稳定的，有些会掉落，你可以通过观察婴儿对某些物体行为的反应来判断他们是否对此感到惊讶。
566 00:56:52,307 --> 00:56:59,380 说话人 SPEAKER_01：然后婴儿需要大约九个月的时间来弄清楚，不支持的对象会掉落，基本上是重力。
567 00:57:00,503 --> 00:57:13,708 说话人 SPEAKER_01：所以如果你向六个月大的婴儿展示左上角的场景，那里有一辆小车在平台上，你把小车从平台上推下去，小车没有掉落，这是一个骗局。
568 00:57:14,936 --> 00:57:16,760 说话人 SPEAKER_01：六个月大的婴儿甚至不会注意。
569 00:57:16,960 --> 00:57:21,487 说话人 SPEAKER_01：这只是世界向他们抛出的另一件事，他们必须学习。
570 00:57:22,108 --> 00:57:22,467 说话人 SPEAKER_01: 没问题。
571 00:57:23,329 --> 00:57:26,793 说话人 SPEAKER_01: 一个九个月大的婴儿会像左下角的小女孩那样。
572 00:57:28,777 --> 00:57:29,798 说话人 SPEAKER_01: 会非常、非常惊讶。
573 00:57:29,978 --> 00:57:33,123 说话人 SPEAKER_01: 同时，他们已经学会了重力的概念。
574 00:57:34,005 --> 00:57:35,887 说话人 SPEAKER_01：没有人真正告诉他们什么是重力。
575 00:57:35,907 --> 00:57:39,552 说话人 SPEAKER_01：他们只是观察世界，发现没有支撑的物体就会掉落。
576 00:57:39,632 --> 00:57:41,876 说话人 SPEAKER_01：当这种情况没有发生时，他们会感到惊讶。
577 00:57:43,498 --> 00:57:44,320 说话人 SPEAKER_01：这是怎么发生的？
578 00:57:45,244 --> 00:57:46,447 说话人 SPEAKER_01：这不仅仅是人类。
579 00:57:46,467 --> 00:57:47,568 说话人 SPEAKER_01：动物也有那些模型。
580 00:57:47,969 --> 00:57:50,353 说话人 SPEAKER_01：你知道，猫、狗、老鼠。
581 00:57:51,456 --> 00:57:51,936 说话人 SPEAKER_01：或者黑猩猩。
582 00:57:52,376 --> 00:57:53,739 说话人 SPEAKER_01：这里有一个小猩猩。
583 00:57:53,760 --> 00:57:55,061 说话人 SPEAKER_01：它正在被展示一个魔术。
584 00:57:55,643 --> 00:57:56,625 说话人 SPEAKER_01：把一个物体放进杯子里。
585 00:57:58,628 --> 00:58:00,150 说话人 SPEAKER_01：移除物体，但它没有注意到。
586 00:58:01,012 --> 00:58:03,076 说话人 SPEAKER_01: 然后出示杯子。
587 00:58:03,096 --> 00:58:03,516 说话人 SPEAKER_01: 它是空的。
588 00:58:05,119 --> 00:58:06,021 说话人 SPEAKER_01: 它在地板上笑着。
589 00：58：08,802 --> 00：58：12,286 议长 SPEAKER_01：所以他的世界模型被侵犯了，对吧？
590 00：58：12,306 --> 00：58：13,387 议长 SPEAKER_01：他有一个相当不错的世界模型。
591 00：58：13,507 --> 00：58：15,550 演讲者 SPEAKER_01：对象持久性，这是一个非常基本的概念。
592 00：58：15,630 --> 00：58：17,393 发言者 SPEAKER_01：物体不应该就这样消失。
593 00:58:18,655 --> 00:58:26,244 说话人 SPEAKER_01：当你的世界观被违反时，你会注意，因为你将学到一些你不知道的世界知识。
594 00:58:26,286 --> 00:58:31,873 说话人 SPEAKER_01：如果它真的违反了关于世界的非常基本的东西，那很有趣。
595 00:58:33,253 --> 00:58:36,197 说话人 SPEAKER_01：但这也可能很危险，对吧？
596 00:58:36,217 --> 00:58:40,539 说话人 SPEAKER_01：这是可能会要了你的命的东西，因为你没有预测到刚刚发生了什么。
597 00:58:41,601 --> 00:58:42,702 说话人 SPEAKER_01：好吧，那么什么是救赎？
598 00:58:42,742 --> 00:58:45,304 说话人 SPEAKER_01：真的，你知道，我们如何让机器学习这类东西？
599 00:58:46,606 --> 00:58:51,909 说话人 SPEAKER_01：你知道，我们在生命的头几个月里，通过观察就学会了大量关于世界的背景知识。
600 00:58:52,971 --> 00:58:53,871 说话人 SPEAKER_01：动物也会这样做。
601 00:58:54,612 --> 00:59:02,940 说话者 SPEAKER_01：例如，如果我问你，如果我训练自己预测当我稍微向左转动头部时世界会是什么样子。
602 00:59:04,641 --> 00:59:16,384 说话者 SPEAKER_01：由于视差运动，近处的物体和远处的物体相对于我的视角移动的方式不会相同。
603 00:59:17,746 --> 00:59:27,105 说话者 SPEAKER_01：因此，最好的方法是内部表示深度概念，以预测当我移动头部时世界会是什么样子。
604 00:59:28,704 --> 00:59:40,099 说话者 SPEAKER_01：因此，相反地，如果我训练一个系统来预测当它移动相机时世界会是什么样子，也许它会自动学习深度概念。
605 00:59:40,681 --> 00:59:42,202 说话人 SPEAKER_01：一旦有了深度，就有了物体。
606 00:59:42,282 --> 00:59:44,545 说话人 SPEAKER_01：因为物体在别人前面，所以有了遮挡边缘。
607 00:59:45,086 --> 00:59:50,713 说话人 SPEAKER_01：一旦有了物体，就有了可以影响的事物，可以独立于其他事物移动的事物等等。
608 00:59:50,753 --> 00:59:56,501 说话人 SPEAKER_01：因此，概念可以通过预测层层叠加。
609 00:59:57,663 --> 00:59:59,327 说话人 SPEAKER_01：这就是自监督学习的概念。
610 00:59:59,507 --> 01:00:00,949 说话人 SPEAKER_01：它是预测和重建。
611 01:00:01,871 --> 01:00:05,581 说话人 SPEAKER_01：我给机器提供一段数据，比如说一个视频片段。
612 01:00:06,181 --> 01:00:13,478 说话人 SPEAKER_01：我将视频片段的一部分遮挡起来，并要求系统根据它所能观察到的部分预测缺失的部分。
613 01:00:14,268 --> 01:00:16,771 说话人 SPEAKER_01: 好的，那么这就是视频预测，就是预测未来。
614 01:00:18,293 --> 01:00:23,320 说话人 SPEAKER_01: 但是自监督学习的更一般形式是，我事先并不指定要掩码的部分。
615 01:00:24,221 --> 01:00:29,507 说话人 SPEAKER_01: 我只是告诉系统我要掩码一部分，然后被掩码的部分，我要求你重构它。
616 01:00:32,010 --> 01:00:33,833 说话人 SPEAKER_01: 事实上，我甚至可能根本不掩码。
617 01:00:34,353 --> 01:00:40,782 说话人 SPEAKER_01：我将虚拟地屏蔽它，并要求系统在特定约束下重建输入。
618 01:00:40,998 --> 01:00:44,121 说话人 SPEAKER_01：这种自监督学习的优势在于它不依赖于特定任务。
619 01:00:44,202 --> 01:00:47,405 说话人 SPEAKER_01：你让机器了解世界，而不需要为特定任务进行训练。
620 01:00:48,485 --> 01:00:52,231 说话人 SPEAKER_01：因此，它可以通过观察来学习，而无需与世界互动，这要高效得多。
621 01:00:52,590 --> 01:00:55,914 说话人 SPEAKER_01: 但更重要的是，你要求系统预测很多东西。
622 01:00:56,956 --> 01:01:04,844 说话人 SPEAKER_01: 不仅像强化学习中的值函数那样，基本上你只给机器预测一个标量值。
623 01:01:05,364 --> 01:01:11,514 说话人 SPEAKER_01: 而不是监督学习，在监督学习中，你要求系统预测一个标签，这只是一个几个比特的信息。
624 01:01:12,795 --> 01:01:15,800 说话人 SPEAKER_01: 在自监督学习的情况下，你要求机器预测很多东西。
625 01:01:18,342 --> 01:01:28,538 说话人 SPEAKER_01: 因此，这让我想到了一个稍微有点令人讨厌的类比，至少对于从事强化学习的人来说是这样的，那就是如果智能或学习是一块蛋糕的话，
626 01:01:28,686 --> 01:01:33,344 说话人 SPEAKER_01: 这块蛋糕的大部分，我们称之为法国的吉诺斯，实际上是自监督学习。
627 01:01:33,364 --> 01:01:37,802 说话人 SPEAKER_01: 我们学到的很多东西，我们积累的关于世界的知识的大部分，都是通过自监督学习学到的。
628 01:01:38,862 --> 01:01:42,005 说话人 SPEAKER_01: 蛋糕上有一点点糖霜，这就是监督学习。
629 01:01:42,164 --> 01:01:45,467 说话人 SPEAKER_01：我们被展示了一本图画书，并且告诉我们物体的名字。
630 01:01:46,088 --> 01:01:49,311 说话人 SPEAKER_01：仅仅通过几个例子，我们就能知道这些物体是什么。
631 01:01:50,532 --> 01:02:01,481 说话人 SPEAKER_01：我们学习了某些单词的含义，而婴儿和幼儿每天可以学习很多很多新单词。
632 01:02:02,322 --> 01:02:04,184 说话人 SPEAKER_01：然后，蛋糕上的樱桃就是强化学习了。
您请求的机器翻译内容如下： 您要求机器预测的信息量非常小，因此没有办法
634 01：02：08,849 --> 01：02：12,371 演讲者 SPEAKER_01：机器可以纯粹地从这种形式的学习中学习。
635 01：02：12,492 --> 01：02：20,320 演讲者 SPEAKER_01：这得是所有三种学习形式的结合，但主要是自我监督的学习。
636 01：02：20,800 --> 01：02：21,960 议长 SPEAKER_01：这个想法并不新鲜。
637 01:02:22,380 --> 01:02:29,788 众多人主张预测学习、学习模型、预测模型这一观点。
638 01:02:30,608 --> 01:02:34,893 事实上，杰夫就是这样一个人。
639 01:02:35,353 --> 01:02:37,135 这是他的名言。
640 01:02:37,672 --> 01:02:45,222 你知道，这是几年前的事情了，但他至少已经说了40年，比我认识他还要久。
641 01:02:46,423 --> 01:02:47,907 说话人 SPEAKER_01: 它是这样的。
642 01:02:47,987 --> 01:02:54,675 说话人 SPEAKER_01: 大脑大约有 10 的 14 次方个突触，而我们只活大约 10 的 9 次方秒，所以我们有比数据多得多的参数。
643 01:02:54,715 --> 01:03:05,771 说话人 SPEAKER_01: 这促使我们产生这样的想法，我们必须进行大量的无监督学习，或者自监督学习，因为感知输入，包括本体感觉，是我们唯一可以每秒获得 10 的 50 次方约束的地方。
644 01:03:05,751 --> 01:03:21,516 说话人 SPEAKER_01: 如果你被要求预测每时每刻进入你感官的一切，你知道，每一秒的每一部分，你都要学习大量的信息，这可能足以约束我们大脑中所有的突触，以便学习有意义的事物。
645 01:03:23,115 --> 01:03:28,487 说话人 SPEAKER_01：在我看来，深度学习的后续是自监督学习。
646 01:03:28,507 --> 01:03:43,115 说话人 SPEAKER_01：实际上，正如 Jeff 提到的，我们 Yoshua、Jeff 和我从 2000 年代初开始的这种深度学习阴谋，重点是无监督学习，无监督预训练。
647 01:03:43,096 --> 01:03:44,358 说话人 SPEAKER_01：这在一定程度上是成功的。
648 01:03:44,858 --> 01:03:48,965 说话人 SPEAKER_01：但我们把它放在了一边一段时间。
649 01:03:49,286 --> 01:03:50,527 说话人 SPEAKER_01: 它现在又回到了前台。
650 01:03:51,568 --> 01:03:54,052 说话人 SPEAKER_01: 它将引发一场新的革命，至少这是我的预测。
651 01:03:54,994 --> 01:03:57,217 说话人 SPEAKER_01: 下一场革命将不会是监督式的。
652 01:03:58,659 --> 01:04:02,186 说话人 SPEAKER_01: 因此我要感谢 Aljosha Efros 这个口号。
653 01:04:02,306 --> 01:04:03,206 说话人 SPEAKER_01: 他发明了它。
654 01:04:04,750 --> 01:04:06,592 说话人 SPEAKER_01: 当然，他是受到了 Jill Scott Heron 的启发。
655 01:04:06,932 --> 01:04:08,534 说话人 SPEAKER_01: 革命不会在电视上播出。
656 01:04:09,257 --> 01:04:11,500 说话人 SPEAKER_01: 现在甚至可以买到印有这句话的 T 恤。
657 01:04:14,585 --> 01:04:16,047 说话人 SPEAKER_01: 那么自我监督学习究竟是什么呢？
658 01:04:16,367 --> 01:04:17,891 说话人 SPEAKER_01: 自我监督学习就是填补空白。
659 01:04:19,413 --> 01:04:21,717 说话人 SPEAKER_01: 它在自然语言处理方面效果非常好。
660 01:04:22,137 --> 01:04:39,106 说话人 SPEAKER_01: 所以自然语言处理，在过去一年中成为标准的方法，比如 BERT 和其他模型，就是从文本语料库中提取一段长序列的单词，然后删除其中一部分单词，
661 01:04:40,235 --> 01:04:46,682 说话人 SPEAKER_01：您基于这些 Transformer 架构或各种其他架构训练一个非常大的神经网络来预测缺失的单词。
662 01:04:47,443 --> 01:04:58,538 说话人 SPEAKER_01：实际上，它并不能精确地预测缺失的单词，所以您要求它预测整个词汇表在整个词汇分布中每个单词出现在这些位置的概率分布。
663 01:05:00,300 --> 01:05:03,364 说话人 SPEAKER_01：这就是我们所说的掩码自动编码器的一个特例。
664 01:05:04,105 --> 01:05:09,110 说话人 SPEAKER_01：您给它一个输入，要求它重建这部分缺失的输入。
665 01:05:09,309 --> 01:05:12,693 说话人 SPEAKER_01：人们一直在图像识别的背景下尝试做这件事。
666 01:05:12,893 --> 01:05:14,414 说话人 SPEAKER_01：在这方面有各种尝试。
667 01:05:14,474 --> 01:05:22,603 说话人 SPEAKER_01：这是 Pathak 等人几年前的研究成果，其中你将图像的一些部分空白，然后要求系统填充它们。
668 01:05:23,503 --> 01:05:28,568 说话人 SPEAKER_01：它只部分成功，远不如在自然语言处理领域的成功。
669 01:05:28,969 --> 01:05:35,114 说话人 SPEAKER_01：所以自然语言处理，过去一年里使用这些预训练系统进行
670 01:05:35,297 --> 01:05:37,902 说话人 SPEAKER_01：自然语言理解、翻译、各种各样的事情。
671 01:05:38,041 --> 01:05:39,403 说话人 SPEAKER_01：性能惊人。
672 01：05：39,643 --> 01：05：42,608 演讲者 SPEAKER_01：他们是非常非常大的模型，但性能真的很好。
673 01:05:43,248 --> 01:06:00,293 说话者 SPEAKER_01：这种迹象在 Yoshua Bengio 很久以前在 90 年代进行的工作中就已经有所体现，Rolando Colabella 和 Jason Weston 在 2010 年左右使用神经网络进行 NLP 研究时也发现了这一点。
