1 00:00:00,908 --> 00:00:02,549 演讲者 演讲者_06: 大家好。
431 00:45:20,251 --> 00:45:28,980 演讲者 SPEAKER_09: 正如我所说，深度学习在感知方面表现良好，深度强化学习在动作生成方面表现良好，只有在试验成本低廉的情况下，所以它主要在模拟中工作。
432 00:45:30,702 --> 00:45:34,246 演讲者 SPEAKER_09: 但社区正在努力解决，并且应该更加努力解决的问题有三个。
433 00:45:34,746 --> 00:45:39,572 讲者 SPEAKER_09：第一个问题是，我们如何用更少的标签、更少的样本或更少的试验来学习？
434 00:45:40,818 --> 00:46:02,161 讲者 SPEAKER_09：关于这个问题的建议，我借鉴了 Jeff 的想法，基本上，在忽略他 15 年后又改变主意，就是使用无监督学习，或者我更喜欢称之为自监督学习，因为我们使用的算法实际上类似于监督学习，这基本上是学习填补空白。
435 00:46:02,581 --> 00:46:06,927 讲者 SPEAKER_09：transformers 和类似的东西就是这种例子，我稍后会提到。
436 00:46:06,907 --> 00:46:10,376 讲者 SPEAKER_09：所以基本上是先学习表示世界，然后再学习任务。
437 00:46:10,715 --> 00:46:11,719 演讲者 SPEAKER_09：这就是婴儿所做的事情。
438 00:46:12,541 --> 00:46:14,364 演讲者 SPEAKER_09：动物也会这样做，对吧？
439 00:46:14,405 --> 00:46:19,277 所以我们在学习任何任务之前，先了解世界，了解它是如何运作的。
440 00:46:19,297 --> 00:46:24,831 一旦我们对世界的表征很好，学习一个任务只需要几次尝试和一些样本。
441 00:46:24,811 --> 00:46:26,652 演讲者 SPEAKER_09：第二个挑战是推理。
442 00:46:27,114 --> 00:46:31,920 演讲者 SPEAKER_09：所以我刚刚展示了一个例子，说明你可以如何在不实际进行简单操作的情况下进行简单操作。
443 00:46:32,942 --> 00:46:42,012 演讲者 SPEAKER_09：问题是，你知道，我们如何超越 Denny Kahneman 所说的系统一那样的前馈计算。
444 00:46:42,773 --> 00:46:45,637 演讲者 SPEAKER_09：关于这一点，我不会过多地谈论，因为我知道 Yoshua 将会谈到那个话题。
445 00:46:45,617 --> 00:46:52,250 演讲者 SPEAKER_09: 但是问题是，我们如何使推理与基于梯度的学习相兼容？
446 00:46:53,271 --> 00:46:54,815 演讲者 SPEAKER_09: 我们如何使推理可微分？
447 00:46:54,835 --> 00:46:57,018 演讲者 SPEAKER_09: 这就是关键所在。
448 00:46:57,500 --> 00:46:59,724 演讲者 SPEAKER_09: 而没有人真正有一个完整的良好答案。
449 00:47:00,085 --> 00:47:00,646 演讲者 SPEAKER_09：这是一个挑战。
450 00:47:01,166 --> 00:47:09,481 演讲者 SPEAKER_09：然后第三个问题是，我们如何学习规划复杂动作序列，将复杂任务分解为子任务？
451 00:47:09,461 --> 00:47:20,414 然后，你知道，我们可以通过卷积网络、胶囊等，学习图像、语音、文本等的层次化表示。
452 00:47:20,876 --> 00:47:23,619 演讲者 SPEAKER_09：但是，我们如何学习动作计划的层次化表示呢？
453 00:47:24,019 --> 00:47:25,181 演讲者 SPEAKER_09：我们不知道如何做这件事。
454 00:47:25,661 --> 00:47:28,284 演讲者 SPEAKER_09：所以，我将简要谈谈第一点。
455 00:47:28,786 --> 00:47:31,588 演讲者 SPEAKER_09：第二点我提到了，但不会过多地回到这一点。
456 00:47:31,949 --> 00:47:34,913 演讲者 SPEAKER_09：至于第三点，我不知道如何解决，所以根本不会谈论它。
但我对你们可能有的任何想法都持开放态度。
458 00:47:38,778 --> 00:47:41,804 演讲者 SPEAKER_09：人类是如何如此快速且高效地学习的呢？
459 00:47:43,126 --> 00:47:45,490 演讲者 SPEAKER_09：这不是监督学习，也不是强化学习，对吧？
460 00:47:45,510 --> 00:47:54,246 演讲者 SPEAKER_09：所以我从巴黎的认知科学家 Emmanuel Dupou 那里偷来了这张幻灯片，他在 Facebook 工作过一段时间。
461 00:47:55,507 --> 00:47:58,773 演讲者 SPEAKER_09：如果你把左上角的场景展示给一个婴儿看，
462 00:47:59,260 --> 00:48:04,385 说话人 SPEAKER_09：一个小车在平台上，你把小车从平台上推下去，小车没有掉下来。
463 00:48:04,425 --> 00:48:04,985 说话人 SPEAKER_09：这里有个诀窍。
464 00:48:06,106 --> 00:48:11,893 说话人 SPEAKER_09：一个六个月大的婴儿会这样看，你知道的，就像什么也没看到一样，对吧？
465 00:48:12,273 --> 00:48:14,335 说话人 SPEAKER_09：这对那个婴儿来说似乎并不很有趣。
466 00:48:15,376 --> 00:48:17,920 演讲者 SPEAKER_09：它将像看待其他一切事物一样看待它。
467 00:48:18,960 --> 00:48:25,807 演讲者 SPEAKER_09：如果你把这个展示给一个九个月或十个月大的婴儿，她看起来就像左下角的那个小女孩。
468 00:48:26,782 --> 00:48:30,771 演讲者 SPEAKER_09：因为在八个月到九个月大的时候，婴儿开始了解重力。
469 00:48:30,911 --> 00:48:33,615 演讲者 SPEAKER_09：所以他们知道没有支撑的物体应该会掉落。
470 00:48:33,737 --> 00:48:37,423 演讲者 SPEAKER_09：所以当一个物体违反了那条规则，它们会非常惊讶。
471 00:48:37,885 --> 00:48:40,590 演讲者 SPEAKER_09：他们会像疯了一样地看它，因为他们觉得他们错过了什么。
472 00:48:42,038 --> 00:48:47,784 演讲者 SPEAKER_09：这是尝试弄清楚婴儿是否学会了基本概念的一种方法。
473 00:48:47,804 --> 00:49:04,199 演讲者 SPEAKER_09：有一种观点，回到皮亚杰和更早的时候，婴儿是按顺序学习概念的，一种接一种，越来越抽象，越来越复杂。
474 00:49:04,820 --> 00:49:07,842 讲者 SPEAKER_09：婴儿很早就学会了物体恒存。
475 00:49:07,862 --> 00:49:09,625 有些人声称这实际上是天生的。
476 00:49:10,425 --> 00:49:11,606 这是一个很大的问题。
477 00:49:11,586 --> 00:49:18,280 他们在大约三个月左右的时间学会区分有生命物体和无生命物体。
478 00:49:18,300 --> 00:49:23,110 演讲者 SPEAKER_09：它们能够快速学习类别，即使没有告诉它们任何名称。
479 00:49:23,911 --> 00:49:30,344 演讲者 SPEAKER_09：它们在九个月大时，就能学习关于重力、惯性和动量守恒等 2D 物理知识。
480 00:49:30,364 --> 00:49:31,266 演讲者 SPEAKER_09：我们是如何做到这一点的？
481 00:49:32,190 --> 00:49:34,516 演讲者 SPEAKER_09：这不仅仅是婴儿，还有动物。
482 00:49:34,536 --> 00:49:35,878 说话人 SPEAKER_09：这里有一只小猩猩。
483 00:49:36,059 --> 00:49:38,925 说话人 SPEAKER_09：他正在被展示一个与物体恒存性有关的魔术。
484 00:49:38,945 --> 00:49:42,532 说话人 SPEAKER_09：你把一个物体放在杯子里，摇动杯子，拿出物体。
485 00:49:42,592 --> 00:49:44,295 说话人 SPEAKER_09：猩猩没有看到这一点。
486 00:49:44,697 --> 00:49:45,699 演讲者 SPEAKER_09：杯子现在空了。
487 00:49:46,721 --> 00:49:47,503 演讲者 SPEAKER_09：展示空杯子。
488 00:49:49,987 --> 00:49:52,393 演讲者 SPEAKER_09：小猩猩在地上打滚大笑。
489 00:49:57,250 --> 00:49:59,411 演讲者 SPEAKER_09：因为他的世界观被打破了。
490 00:49:59,512 --> 00:50:02,135 演讲者 SPEAKER_09：他知道物体恒存。
491 00:50:02,494 --> 00:50:04,077 演讲者 SPEAKER_09：顺便说一句，猩猩没有语言。
492 00:50:04,376 --> 00:50:05,539 演讲者 SPEAKER_09：它们甚至不是群居动物。
493 00:50:07,000 --> 00:50:08,081 演讲者 SPEAKER_09：它们过着孤独的生活。
494 00:50:10,123 --> 00:50:19,994 讲者 SPEAKER_09：这就告诉了你如何变得聪明，不一定是通过语言或语言交流。
495 00:50:20,614 --> 00:50:22,036 讲者 SPEAKER_09：那么，什么是自监督学习？
496 00:50:22,155 --> 00:50:27,021 讲者 SPEAKER_09：自监督学习是过去一年半多 NLP 成功的关键。
497 00:50:27,001 --> 00:50:32,652 讲者 SPEAKER_09：这是训练一个系统来填补空白的想法，对吧？
您向系统展示一段输入，比如文本、视频，甚至图像，然后隐藏其中一部分，如果您愿意，可以将其部分遮挡，并训练一个神经网络或您喜欢的模型来预测缺失的部分。
499 00:50:47,842 --> 00:50:51,865 演讲者 SPEAKER_09：所以它可以是预测视频中的未来，或者它可以是预测文本中的缺失单词。
预测文本中缺失的单词正是 transformers 和 Bert-like 系统，现在有很多追随者，所构建的功能。
您向一个巨大的神经网络展示一段文本，最大的那些有数十亿个参数，您大约遮盖了15%的单词，然后训练这个网络预测缺失的单词。
502 00:51:14,335 --> 00:51:27,864 演讲者 SPEAKER_09：训练这样的系统很容易，因为关于哪个词可能会缺失，当然存在一些不确定性，但我们可以用整个词典的概率向量来表示这种不确定性。
503 00:51:27,885 --> 00:51:31,112 演讲者 SPEAKER_09：所以，这没问题。
504 00:51:31,092 --> 00:51:46,817 演讲者 SPEAKER_09：但对于图像来说，问题就更大了。Transformer 和 BERT 在图像领域的成功并没有得到体现，因为事实证明，在图像或视频中表示预测的不确定性比在文本中要困难得多，因为它们不是离散的。
505 00:51:47,418 --> 00:51:54,670 演讲者 SPEAKER_09：我们可以生成所有词典中单词的分布，但我们不知道如何表示所有可能的视频帧的分布。
506 00:51:54,650 --> 00:52:12,152 演讲者 SPEAKER_09：因此实际上产生了问题，那就是世界并非完全可预测，一个初始视频片段有许多可能的延续，如果你训练一个系统进行单一预测，
507 00:52:13,447 --> 00:52:18,414 演讲者 SPEAKER_09：训练一个神经网络来预测视频中的下一几个帧，你得到的是模糊的预测。
508 00:52:18,434 --> 00:52:26,123 演讲者 SPEAKER_09：原因是系统实际上无法预测未来会发生什么，因此它预测所有可能未来的平均值，而这恰好是一个模糊的图像。
509 00:52:28,867 --> 00:52:29,847 演讲者 SPEAKER_09：那么我们该如何解决这个问题呢？
510 00:52:29,907 --> 00:52:38,898 讲者 SPEAKER_09：在我看来，这是我们必须要解决的主要技术问题，如果你想要将自监督学习应用于视频等多种模态的话。
511 00:52:41,072 --> 00:52:48,382 讲者 SPEAKER_09：所以有几种不同的选择，但我觉得基于潜在变量能量模型的这个想法最有希望。
512 00:52:48,442 --> 00:52:54,849 讲者 SPEAKER_09：所以基于能量的模型有点像概率模型，只不过你不进行归一化。
513 00:52:55,030 --> 00:52:56,672 讲者 SPEAKER_09：你不使用指数也不进行归一化。
514 00:52:56,692 --> 00:53:01,677 讲者 SPEAKER_09：所以，如果你是概率论或贝叶斯，就把能量看作是负对数概率。
515 00:53:01,797 --> 00:53:04,701 除了这个，它就像一个概率模型。
516 00:53:04,681 --> 00:53:18,043 所以，你有一个能量函数，在这种情况下是 C of yy bar，它衡量一个观察值 x 和一个预测值、期望预测值 y 之间的兼容性，y 也是一个观察值。
517 00:53:18,704 --> 00:53:26,318 所以，x 将是视频的初始段，y 将是该视频的未来。
518 00:53:26,297 --> 00:53:31,206 演讲者 SPEAKER_09：然后这个基于能量的系统为你提供了这两个之间的兼容性。
519 00:53:31,507 --> 00:53:50,077 演讲者 SPEAKER_09：现在，有几种可能的不同未来，所以你在这个图中有一个可以变化的潜在变量 z，当你改变这个潜在变量时，预测值 y bar 会在某种流形上变化，这就是可能的预测、可能的未来的流形。
520 00:53:53,871 --> 00:54:09,382 演讲者 SPEAKER_09：在这方面已经有很多研究，但还没有取得巨大的成功，但有时使用各种方法训练这些系统，如对抗方法或其他方法，似乎可以减少这种模糊性。
521 00:54:09,422 --> 00:54:14,090 演讲者 SPEAKER_09：我将在几分钟内回到这个问题。
522 00:54:14,898 --> 00:54:17,641 讲者 SPEAKER_09：杰夫几十年来一直在提出这个论点。
523 00:54:18,081 --> 00:54:20,923 讲者 SPEAKER_09：正如我所说，我对此怀疑了很长时间，但后来改变了我的想法。
524 00:54:21,443 --> 00:54:36,018 讲者 SPEAKER_09：这个想法是，在使用这种自监督学习或无监督学习形式时，你从机器那里获得或提供给机器的信息比训练机器进行监督学习或强化学习时更多。
525 00:54:36,777 --> 00:54:41,782 讲者 SPEAKER_09：在强化学习中，你偶尔会给机器一个由单个标量组成的反馈。
526 00:54:41,762 --> 00:54:47,210 演讲者 SPEAKER_09：所以，不可避免地，你要求机器预测的信息量非常小。
527 00:54:47,871 --> 00:54:51,217 演讲者 SPEAKER_09：所以，不可避免地，机器要学习任何东西都需要进行许多许多次试验。
528 00:54:51,958 --> 00:54:59,889 演讲者 SPEAKER_09：在监督学习中，你每次样本都给出一些信息，这些信息是成千上万的类别之一。
529 00:54:59,869 --> 00:55:02,992 演讲者 SPEAKER_09：再次强调，这些信息相当薄弱，这也是为什么你需要这么多样本的原因。
530 00:55:03,652 --> 00:55:08,518 演讲者 SPEAKER_09：在自监督学习中，你要求机器预测整个视频帧，甚至整个视频。
531 00:55:09,378 --> 00:55:11,059 演讲者 SPEAKER_09：因此，它包含的信息量更多。
532 00:55:11,099 --> 00:55:15,623 演讲者 SPEAKER_09：为了学习关于世界的同样多的知识，你可能需要的样本更少。
533 00:55:16,083 --> 00:55:20,288 演讲者 SPEAKER_09：问题是这些数据不可靠，因为你需要处理不确定性。
534 00:55:20,568 --> 00:55:21,668 演讲者 SPEAKER_09：有许多可能的结果。
535 00:55:21,708 --> 00:55:28,375 演讲者 SPEAKER_09：所以，如果你想将自监督学习扩展到实际应用，我们需要解决这个技术问题。
536 00:55:28,355 --> 00:55:44,490 演讲者 SPEAKER_09：这让我想到了一个令人讨厌的比喻，如果智能是一块蛋糕，那么自监督学习就是蛋糕的主体，即蛋糕体，监督学习就是蛋糕上的糖霜，而强化学习就是蛋糕上的樱桃。
537 00:55:46,152 --> 00:55:48,795 演讲者 SPEAKER_09：我为所有在场的强化学习专家表示歉意。
538 00:55:50,396 --> 00:55:55,981 讲者 SPEAKER_09：我最好的朋友中有些是强化学习的人。
539 00:55:57,768 --> 00:56:04,235 你知道，这并不是说，顺便提一下，这是一种法式鸭肝酱，你知道，黑森林蛋糕，樱桃在这里是必不可少的。
540 00:56:07,998 --> 00:56:13,103 好的，所以 AI 的下一场革命将不是监督学习，也不是纯粹强化学习。
541 00:56:13,144 --> 00:56:16,447 据说，你甚至可以买一件 T 恤，有人用这个口号做了 T 恤。
542 00:56:16,827 --> 00:56:19,010 演讲者 SPEAKER_09：我从阿里·沙伊赫那里偷来了这个标语，这不是我的。
543 00:56:20,311 --> 00:56:22,914 演讲者 SPEAKER_09：而他又是从吉尔·斯科特·赫尔南那里偷来的。
544 00:56:22,894 --> 00:56:38,268 演讲者 SPEAKER_09：好的，所以我谈到了基于能量的模型这一想法，我没有时间详细解释这是什么，我将快速展示一个非常复杂的幻灯片，我不会解释，它展示了各种训练这些基于能量的模型的方法。
545 00:56:38,668 --> 00:56:42,753 演讲者 SPEAKER_09：基本上有两种主要方法用于训练它们。
546 00:56:43,112 --> 00:56:52,902 讲者 SPEAKER_09：第一个我们称之为对比，这里有很多方法你可能已经了解。
547 00:56:52,882 --> 00:57:00,833 讲者 SPEAKER_09：第二个是关于架构的，这些是我比较偏好的，但我先从对比的讲起。
548 00:57:00,893 --> 00:57:10,889 讲者 SPEAKER_09：所以训练一个基于能量的模型的一种方法是将它训练成对观察到的样本给予低能量，对未观察到的样本给予高能量。
549 00:57:10,869 --> 00:57:14,875 讲者 SPEAKER_09：所以，你知道，在以前，玻尔兹曼机是受限的。
550 00:57:14,894 --> 00:57:28,190 讲者 SPEAKER_09：玻尔兹曼机通过对比散度进行训练，这是对比学习方法的一个例子，你给机器一个数据点，然后给它一个非数据点，然后降低数据点的能量，提高非数据点的能量。
551 00:57:28,530 --> 00:57:30,472 讲者 SPEAKER_09：所以这是模型计算的能量，对吧？
552 00:57:30,492 --> 00:57:38,581 讲者 SPEAKER_09：所以你的模型在输出空间中计算一个能量函数，然后你以适当的方式塑造它。
553 00:57:39,811 --> 00:57:57,456 讲者 SPEAKER_09：现在，BERT 类型的系统，变换器通过对比方法进行预训练，这是所谓的去噪自编码器的一个特例，它出自于 Yoshua 的实验室，由 Pascal Vincent 提出。
554 00:57:57,476 --> 00:58:02,021 演讲者 SPEAKER_09：这个想法是这样的，你取一个样本，然后
555 00:58:03,385 --> 00:58:17,264 演讲者 SPEAKER_09：以某种方式对其进行破坏，比如在句子中删除单词，例如在 Bert 的情况下，然后将其通过网络运行，并训练这个网络从破坏版本恢复数据到未破坏版本。
556 00:58:18,364 --> 00:58:29,780 演讲者 SPEAKER_09：稍微思考一下，你就会很快意识到这是一种基于能量的训练形式，你迫使破坏点的能量高于未破坏点的能量。
557 00:58:32,612 --> 00:58:35,923 演讲者 SPEAKER_09：对于某种能量定义，这有点像是重建误差，如果你愿意的话。
558 00:58:37,148 --> 00:58:39,034 演讲者 SPEAKER_09：这就是一个非常成功的例子。
559 00:58:39,556 --> 00:58:40,559 演讲者 SPEAKER_09：对于文本来说效果非常好。
560 00:58:41,121 --> 00:58:42,706 演讲者 SPEAKER_09：正如我说的，对于图像来说效果不是很好。
561 00:58:43,902 --> 00:58:50,112 演讲者 SPEAKER_09：这里还有一个更成功的例子，是针对图像的，这是对比训练的另一个例子，它是对比嵌入。
562 00：58：50,733 --> 00：59：10,686 演讲者 SPEAKER_09：在过去的几个月里，有很多关于这方面的论文，使用这种方法作为预训练阶段，然后针对特定的监督任务进行微调，在计算机视觉任务上取得了破纪录的性能。
这里缺少一个参考文献，是来自 Olivier Naf 及其 DeepMind 合作者的一篇论文中的较新参考文献。
564 00:59:17,952 --> 00:59:26,280 发言人 发言人_09：但是这里的三篇论文来自 Facebook，所以 DeepFace 可以算是一篇关于人脸识别的旧论文，这是一种有点专业化的应用。
565 00:59:26,659 --> 00:59:34,427 演讲者 演讲者_09：最近的两项是所谓的 PERL，即 Misra 等人提出的“基于欺骗不变性表征学习”
566 00:59:35,487 --> 00:59:39,492 演讲者 SPEAKER_09：第二个是 MOCO，由 He Kaiming 等人提出。
567 00:59:39,911 --> 00:59:40,672 演讲者 SPEAKER_09：两者都在 Facebook。
568 00:59:40,652 --> 00:59:52,148 演讲者 SPEAKER_09：那里的想法是，它是一种各种事物的混合体，但基于我多年前提出的 Siamese 网络的理念。
569 00:59:52,847 --> 01:00:08,347 演讲者 SPEAKER_09：所以你拿一张图片，对其进行轻微的破坏，然后向两个神经网络展示这两张图片，并告诉这两个神经网络，你们应该输出相似的结果，因为展示给你们看的东西在语义上是相同的。
570 01:00:08,327 --> 01:00:21,603 讲者 SPEAKER_09：然后你从训练数据中取出两个不同的样本，把它们展示给这两个，你知道的，两个平行相同的神经网络，然后你告诉系统，无论产生什么输出，对于这两个样本都应该是不同的。
571 01:00:22,443 --> 01:00:28,670 讲者 SPEAKER_09：现在，那里的技巧，以及 Perl 和 MoCo 的技巧，是如何挑选那些负样本的。
572 01:00:28,952 --> 01:00:33,677 讲者 SPEAKER_09：所以它们有特定的方法来挑选，也就是所谓的硬负样本挖掘。
573 01:00:33,657 --> 01:00:38,163 讲者 SPEAKER_09：并且选择那些样本，以便它们实际上有助于训练。
574 01:00:38,324 --> 01:00:43,371 演讲者 SPEAKER_09：但最终，这些系统工作得相当好，并在某些标准数据集上打破了记录。
575 01:00:44,873 --> 01:00:50,942 演讲者 SPEAKER_09：所以，至少在对比自监督学习应用于图像识别方面，这是一个成功。
576 01:00:53,184 --> 01:00:54,686 演讲者 SPEAKER_09：好的。
577 01:00:56,353 --> 01:01:09,447 演讲者 SPEAKER_09：所以，当你有一个基于能量的模型并且具有潜在变量时，如果你给我一个 x 和一个 y，你必须找到这个潜在变量的值，以使系统整体能量输出最小化。
578 01:01:09,849 --> 01:01:12,135 演讲者 SPEAKER_09：你们可以把它看作是一种推理形式。
579 01:01:12,114 --> 01:01:18,443 演讲者 SPEAKER_09：好的，那么这应该就是一个推理发生的神经网络或深度学习系统的例子，对吧？
580 01:01:18,744 --> 01:01:30,141 演讲者 SPEAKER_09：你在系统中计算输出和进行推理的方式是，通过最小化关于潜在变量的能量函数，并且据说当你对输出变量进行推理时也是如此。
581 01:01:30,121 --> 01:01:41,530 演讲者 SPEAKER_09：因此，这可以成为一种通用的框架，通过从前馈到优化，从系统 1 过渡到系统 2。
582 01：01：41,831 --> 01：01：46,675 演讲者 SPEAKER_09：当然，为推理进行能量最小化的想法非常非常新。
583 01:01:46,715 --> 01:02:00,128 说话者 SPEAKER_09：这几乎被用于所有概率模型和结构预测学习，这个想法有着悠久的历史，也使用了这个想法。
584 01:02:00,108 --> 01:02:07,317 演讲者 演讲者_09：所以任何使用 HMM 的人基本上都使用了能量最小化进行推理，例如。
585 01:02:08,494 --> 01:02:17,969 演讲者 演讲者_09：好的，我将用一个非常简单的例子结束，这个例子展示了如何在随机环境中进行预测，以学习世界模型。
586 01:02:18,128 --> 01:02:25,760 讲者 SPEAKER_09：所以通过观察了解世界，然后利用观察到的知识来学习一个随后的任务。
587 01:02:26,402 --> 01:02:35,514 讲者 SPEAKER_09：这里的想法是我们想要驾驶一辆车，而驾驶汽车的问题在于预测你周围的车辆将要做什么是个好主意。
588 01:02:36,507 --> 01:02:39,152 讲者 SPEAKER_09：所以我们在这里训练一个前向模型。
589 01:02:39,753 --> 01:02:43,181 讲者 SPEAKER_09：这个前向模型将预测你周围的车辆将要做什么。
590 01：02：43,201 --> 01：02：49,313 演讲者 SPEAKER_09：你在高速公路上行驶，你将拥有一个系统来预测你周围的汽车将要做什么。
591 01：02：50,456 --> 01：02：52,760 议长 SPEAKER_09：也许你要运行几秒钟。
592 01:02:52,740 --> 01:02:59,454 说话者 SPEAKER_09：这将使您能够提前规划一种防御性策略，以避免与其他车辆相撞。
现在，当然，你周围的汽车可能会发生很多事情，你无法做出单一预测，所以预测将取决于我们可以从分布中抽取的潜在变量。
594 01:03:11,572 --> 01:03:13,394 演讲者 SPEAKER_09: 我们还依赖于您的行动。
595 01:03:13,835 --> 01:03:29,677 演讲者 SPEAKER_09: 因此，这里的正向模型将接受当前世界的状态，包括你周围的车辆、你的行动、加速、刹车、转动方向盘，以及一些随机的潜在变量，然后它会输出 100 毫秒后世界的状态。
596 01:03:31,139 --> 01:03:33,581 演讲者 SPEAKER_09: 然后，您可以运行这个，您可以展开这个。
597 01:03:33,561 --> 01:03:37,630 演讲者 SPEAKER_09: 现在，我们可以计算你周围车辆特定情况下的成本。
598 01:03:37,952 --> 01:03:40,557 说话人 SPEAKER_09：如果你离其他车辆太近，代价会很高。
599 01:03:40,757 --> 01:03:46,010 说话人 SPEAKER_09：如果你不在车道中央，这将带来很高的代价。
600 01:03:46,030 --> 01:03:50,480 说话人 SPEAKER_09：所以我们将计算一个成本，以告诉我们我们的位置有多好。
601 01:03:50,519 --> 01:03:52,143 说话人 SPEAKER_09：而这个成本将是可微分的。
602 01:03:52,123 --> 01:04:05,998 讲者 SPEAKER_09：所以我这里不是在谈论强化学习，这更接近于最优控制，因为我们在强化学习中不需要估计梯度或任何东西，我们只需要在轨迹上优化某个标准。
603 01:04:07,108 --> 01:04:13,139 我们将要做的，是使用 backprop2time 针对特定场景。
604 01:04:13,179 --> 01:04:17,025 我们将从现实世界的情况开始，运行我们的模型几秒钟。
605 01:04:18,007 --> 01:04:19,469 这将是想象中的未来。
606 01:04:20,210 --> 01:04:28,222 讲者 SPEAKER_09：然后通过系统反向传播梯度，以找到最小化总成本的动作序列，
607 01:04:28,202 --> 01:04:38,567 讲者 SPEAKER_09：或者将梯度反向传播到整个策略网络中，该网络将计算以最小化事故概率的动作。
608 01:04:40,302 --> 01:04:43,527 讲者 SPEAKER_09：所以这就是整个过程。
609 01:04:44,007 --> 01:04:58,969 讲者 SPEAKER_09：正向模型的训练是通过收集俯瞰高速公路的摄像头数据来完成的，然后提取每辆车的矩形区域，跟踪每辆车，并提取每辆车的矩形区域，这是每辆车的环境。
然后使用来自那辆汽车环境的几个帧的潜在变量训练一个神经网络，其中汽车是中间的蓝色汽车，预测下一帧的下一几个帧，并借助潜在变量。
611 01:05:15,106 --> 01:05:23,757 演讲者 演讲者_09：所以我没时间详细描述它是如何发生的以及潜在变量的作用，但它是
612 01:05:23,737 --> 01:05:30,525 演讲者 演讲者_09：对于熟悉变分自编码器的人来说，这有点类似于这个，但也有一些变化。
613 01:05:30,545 --> 01:05:31,925 演讲者 演讲者_09：这就是你得到的预测。
614 01:05:31,945 --> 01:05:37,532 演讲者 SPEAKER_09：左侧的列是观察到的。
615 01:05:37,952 --> 01:05:44,878 演讲者 SPEAKER_09：第二列是如果你有一个没有潜在变量的确定性预测器，你会得到一些模糊的预测。
616 01:05:45,559 --> 01:05:53,728 演讲者 SPEAKER_09：然后其他四列是不同潜在变量的不同采样预测，你得到的是由跟踪的汽车表示的不同未来。
617 01:05:55,750 --> 01:06:11,547 演讲者 SPEAKER_09：所以为了使它工作，需要使用各种技巧，这里就不详细介绍了，但训练好系统后，你会得到一个反应性策略，实际上可以在交通中驾驶汽车而不会撞得太厉害。
618 01:06:13,873 --> 01:06:20,262 说话人 SPEAKER_09: 但你必须意识到这是一辆隐形车，因为它被放置在一个录制环境中。
619 01:06:20,402 --> 01:06:23,447 说话人 SPEAKER_09: 所有的绿色车都被录制了，而蓝色车对它们来说是隐形的。
620 01:06:24,168 --> 01:06:28,052 说话人 SPEAKER_09: 所以有时需要蓝色车来逃脱。
621 01:06:28,072 --> 01:06:35,161 说话人 SPEAKER_09: 所以这里黄色车是实际观察到的，而几乎看不见的蓝色车是我们代理驾驶的隐形车。
622 01:06:35,202 --> 01:06:40,489 说话人 SPEAKER_09：现在它被挤压，必须基本上在两辆其他车之间逃逸。
623 01:06:41,583 --> 01:06:45,628 说话人 SPEAKER_09：好的，在剩下的零秒内得出结论。
624 01:06:48,132 --> 01:06:50,195 说话人 SPEAKER_09：如果我的幻灯片要切换。
625 01:06:51,617 --> 01:06:52,117 说话人 SPEAKER_09：好的，开始了。
626 01:06:52,978 --> 01:06:55,242 演讲者 SPEAKER_09：我认为自监督学习是未来，真的。
627 01:06:55,663 --> 01:07:06,798 演讲者 SPEAKER_09：这正是将使我们的 AI 系统或深度学习系统达到下一个层次的原因，也许通过观察学习到足够的世界背景知识，从而使某种常识出现。
628 01:07:07,719 --> 01:07:10,965 演讲者 SPEAKER_09：你知道，我在这里有点挑衅。
629 01:07:10,945 --> 01:07:22,686 演讲者 SPEAKER_09：因为有大量的数据，因为它不需要标注，我们可以训练大规模的网络，Bert 及其追随者就是例证。
630 01:07:24,668 --> 01:07:29,157 演讲者 SPEAKER_09：我们可以使用这些技术来学习世界的正向模型以实现控制。
631 01:07:30,706 --> 01:07:33,250 演讲者 SPEAKER_09：当然，挑战在于处理那里的不确定性。
632 01:07:33,610 --> 01:07:39,918 演讲者 SPEAKER_09：所以通过向量表示和能量最小化进行推理，我给出了一些例子，但还有很多工作要做。
633 01:07:40,920 --> 01:07:47,429 演讲者 SPEAKER_09：正如我之前所说的，我们需要用向量替换符号，用连续函数替换逻辑。
634 01:07:49,012 --> 01:07:53,980 说话人 SPEAKER_09：所以基本上，你知道，将离散事物连续化，基本上。
635 01:07:53,960 --> 01:07:56,728 说话人 SPEAKER_09：使其与基于梯度的学习兼容。
636 01:07:57,471 --> 01:08:00,880 说话人 SPEAKER_09：然后最后一个挑战，学习动作计划的层次表示。
637 01:08:00,900 --> 01:08:02,385 说话人 SPEAKER_09：我真的不知道如何解决这个问题。
638 01:08:02,867 --> 01:08:03,969 演讲者 SPEAKER_09: 所以，非常感谢。
639 01:08:35,083 --> 01:08:37,627 演讲者 SPEAKER_00: 所以我将介绍 Yoshua Bengio。
640 01:08:38,106 --> 01:08:41,911 演讲者 SPEAKER_00: 为了节省时间，我不会有太多时间介绍他到目前为止的所有贡献。
641 01:08:42,271 --> 01:08:47,738 演讲者 SPEAKER_00: 高维词嵌入、注意力机制、生成对抗网络。
642 01:08:48,398 --> 01:08:51,481 讲者 SPEAKER_00：你们大多数人已经听说过这些事情及其带来的影响。
643 01:08:51,981 --> 01:08:56,907 讲者 SPEAKER_00：我想谈谈的是，Yoshua 并不满足于仅仅躺在功劳簿上。
