1 00:00:05,245 --> 00:00:10,631 说话人 说话人_00：在我们开始之前，我最近在斯坦福做过同样的演讲。
458 00:43:00,235 --> 00:43:02,356 说话人 SPEAKER_00: 我认为这就是神经元表示事物的方式。
459 00:43:02,416 --> 00:43:07,242 说话人 SPEAKER_00: 大多数人认为神经元就是他们所代表的事物。
460 00:43:08,563 --> 00:43:12,407 说话人 SPEAKER_00: 但在感知过程中，显然必须处理不确定性。
461 00:43:13,048 --> 00:43:18,094 说话者 SPEAKER_00: 因此神经元必须擅长表示多模态分布。
462 00:43:18,876 --> 00:43:21,538 说话者 SPEAKER_00: 这是我能想到的唯一一种擅长做这件事的方法。
463 00:43:23,400 --> 00:43:24,621 说话者 SPEAKER_00: 这是一个相当薄弱的论据。
464 00:43:25,322 --> 00:43:30,208 说话者 SPEAKER_00: 这正是乔姆斯基相信语言不是通过学习获得的论据，因为他想不出它是如何被学习的。
465 00:43:30,728 --> 00:43:40,465 说话人 SPEAKER_00：我的观点是神经元必须使用这种表示，因为我实在想不出其他的方法来做这件事。
466 00:43:40,485 --> 00:43:44,172 说话人 SPEAKER_00：好吧，我之所以说那么多，是因为我太激动了，没有控制好自己的情绪。
467 00:43:44,211 --> 00:43:55,032 说话人 SPEAKER_00：现在你可以这样做的原因，你在未归一化的对数概率空间中拥有这些非常模糊分布的原因。
468 00:43:55,365 --> 00:44:04,661 说话人 SPEAKER_00：是因为这些神经元都专注于图像的一小块区域，它们都在尝试表示该区域中发生的事情。
469 00:44:05,643 --> 00:44:07,505 说话人 说话人_00：你只是在尝试表示一件事物。
470 00:44:07,726 --> 00:44:10,690 说话人 说话人_00：你不是在尝试表示一组可能的对象。
471 00:44:11,432 --> 00:44:14,757 说话人 说话人_00：如果你在尝试表示一组可能的对象，你会遇到一个糟糕的绑定问题。
472 00:44:15,059 --> 00:44:26,293 说话人 说话人_00：你不能使用这些非常模糊的分布，但只要你知道所有这些神经元，所有活跃的神经元都指向同一事物，那么你可以进行交集操作。
473 00:44:26,853 --> 00:44:31,398 说话人 SPEAKER_00: 你可以将日志概率分布相加，并交集它们所代表的事物的集合。
474 00:44:34,501 --> 00:44:36,204 说话人 SPEAKER_00: 好的，我快要讲完了。
475 00:44:36,784 --> 00:44:38,347 说话人 SPEAKER_00: 你会如何训练这样一个系统？
476 00:44:39,188 --> 00:44:45,014 说话人 SPEAKER_00: 嗯，显然你可以按照你训练的方式训练它，但你也可以进行深度端到端训练。
477 00:44:45,382 --> 00:45:15,356 说话人 SPEAKER_00：对于 Glom，它将包含的内容以及我们训练的玩具示例的方式是这样的，你拿一张图片，去掉图片的一些区域，然后让 Glom 稳定下来大约 10 次迭代，它试图填充图片中最低层级的表示，即最低层的嵌入。
478 00:45:15,690 --> 00:45:22,219 说话人 SPEAKER_00：它填充得不对，所以你现在开始反向传播这个错误，你正在通过这个网络在时间上反向传播。
479 00:45:22,820 --> 00:45:25,003 说话人 SPEAKER_00：所以它也会在层级之间上下反向传播。
480 00:45:27,146 --> 00:45:34,275 说话人 SPEAKER_00：所以你基本上只是在做由于填充错误而产生的错误的时间反向传播。
481 00:45:34,295 --> 00:45:38,862 说话人 SPEAKER_00: 这基本上就是 BERT 的训练方式，你也可以用同样的方式训练 GLOM。
482 00:45:39,682 --> 00:45:44,449 说话人 SPEAKER_00: 但我也想在训练中增加一些内容，以鼓励岛屿的形成。
483 00:45:46,083 --> 00:45:53,590 说话人 SPEAKER_00: 我们希望鼓励在更高层次上形成大片的相同向量岛屿。
484 00:45:54,672 --> 00:45:56,673 说话人 SPEAKER_00: 你可以通过使用对比学习来实现这一点。
485 00:45:58,414 --> 00:46:12,188 说话人 SPEAKER_00：那么，如果你思考在下一个时间步，一个嵌入是如何确定的，它是通过结合许多不同的因素来确定的。
486 00:46:12,969 --> 00:46:14,891 说话人 SPEAKER_00：上一个时间步发生了什么
487 00:46:15,394 --> 00:46:32,132 说话人 SPEAKER_00：在这个表示级别和这个位置，上一个时间步在这个位置发生了什么，但在下一个级别向下、向上，以及在同一级别附近的位置上一个时间步发生了什么。
488 00:46:33,594 --> 00:46:39,119 说话人 SPEAKER_00：所有这些的加权平均我将称之为共识嵌入，这就是你用于下一个嵌入的内容。
489 00:46:40,661 --> 00:46:44,945 说话人 SPEAKER_00：我想你可以看到，如果我们尝试构建自下而上的神经网络，
490 00:46:45,077 --> 00:47:00,016 讲者 SPEAKER_00：在自上而下的神经网络中，如果我们试图让它们的预测与共识一致，共识已经包含了由于注意力等待而从附近位置折叠的信息。
491 00:47:01,338 --> 00:47:09,748 讲者 SPEAKER_00：因此，通过尝试使自上而下和自下而上的神经网络与共识一致，你是在尝试使它们与附近相似位置发生的事情一致。
492 00:47:10,510 --> 00:47:12,773 讲者 SPEAKER_00：因此，你将训练它形成岛屿。
493 00:47:16,516 --> 00:47:22,623 讲者 SPEAKER_00：这对神经科学家来说更有趣，而对从事自然语言处理的人来说则不然，所以我将忽略这一点。
494 00:47:25,405 --> 00:47:37,079 说话者 SPEAKER_00：你可能认为在物体级别复制所有这些嵌入是浪费的，所以想法是物体级别将是一个由具有完全相同向量表示的大量补丁组成的集合。
495 00:47:38,280 --> 00:47:39,402 说话者 SPEAKER_00：这似乎是浪费的。
496 00:47:39,871 --> 00:47:41,596 说话者 SPEAKER_00：但实际上生物学中充满了这样的事情。
497 00:47:42,016 --> 00:47:49,519 说话者 SPEAKER_00：你的所有细胞都有完全相同的 DNA，器官的所有部分都有相当相同的蛋白质表达向量。
498 00:47:50,041 --> 00:47:54,554 说话者 SPEAKER_00：所以有很多复制操作来保持局部性。
499 00:47:55,362 --> 00:48:06,536 说话者 SPEAKER_00：这里也是一样，实际上在确定解释时，这种复制非常有用，因为在确定下来之前，你不知道哪些东西应该和哪些其他东西相同。
500 00:48:06,936 --> 00:48:15,907 说话者 SPEAKER_00：所以，在各个位置使用独立的向量来表示物体级别的状态，为你提供了在合理的方式中逐渐分割事物的灵活性。
501 00:48:17,309 --> 00:48:19,411 说话者 SPEAKER_00：这让你可以下多个赌注。
502 00:48:19,695 --> 00:48:21,978 说话者 SPEAKER_00：你所做的不太像聚类。
503 00:48:22,380 --> 00:48:27,927 说话者 SPEAKER_00：你是在创建由相同向量组成的簇，而不是在固定数据中寻找簇。
504 00:48:28,327 --> 00:48:31,791 说话者 SPEAKER_00：所以聚类，你得到的是固定的数据，然后找到簇。
505 00:48:31,931 --> 00:48:37,840 说话者 SPEAKER_00：在这里，每一层的嵌入随时间变化。
506 00:48:38,221 --> 00:48:42,146 说话者 SPEAKER_00：它们由自上而下和自下而上的输入以及来自附近位置的输入所决定。
507 00:48:42,666 --> 00:48:46,871 说话者 SPEAKER_00：所以你做的是形成簇，而不是在固定数据中发现它们。
508 00:48:47,572 --> 00:48:49,094 说话者 SPEAKER_00：这有点不同的味道。
509 00:48:49,581 --> 00:48:51,306 说话者 SPEAKER_00：并且可以更快地稳定下来。
510 00:48:55,878 --> 00:48:58,967 说话人 SPEAKER_00: 这复制的另一个优点是。
511 00:49:00,195 --> 00:49:05,342 说话人 SPEAKER_00: 你不希望随着层级提高，你的 Transformer 中有更多的工作。
512 00:49:06,222 --> 00:49:08,726 说话人 SPEAKER_00: 但是在更高层级，你需要更长的范围交互。
513 00:49:09,246 --> 00:49:12,891 说话人 SPEAKER_00: 对于最低层级，你希望在 Transformer 中拥有较短的交互范围。
514 00:49:13,512 --> 00:49:14,393 说话者 说话者_00：它们可能是密集的。
515 00:49:14,893 --> 00:49:17,416 说话者 说话者_00：当你达到更高的层次时，你希望有更长的范围交互。
516 00:49:18,016 --> 00:49:19,498 说话者 说话者_00：所以你可以使它们变得稀疏。
517 00:49:20,440 --> 00:49:25,326 说话者 说话者_00：人们已经为类似 BERT 的系统做了这样的事情。
518 00:49:25,880 --> 00:49:37,315 说话人 SPEAKER_00：这里很容易使它们变得稀疏，因为你可以预见到大岛屿，所以你只需要看到一个大岛屿的一块区域，就能知道那个岛屿的向量表示。
519 00:49:38,056 --> 00:49:48,648 说话人 SPEAKER_00：因此，如果你在向上移动时有这些大岛屿的共识，稀疏表示将工作得更好，所以想法是你有更长的范围和更稀疏的连接，随着向上移动，计算量在每个级别都是相同的。
520 00:49:50,692 --> 00:49:53,034 说话人 SPEAKER_00：现在简要总结一下。
521 00:49:54,753 --> 00:49:57,998 说话人 SPEAKER_00：我展示了如何在 Glom 中结合神经网络的三项重要进展。
522 00:49:58,438 --> 00:50:00,681 说话人 SPEAKER_00：我实际上并没有谈论神经网络场。
523 00:50:01,322 --> 00:50:03,947 说话人 SPEAKER_00：这对于自上而下的网络来说很重要。
524 00:50:04,307 --> 00:50:07,994 说话人 SPEAKER_00：也许因为我还有两分钟的时间，我会简要地提一下神经网络场。
525 00:50:13,882 --> 00:50:17,849 说话人 SPEAKER_00：是的，当我训练那个自上而下的神经网络时，我遇到了一个问题。
526 00:50:18,791 --> 00:50:20,152 说话人 SPEAKER_00: 问题在于，
527 00:50:22,090 --> 00:50:27,155 说话人 SPEAKER_00: 如果你观察那些红色箭头和绿色箭头，它们相当不同。
528 00:50:28,177 --> 00:50:32,262 说话人 SPEAKER_00: 但如果你观察物体层级之上的层级，所有这些向量都是相同的。
529 00:50:32,322 --> 00:50:39,429 说话人 SPEAKER_00: 当然，在一个工程系统中，我想要在每个位置复制神经网络。
530 00:50:39,670 --> 00:50:42,713 说话者 SPEAKER_00：所以我到处都使用完全相同的自上而下和自下而上的神经网络。
531 00:50:43,956 --> 00:50:48,621 说话者 SPEAKER_00：那么问题来了，同一个神经网络如何被赋予一个黑色箭头，
532 00:50:49,427 --> 00:50:53,735 说话者 SPEAKER_00：有时产生一个红色箭头，有时产生一个绿色箭头，方向差异很大。
533 00:50:54,697 --> 00:51:01,489 说话者 SPEAKER_00：它如何在有鼻子和嘴巴的地方产生鼻子和嘴巴，尽管脸部的向量在所有地方都是相同的？
534 00:51:02,429 --> 00:51:15,132 说话者 SPEAKER_00: 答案是，自上而下的神经网络不仅获取人脸向量，还获取它生成路径向量的补丁位置。
535 00:51:16,275 --> 00:51:23,023 说话者 SPEAKER_00: 所以，应该获取红色向量的三个补丁与应该获取绿色向量的三个补丁位于不同的位置。
536 00:51:23,784 --> 00:51:28,329 说话者 SPEAKER_00: 所以，如果我用一个同时获取位置作为输入的神经网络，它就能做到以下这些。
537 00:51:29,070 --> 00:51:32,873 说话者 SPEAKER_00: 它可以获取编码在黑色向量中的姿态，即人脸的姿态。
538 00:51:34,235 --> 00:51:40,882 说话者 SPEAKER_00: 它可以预测下一级向量的图像位置。
539 00:51:41,891 --> 00:51:43,775 说话者 SPEAKER_00: 并且姿态也是相对于图像的。
540 00:51:44,315 --> 00:51:52,471 说话者 SPEAKER_00: 因此，知道图像中的位置和整个脸部的姿态，它可以确定在哪个位置需要预测脸部的一部分。
541 00:51:53,092 --> 00:51:57,539 说话者 SPEAKER_00: 因此，在一个位置，它可以预测，嗯，这里应该有鼻子，并给出红色向量。
542 00:51:58,019 --> 00:52:04,592 说话人 SPEAKER_00：在另一个位置，它可以预测图像块来自哪里，那里应该有嘴巴，所以它可以给你绿色箭头。
543 00:52:04,572 --> 00:52:11,938 说话人 SPEAKER_00：因此，你可以在上一级获得相同的向量，通过给出它预测的位置，来预测下一级不同位置的向量。
544 00:52:12,400 --> 00:52:14,126 说话人 SPEAKER_00：这就是神经网络场中发生的事情。
545 00:52:19,000 --> 00:52:19,460 说话人 SPEAKER_00：好的。
546 00:52:21,282 --> 00:52:23,045 说话人 SPEAKER_00：这次演讲相当复杂。
547 00:52:23,525 --> 00:52:26,889 说话人 SPEAKER_00：关于这个话题，在档案中有一篇很长的论文，详细介绍了更多内容。
548 00:52:27,811 --> 00:52:32,036 说话人 SPEAKER_00：你们可以把这次演讲看作是阅读那篇论文的鼓励。
549 00:52:32,697 --> 00:52:33,097 说话人 SPEAKER_00：这就结束了。
550 00:52:33,878 --> 00:52:34,539 说话人 SPEAKER_00: 准时到达。
551 00:52:39,244 --> 00:52:39,985 说话人 SPEAKER_00: 好的，谢谢。
552 00:52:40,005 --> 00:52:40,967 说话人 SPEAKER_00: 非常感谢。
553 00:52:41,568 --> 00:52:41,768 说话人 SPEAKER_00: 嗯。
