1 00:00:00,031 --> 00:00:01,552 说话人 SPEAKER_00: 我叫艾伦·伯恩斯坦。
462 00:39:42,920 --> 00:39:46,184 说话者 SPEAKER_02：所以很明显，大脑是以某种方式做到这一点的，而且它是通过学习来做到这一点的。
463 00:39:47,306 --> 00:39:51,052 说话者 SPEAKER_02：很明显，逻辑是一种很晚才出现的东西。
464 00:39:51,168 --> 00:39:59,956 说话者 SPEAKER_02：实际上，如果他们试图用这些方法进行逻辑推理却无法进行运动控制和感知，那么它们就无法解释大脑中大部分发生的事情。
465 00:40:00,918 --> 00:40:03,481 说话者 SPEAKER_02：所以在我看来，似乎从来就没有其他选择。
466 00:40:03,561 --> 00:40:03,742 说话者 SPEAKER_04：没错。
467 00:40:04,302 --> 00:40:08,427 演讲者 SPEAKER_04：您刚才提到了自然语言处理是这项技术的应用之一。
468 00:40:08,786 --> 00:40:18,998 演讲者 SPEAKER_04：我想了解一下，能否在这方面进一步展开，从实际的角度来谈谈，如果我们拥有更高级的自然语言处理技术，这将对与我们周围计算机的关系意味着什么？
469 00:40:19,889 --> 00:40:29,797 演讲者 SPEAKER_02：好的，我认为我们都希望能有一个真正聪明的个人助理，
470 00:40:29,980 --> 00:40:38,849 演讲者 SPEAKER_02：但工资很低，真正了解我们的一切，但从不挑剔，除非真的有必要。
471 00:40:39,630 --> 00:40:45,175 说话人 SPEAKER_02：我认为那个梦想不再是梦想了。
472 00:40:45,215 --> 00:40:48,778 说话人 SPEAKER_02：我认为我们能够制造出比 Siri 等更好的东西。
473 00:40:48,798 --> 00:40:54,925 说话人 SPEAKER_02：真正理解对话中发生的事情，真正理解你的意思，并能处理新情况的东西。
474 00:40:54,905 --> 00:40:56,548 说话人 SPEAKER_02：我不知道这要花多长时间。
475 00:40:56,588 --> 00:40:57,490 说话人 SPEAKER_02：可能要 20 年。
476 00:40:57,811 --> 00:40:58,612 说话人 SPEAKER_02：可能要五年。
477 00:40:59,375 --> 00:41:02,681 说话人 SPEAKER_02：但我认为，随着深度学习的发展，我们将能够实现类似的功能。
478 00:41:03,704 --> 00:41:09,436 说话人 SPEAKER_02：因此，我认为计算机将极大地增强我们的智力，并从生活中去除所有无聊的部分。
479 00:41:10,159 --> 00:41:18,068 说话者 SPEAKER_04：你论证人类思维是一种复杂的神经网络活动模式，而不是像你之前讨论的那样，是一种推理的顺序。
480 00:41:18,530 --> 00:41:25,036 说话者 SPEAKER_04：那么你的工作对我们人类来说，关于心理语言和思维是如何工作的有什么建议？
481 00:41:25,498 --> 00:41:25,757 说话者 SPEAKER_02：好的。
482 00:41:25,898 --> 00:41:29,461 说话者 SPEAKER_02：我很高兴你问了这个问题，因为你知道，我还有几页幻灯片。
483 00:41:30,903 --> 00:41:31,445 说话人 SPEAKER_02：我知道。
484 00:41:31,784 --> 00:41:32,626 说话人 SPEAKER_02：学术界就是这样。
485 00:41:32,666 --> 00:41:34,288 说话人 SPEAKER_02：他们从不放过任何增加幻灯片的机会。
486 00:41:35,769 --> 00:41:37,871 说话人 SPEAKER_02：请问我可以拿上额外的幻灯片吗？
487 00:41:38,257 --> 00:41:51,295 说话者 SPEAKER_02：好吧，我认为，丹尼特也同意我的看法，这让我感到非常欣慰，因为我不是哲学家，而他是，因为人们被误解了心理语言的工作方式所误导。
488 00:41:52,036 --> 00:41:56,483 说话者 SPEAKER_02：所以大多数人认为心理状态是某种奇怪、神秘的东西，存在于你的脑海中。
489 00:41:57,605 --> 00:42:01,030 说话者 SPEAKER_02：我想论证这根本不是语言工作的方式。
490 00:42:01,831 --> 00:42:05,817 说话者 SPEAKER_02：摆脱这个错误的一个非常简单的方法就是这么说，
491 00:42:06,860 --> 00:42:09,523 说话人 SPEAKER_02：我们要提到我们大脑里发生的事情，对吧？
492 00:42:09,623 --> 00:42:14,990 说话人 SPEAKER_02：我想让你知道，在我的大脑里，我非常想打你，你最好表现得更好。
493 00:42:15,831 --> 00:42:17,614 说话人 SPEAKER_02：并且我想把这个信息传达给你。
494 00:42:18,175 --> 00:42:24,364 说话人 SPEAKER_02：而且我说神经元 52 非常活跃是没有用的，因为这对你们来说没有任何意义。
495 00:42:25,065 --> 00:42:27,407 说话者 SPEAKER_02：即使我把整个活动向量都给你，对你来说也没有任何意义。
496 00:42:28,809 --> 00:42:36,579 说话者 SPEAKER_02：但给你一个好的东西是，我可以描述这个活动向量的正常后果。
497 00:42:37,724 --> 00:42:49,193 说话者 SPEAKER_02：同样，对于感觉，我可以描述为了让我有这种感觉活动向量，世界上必须有什么。
498 00:42:49,213 --> 00:42:57,041 说话者 SPEAKER_02：所以，当我说我有红色的感觉时，我并不是指我头脑中的某物。
499 00:42:58,101 --> 00:43:01,204 说话者 SPEAKER_02：几乎每个人都认为你在指你头脑中的某个东西，某种内在的东西。
500 00:43:02,126 --> 00:43:05,688 说话者 SPEAKER_02：但如果你看“红色”这个词，红色指的是世界上的事物。
501 00:43:05,786 --> 00:43:07,168 说话者 SPEAKER_02：它不指任何东西。
502 00:43:07,228 --> 00:43:09,170 说话者 SPEAKER_02：它指的是世界上物体的颜色。
503 00:43:10,471 --> 00:43:14,514 说话人 SPEAKER_02：所以你用来描述感觉的语言是描述世界上事物的语言。
504 00:43:15,135 --> 00:43:17,338 说话人 SPEAKER_02：正在发生的事情是我们正在使用一个技巧。
505 00:43:17,777 --> 00:43:22,101 说话人 SPEAKER_02：我们想要指代这些大脑模式，但我们不能直接指代大脑模式。
506 00:43:22,702 --> 00:43:24,905 说话人 SPEAKER_02：所以我们通过它们的正常原因来指代它们。
507 00:43:25,485 --> 00:43:28,869 说话者 SPEAKER_02：所以我告诉你们，如果我正在看红色东西的话，我会有这样的脑部模式。
508 00:43:29,849 --> 00:43:32,132 所以当有人说，我看到粉红色的象，
509 00:43:33,394 --> 00:43:35,318 他们并不是说我的脑袋里有粉红色的象。
510 00:43:35,717 --> 00:43:41,105 他们意思是，如果在这个真实世界中真的有粉红色的象，那么我脑袋里的东西就是感知。
511 00:43:42,065 --> 00:43:44,730 说话者 SPEAKER_02：我找到了适合那种情况的脑部模式。
512 00:43:44,750 --> 00:43:49,976 说话者 SPEAKER_02：同样，对于语言来说，感觉语言和情感语言是一样的。
513 00:43:52,539 --> 00:43:59,148 说话者 SPEAKER_02：当我说我想要打 Jerry 时，我的意思是，在我脑海中有一个模式，如果我不加以自我控制，就会导致我打 Jerry。
514 00:44:01,289 --> 00:44:04,331 说话者 SPEAKER_02：所以这里的要点是，心理状态并不是内部状态。
515 00:44:05,032 --> 00:44:17,666 说话者 SPEAKER_02：这是一个假设的外部状态，用于通过正常因果关系或双向因果关系来指代大脑中的情况，即这种状态导致大脑状态，或者大脑状态导致这种状态。
516 00:44:18,346 --> 00:44:22,351 说话者 SPEAKER_02：有一个地方我们可以在两个方向上获得因果关系，那就是思想。
517 00:44:23,532 --> 00:44:25,132 说话者 SPEAKER_02：所以这里是真正的思想语言。
518 00:44:25,373 --> 00:44:28,697 说话者 SPEAKER_02：这是单词“思想”的语言是如何工作的。
519 00:44:29,469 --> 00:44:34,016 说话者 SPEAKER_02：如果我这么说，我可以把“约翰认为”这句话说出来，然后把我喜欢的任何东西都加上引号，这就是约翰的想法。
520 00:44:34,677 --> 00:44:37,179 说话者 SPEAKER_02：但这并不意味着引号里的东西就在约翰的脑子里。
521 00:44:37,860 --> 00:44:41,746 说话者 SPEAKER_02：这并不是像 AI 研究者过去认为的那样，在他脑子里的一串符号。
522 00:44:41,766 --> 00:44:46,072 说话者 SPEAKER_02：我这么说“约翰认为”，我们该去哪里吃午饭呢？
523 00:44:46,992 --> 00:44:53,942 说话人 SPEAKER_02：我的意思是，约翰的大脑中存在一种通常情况下是合适的神经活动模式，这种模式通常是由别人说“我们去哪里吃午饭？”所引起的
524 00:44:54,141 --> 00:44:56,003 说话人 SPEAKER_02：也会是他说“我们去哪里吃午饭？”的正常原因
525 00:44:56,884 --> 00:45:00,467 说话人 SPEAKER_02：而且这也是他通常说“我们去哪里吃午饭？”的原因
526 00:45:01,407 --> 00:45:04,170 说话人 SPEAKER_02：你看，我们有输入音频和输出音频
527 00:45:04,271 --> 00:45:10,396 说话者 SPEAKER_02：所以，思想可以通过它们的正常原因和它们会导致什么来描述。
528 00:45:10,757 --> 00:45:16,282 说话者 SPEAKER_02：如果你和某人共享一种语言，那么这就是思想。
529 00:45:17,643 --> 00:45:23,288 说话者 SPEAKER_02：它们是你头脑中的模式，是你头脑中的大活动因素，我通过描述它们会导致什么或它们会导致什么来描述它们。
530 00:45:23,807 --> 00:45:26,871 说话者 SPEAKER_02：通过说出它们是由什么引起的或它们会导致什么。
531 00:45:26,891 --> 00:45:29,195 说话人 SPEAKER_02：因为用神经元的活动来描述它们是没有意义的。
532 00:45:29,215 --> 00:45:30,978 说话人 SPEAKER_02：这对任何人都没有任何用处。
533 00:45:30,998 --> 00:45:31,619 说话人 SPEAKER_02：好的，感谢您的分享。
534 00:45:31,719 --> 00:45:32,519 说话人 SPEAKER_02：抱歉，有点长。
535 00:45:32,559 --> 00:45:32,780 说话人 SPEAKER_04: 好吧。
536 00:45:33,240 --> 00:45:36,686 说话人 SPEAKER_04: 好的，那么这就是关于思想的情况。
537 00:45:37,126 --> 00:45:39,550 说话人 SPEAKER_04: 但是我们可以谈谈意识吗？
538 00:45:39,570 --> 00:45:41,994 说话人 SPEAKER_04: 我意识到这有点模糊，但我们还是可以。
539 00:45:42,014 --> 00:45:45,057 说话人 SPEAKER_04：我知道心灵哲学家们讨论过这种关于意识的“硬问题”的观点。
540 00:45:45,137 --> 00:45:45,458 说话人 SPEAKER_00：是的，他们确实讨论过。
541 00:45:45,498 --> 00:45:52,228 说话人 SPEAKER_04：这个问题是这样的，即大脑中的这些活动模式最终变成类似感觉的过程。
542 00:45:52,445 --> 00:45:56,289 说话人 SPEAKER_04：就像站在舞台上，站在杰弗里·辛顿面前，面对一群人的感觉一样。
543 00:45:56,771 --> 00:46:00,596 说话者 SPEAKER_04：那么你的研究对此有何建议？
544 00:46:01,056 --> 00:46:08,485 说话者 SPEAKER_02：好的，我刚才放上的幻灯片表明，这只是一个愚蠢的错误，源于对自然语言工作原理的不理解。
545 00:46:09,067 --> 00:46:11,550 说话者 SPEAKER_02：这是一个典型的维特根斯坦式解决方案。
546 00:46:11,590 --> 00:46:18,840 说话者 SPEAKER_02：它说，如果你观察自然语言的实际工作方式，这些哲学问题就会消失。
547 00:46:19,192 --> 00:46:23,135 说话人 SPEAKER_02：我很高兴地说，我把这个想法告诉了丹尼特，我以为他会批评我。
548 00:46:23,735 --> 00:46:24,797 说话人 SPEAKER_02：他说，不，我同意。
549 00:46:26,978 --> 00:46:32,724 说话人 SPEAKER_02：他在维特根斯坦周围在牛津受过语言学哲学训练，这可能就是部分原因。
550 00:46:32,744 --> 00:46:35,706 说话人 SPEAKER_02：但大多数人认为感觉是在他们头脑中的东西。
551 00:46:36,407 --> 00:46:39,710 说话者 SPEAKER_02：哲学家们通过说存在“质料”来谈论这一点。
552 00:46:39,731 --> 00:46:42,594 说话者 SPEAKER_02：而“质料”就是那些你头脑中的神奇事物。
553 00:46:42,614 --> 00:46:46,396 说话者 SPEAKER_02：这些都是科学无法触及的神秘事物。
554 00:46:47,068 --> 00:46:48,811 说话者 SPEAKER_02：并没有什么神秘事物。
555 00:46:48,831 --> 00:46:54,780 说话者 SPEAKER_02：外面有红色的事物，在我的脑海中，有代表这些事物是红色的活动模式，没有其他。
556 00:46:55,983 --> 00:46:58,786 说话者 SPEAKER_04：但为什么我们会感到“我”的存在感呢？
557 00:46:59,126 --> 00:46:59,969 说话人 SPEAKER_04: 这是从哪里来的？
558 00:47:00,429 --> 00:47:02,632 说话人 SPEAKER_02: 哎，关于个人身份还有另一件事。
559 00:47:02,693 --> 00:47:03,574 说话人 SPEAKER_02: 我不想涉及那个。
560 00:47:03,594 --> 00:47:04,416 说话人 SPEAKER_02: 那里有很多东西。
561 00:47:04,436 --> 00:47:04,735 说话人 SPEAKER_02：公平。
562 00:47:04,775 --> 00:47:09,422 说话人 SPEAKER_02：但如果我们只是在谈论感知，我认为再也没有什么神秘的了。
563 00:47:09,443 --> 00:47:09,643 说话人 SPEAKER_02：对。
564 00:47:09,704 --> 00:47:11,166 说话人 SPEAKER_02：没有什么神秘的。
565 00:47:11,525 --> 00:47:14,510 说话者 SPEAKER_02：注意，哲学家们经常说，嗯，
566 00:47:14,777 --> 00:47:21,367 说话者 SPEAKER_02：如果我看到红色的事物，我得到的质料和当你看到绿色的事物时你得到的质料一样？
567 00:47:22,369 --> 00:47:24,572 说话者 SPEAKER_02：我得到的感受和你看到绿色事物时得到的感受一样。
568 00:47:25,333 --> 00:47:29,579 说话者 SPEAKER_02：如果你考虑一下语言是如何工作的，这在逻辑上是行不通的。
569 00:47:30,239 --> 00:47:32,603 说话者 SPEAKER_02：它不仅没有发生，这在逻辑上是不可能的。
570 00:47:33,204 --> 00:47:38,271 说话者 SPEAKER_02：因为我所说的红色感觉，就是我通常看红色事物时所得到的感觉。
571 00:47:38,891 --> 00:47:45,266 说话者 SPEAKER_02：所以，只要我不是色盲，我就不可能在看到红色事物时产生绿色感觉，因为这就是语言的工作方式。
572 00:47:46,909 --> 00:47:49,797 说话者 SPEAKER_02：所以这些哲学问题就突然消失了。
573 00:47:51,210 --> 00:48:03,478 说话者 SPEAKER_04：因此，让我们稍微回到一些实际应用的讨论，深度学习正在关注的一些问题包括语音识别、图像识别和自然语言处理。
574 00:48:03,498 --> 00:48:09,472 说话者 SPEAKER_04：假设这一领域持续改进，那么下一个目标是什么？
575 00:48:10,786 --> 00:48:15,291 说话者 SPEAKER_02：显然，自动驾驶汽车等将是其中之一，它们已经运作得相当不错。
576 00:48:15,972 --> 00:48:17,673 说话者 SPEAKER_02：以及类似的东西都是相当明显的。
577 00:48:18,253 --> 00:48:24,621 说话人 SPEAKER_02：我认为真正熟练和专注的个人助理将产生巨大的影响。
578 00:48:24,641 --> 00:48:29,467 说话人 SPEAKER_02：晚餐时有人谈论，什么将会像互联网一样具有颠覆性？
579 00:48:30,387 --> 00:48:32,230 说话人 SPEAKER_02：我认为像这样的事情将会具有颠覆性。
580 00:48:32,931 --> 00:48:38,396 说话人 SPEAKER_02：如果我有一个无所不知、无所不记的个人助理，
581 00:48:40,840 --> 00:48:46,539 说话人 SPEAKER_02：我差点想说她会记住的，但我的私人助理会记住。
582 00:48:50,193 --> 00:48:52,842 说话人 SPEAKER_02：这将对所有人的生活产生巨大影响。
583 00:48:53,210 --> 00:49:10,644 说话人 SPEAKER_02：当然，所有这些都有被滥用的风险，我们都知道我们生产的任何东西，国家安全局都会用它来监视我们，美国军方会用它来入侵小国，而不会造成任何美国人伤亡，诸如此类的事情。
584 00:49:13,351 --> 00:49:13,952 说话人 SPEAKER_02：所以
585 00:49:15,231 --> 00:49:19,878 说话人 SPEAKER_02：可以说我们不应该开发这项技术，因为人们会把它用于坏事。
586 00:49:20,719 --> 00:49:21,500 说话人 SPEAKER_02：我是一个乐观主义者。
587 00:49:21,559 --> 00:49:25,864 说话人 SPEAKER_02：我更希望我们能利用这项技术的优点多于缺点，但也会有一些缺点。
588 00:49:26,344 --> 00:49:32,652 说话人 SPEAKER_02：对此我们除了通过政治活动努力让人们合理使用这项技术外，别无他法。
近期，我们看到了一些在科学界具有影响力的个人在谈论机器人（尤其是）以及人工智能（更普遍地）的危险
590 00:49:45,454 --> 00:49:46,317 说话者 SPEAKER_04：遥远的未来。
您提到的内容似乎是一段视频或音频的转录文本。以下是该段落的简体中文翻译： 591 00:49:46,416 --> 00:49:50,306 说话者 SPEAKER_04：这是否让您感到担忧？您认为我们是否需要围绕这一点建立某种伦理框架？
592 00:49:51,108 --> 00:49:54,135 发言人 SPEAKER_02：是的，很难预见遥远的未来。
593 00:49:54,155 --> 00:49:56,380 说话人 SPEAKER_02：就像透过浓雾看得很远，不起作用。
594 00:49:58,967 --> 00:50:03,818 说话人 SPEAKER_02：但我认为在一百年后，这是完全合理的想法，
595 00:50:04,117 --> 00:50:09,164 说话人 SPEAKER_02：技术可能已经发展得如此之快，以至于我们可以建造比人更好的东西。
596 00:50:09,684 --> 00:50:12,367 说话人 SPEAKER_02：他们读遍了世界上所有的书，他们比我们理解得多得多。
597 00:50:12,987 --> 00:50:16,833 说话人 SPEAKER_02：我们被这些智能机器取代的所有这些恐怖情景。
598 00:50:17,592 --> 00:50:20,657 说话人 SPEAKER_02：在那个时间尺度上，谁知道呢？
599 00:50:21,398 --> 00:50:25,141 说话人 SPEAKER_02：我认为在短期内这是非常不可能的。
600 00:50:25,161 --> 00:50:26,824 说话人 SPEAKER_02：我认为在 10 年内不会发生这种情况。
601 00:50:28,425 --> 00:50:30,467 说话人 SPEAKER_04: 大约在 2000 年，抱歉，请继续。
602 00:50:30,487 --> 00:50:32,050 说话人 SPEAKER_02: 关于那件事，还有一点要说。
603 00:50:32,400 --> 00:50:40,081 说话人 SPEAKER_02: 我认为国家安全局已经做的事情几乎和那种情景一样可怕。
604 00:50:41,023 --> 00:50:48,503 说话人 SPEAKER_02: 因此，借用一位声誉不佳的哲学家的说法，可怕的事情已经发生了。
大约在2006年，我们开始看到深度学习的大幅进步，尤其是部分原因在于这些非常大的神经网络能够比以前运行得更快。
所以，您是否看到了另一个技术障碍，我们必须克服才能达到下一个水平，或者是什么难题？
607 00:51:11,483 --> 00:51:12,923 发言人 SPEAKER_04：您正在处理的问题。
608 00:51:13,585 --> 00:51:21,152 发言人 SPEAKER_02：所以目前有趣的是，看起来我们可能正处于正常科学的一个阶段，一切照旧将会取得很大进展。
609 00:51:22,173 --> 00:51:40,512 说话人 SPEAKER_02：实际上，我不知道为什么通过获取，你知道的，假设计算机行业可以持续生产更好的硬件，并且持续进行计算消耗更少的能量，如果他们可以在接下来的 10 年或 20 年内继续按照摩尔定律这样做，我认为常规业务将使我们走得很远。
610 00:51:41,081 --> 00:51:44,597 说话人 SPEAKER_02：显然，如果我们取得大的突破，大的概念性突破，这将使我们走得更远。
611 00:51:45,340 --> 00:51:48,914 说话人 SPEAKER_02：我认为一个大的突破将会到来，那就是我们将理解大脑。
612 00:51:49,688 --> 00:52:05,304 说话人 SPEAKER_02：实际上，这只是一个赌注，我个人的信念是，我们将足够接近于了解大脑真正是如何做到这些事情的，突然之间，一切都开始变得清晰，我们似乎进入了一个最低点，那里做这些事情的方法变得显而易见。
613 00:52:05,324 --> 00:52:06,804 说话人 SPEAKER_02：我认为我们可能已经非常接近了。
614 00:52:07,266 --> 00:52:15,813 说话人 SPEAKER_02：这将是一场革命，因为它将影响各种事物，比如教育和我们对自己的认识。
615 00:52:16,452 --> 00:52:19,556 说话人 SPEAKER_02：我认为这将非常令人兴奋。
616 00:52:19,576 --> 00:52:20,797 说话人 SPEAKER_02：我希望我能看到那一天。
617 00:52:21,057 --> 00:52:22,480 说话人 SPEAKER_04: 嗯。
618 00:52:22,500 --> 00:52:30,271 说话人 SPEAKER_04: 从概念上讲，你认为人工智能是否会超越人类智能？
619 00:52:30,291 --> 00:52:32,474 说话人 SPEAKER_02: 哦，我认为从长远来看这是不可避免的。
620 00:52:32,494 --> 00:52:32,833 说话人 SPEAKER_04: 嗯。
621 00:52:32,853 --> 00:52:36,800 说话人 SPEAKER_02：我的意思是，为什么它应该类似于人类智能的渐近线呢？
622 00:52:37,380 --> 00:52:39,804 说话人 SPEAKER_02：我看不出任何理由。
623 00:52:41,726 --> 00:52:43,489 说话人 SPEAKER_02：抱歉，请继续。
624 00:52:44,481 --> 00:52:49,009 说话人 SPEAKER_02：我认为使用这项技术的结果将很难说。
625 00:52:49,028 --> 00:52:51,693 说话人 SPEAKER_02：我认为这是值得哲学家思考的问题。
626 00:52:52,313 --> 00:52:53,715 说话人 SPEAKER_02：但我不认为这是一个迫在眉睫的威胁。
627 00:52:55,159 --> 00:53:08,920 说话人 SPEAKER_04：鉴于人类是有身体、有情感、有激素以及所有这些其他东西的生物，你认为这将是一种不同于人类智能的智能吗？
628 00:53:09,659 --> 00:53:11,320 说话人 SPEAKER_02：可能是的。
629 00:53:12,382 --> 00:53:18,889 说话人 SPEAKER_02：我想说，因为我想到了一些神经网络的技术技巧，所以人们认为我对未来很在行。
630 00:53:18,909 --> 00:53:20,132 说话人 SPEAKER_02：我对它的了解并不比你多。
631 00:53:20,952 --> 00:53:30,664 说话人 SPEAKER_02：但我的猜测是，是的，你不会想要创造其他与人类完全一样的智能。
632 00:53:31,204 --> 00:53:33,447 说话人 SPEAKER_02：我的意思是，创造人类更有趣。
633 00:53:33,467 --> 00:53:36,931 说话人 SPEAKER_02：你希望其他智能是互补的。
634 00:53:39,038 --> 00:53:44,244 说话人 SPEAKER_04：那么你现在对深度学习有什么兴奋的事情？你看到它的发展方向在哪里？
635 00:53:44,264 --> 00:53:49,211 说话人 SPEAKER_02：我对机器翻译很兴奋，尽管我自己并没有直接为此做出贡献。
636 00:53:50,052 --> 00:53:50,994 说话人 SPEAKER_02：我的学生中有一些人在做这个。
637 00:53:51,715 --> 00:53:56,081 说话人 SPEAKER_02：我认为在相对较短的时间内，我们将获得更好的翻译。
638 00:53:56,360 --> 00:53:56,842 说话人 SPEAKER_02：是的。
639 00:53:56,862 --> 00:54:00,467 说话人 SPEAKER_02：我对理解文档这类事情感到兴奋。
640 00:54:01,387 --> 00:54:04,913 说话人 SPEAKER_02：我认为在未来五到十年里，在这方面将取得巨大的进步。
641 00:54:05,393 --> 00:54:05,494 说话人 SPEAKER_04: 好吧。
642 00:54:05,514 --> 00:54:06,614 说话人 SPEAKER_04: 那会是什么样子呢？
643 00:54:08,333 --> 00:54:10,474 说话人 SPEAKER_02: 我认为它的大致样子就像我说的那样。
644 00:54:10,514 --> 00:54:25,969 说话人 SPEAKER_02: 不是给谷歌一些单词，然后它会找到所有包含这些单词的文档，而是给谷歌一些主题，然后它会找到即使用不同的话来表达也在说这些主题的文档。
00:54:26,028 --> 00:54:37,699 说话人 SPEAKER_02：因此，您将能够搜索那些根据其内容主张，而不仅仅是根据其文字的文档。
00:54:39,907 --> 00:54:42,170 说话人 SPEAKER_02：这将会很有用。
00:54:42,192 --> 00:54:43,393 说话人 SPEAKER_04：这将会很有用，是的。
00:54:43,815 --> 00:54:45,318 说话人 SPEAKER_04：我想我们还剩下一点时间。
649 00:54:45,338 --> 00:54:47,021 说话人 SPEAKER_04: 我想开始提问环节。
650 00:54:47,061 --> 00:54:49,646 说话人 SPEAKER_04: 那边有一个麦克风。
651 00:54:49,686 --> 00:54:54,695 说话人 SPEAKER_04: 能有人把麦克风递给有问题的观众吗？
652 00:54:57,001 --> 00:54:58,384 说话人 SPEAKER_04: 观众中有人有问题要问吗？
653 00:54:58,423 --> 00:54:59,585 说话人 SPEAKER_04: 这里有一个问题。
654 00:55:02,722 --> 00:55:05,304 说话人 SPEAKER_07: 嗨，你好。
655 00:55:05,945 --> 00:55:08,369 说话人 SPEAKER_07: 教授 Rinton，我有一个问题。
656 00:55:08,650 --> 00:55:29,576 说话人 SPEAKER_07: 在看了你关于思维语言的幻灯片之后，你是建议我们能够拥有能够理解或能够训练这些网络来理解人类情感或模拟与人类相似的情感的机器或算法吗？
657 00:55:29,757 --> 00:55:30,838 说话人 SPEAKER_02：我看不出为什么不行。
658 00:55:30,818 --> 00:55:33,186 说话人 SPEAKER_02：我看不出在那个意义上有什么特别的情感。
659 00:55:34,771 --> 00:55:38,103 说话人 SPEAKER_02：我们已经有能够相当好地读取面部情感表达的计算机了。
660 00:55:39,688 --> 00:55:42,717 说话人 SPEAKER_02：但大多数人会说，计算机不可能有情感。
661 00:55:43,204 --> 00:55:45,889 说话者 SPEAKER_02：我认为这只是对自然语言工作方式的一种误解。
662 00:55:46,452 --> 00:55:55,530 说话者 SPEAKER_02：你可以在计算机中的这个大型神经网络内部有一个活动状态，如果计算机没有自我控制，它就会出去打你。
663 00:55:56,231 --> 00:55:57,653 说话者 SPEAKER_02：那将是跨计算机的。
664 00:55:58,356 --> 00:56:01,601 说话者 SPEAKER_02：那将真正是跨计算机的。
665 00:56:02,289 --> 00:56:03,431 说话人 SPEAKER_07：我们还有一个问题。
666 00:56:03,871 --> 00:56:09,798 说话人 SPEAKER_07：我想了解一下，您如何看待深度学习的商业化发展？
667 00:56:10,199 --> 00:56:11,981 商业化。
668 00:56:12,001 --> 00:56:12,722 商业化。
669 00:56:13,382 --> 00:56:14,704 说话人 SPEAKER_02：我认为这是一件非常好的事情。
670 00:56:15,626 --> 00:56:15,905 说话人 SPEAKER_07：好的。
671 00:56:16,346 --> 00:56:22,413 说话人 SPEAKER_07：但是我的意思是，这会是一个你可以下载并针对特定任务进行训练的 API 吗？
672 00:56:22,773 --> 00:56:30,643 说话人 SPEAKER_07：还是说，这仅仅是大公司如谷歌、Flickr 等针对特定任务进行训练的东西？
673 00:56:32,108 --> 00:56:36,329 说话人 SPEAKER_02：我觉得现在评论这个实际上相当棘手。
674 00:56:36,349 --> 00:56:37,132 说话人 SPEAKER_07：好的。
675 00:56:37,152 --> 00:56:37,414 说话人 SPEAKER_07：对不起。
676 00:56:37,936 --> 00:56:39,704 说话人 SPEAKER_07：我明白了。
677 00:56:41,456 --> 00:56:42,458 说话人 SPEAKER_04: 感谢您的提问。
678 00:56:42,659 --> 00:56:44,420 说话人 SPEAKER_04: 这里有人提问。
679 00:56:44,561 --> 00:56:47,085 说话人 SPEAKER_04: 我想问，可以把麦克风递给我吗？
680 00:56:47,326 --> 00:56:48,347 说话人 SPEAKER_04: 是的，请展示，是的。
681 00:56:49,409 --> 00:56:56,659 说话人 SPEAKER_05：谷歌会说，到 2030 年或 2040 年，机器的智能将和人类一样。
682 00:56:56,679 --> 00:57:07,195 说话人 SPEAKER_05：我想知道，鉴于人类在学习和寿命方面的局限性，我们对摆脱机器的预测，以及您对我们如何
683 00:57:09,233 --> 00:57:10,481 说话人 SPEAKER_02：是的，我有观点。
684 00:57:10,782 --> 00:57:12,434 说话人 SPEAKER_02：我的信心并不大。
685 00:57:12,956 --> 00:57:15,514 说话人 SPEAKER_02：但我的观点是我们将实现共生。
686 00:57:15,815 --> 00:57:24,164 我的意思是，我不太懂生物学，但很久以前，细胞里曾经有其他细胞，比如线粒体，这样事情就变得更好了。
687 00:57:24,864 --> 00:57:37,137 我认为你可以从进化的角度这样考虑，到目前为止，我们只是生物细胞，但现在你将得到人与智能计算机的共生，这将是一个更强大的东西。
688 00:57:37,898 --> 00:57:41,382 我希望这是发展的方向，而不是计算机取代人类。
689 00:57:43,692 --> 00:57:53,501 说话人 SPEAKER_05：电子学与生物学之间的关系是什么？
690 00:57:53,521 --> 00:57:55,742 说话人 SPEAKER_02：因为这是一种共生关系，一个是被创造出来的机器，另一个是活生生的人类。
691 00:57:55,762 --> 00:57:57,605 说话人 SPEAKER_02：是的，但请记住机器可以学习。
692 00:57:57,684 --> 00:58:04,692 说话人 SPEAKER_02：所以只要你有自适应设备，你的助手就可以适应你，你也可以适应你的助手。
693 00:58:05,431 --> 00:58:07,974 说话人 SPEAKER_02：所以我同意，他们如何交流确实是个问题。
694 00:58:08,275 --> 00:58:13,480 说话人 SPEAKER_02：我确信会有各种各样的高级技术来激活你的脑细胞，而不需要插入电极。
695 00:58:13,730 --> 00:58:14,992 说话人 SPEAKER_02：不，事实上，没有人知道会发生什么。
696 00:58:18,858 --> 00:58:26,012 说话人 SPEAKER_02：事实上，没有人知道会发生什么。
697 00:58:26,032 --> 00:58:38,032 说话人 SPEAKER_03：我有孩子，有时他们控制着他们的父母，但对他们破坏的东西不承担责任，这会落到我身上。
698 00:58:38,806 --> 00:58:51,123 说话人 SPEAKER_03：随着我们变得更加复杂，多层网络，你实际上无法调试它们，我的意思是，你可以，但谁负责呢？
