1 00:00:05,498 --> 00:00:06,259 演讲者 演讲者_00: 下午好。
457 00:42:46,353 --> 00:42:52,400 讲者 SPEAKER_09：不相信它即将到来的人是那些相信经典语言学和符号人工智能的随机海盗派。
458 00:42:52,619 --> 00:42:53,119 讲者 SPEAKER_09：绝对是这样。
459 00:42:53,641 --> 00:42:58,885 讲者 SPEAKER_09: 但所有了解神经网络的人，我认为他们都认为这是即将到来的。
460 00:43:00,827 --> 00:43:07,213 讲者 SPEAKER_07: 那么，如果你说这是一个存在性威胁，你看到了什么？
461 00:43:07,293 --> 00:43:09,974 讲者 SPEAKER_07: 你在你的视觉中看到了什么，最黑暗的一面？
462 00:43:10,681 --> 00:43:13,463 讲者 SPEAKER_09: 哦，人们变得无关紧要。
2023年初让我担忧的是，长期以来都很明显的事情，但我还没有完全感受到它的情感影响，那就是数字智能可能只是比我们现有的智能更好的形式。
464 00：43：27,021 --> 00：43：28,121 议长 SPEAKER_09：我们基本上是模拟的。
我们实际上是有点像一位数字，但基本上是模拟的。
466 00:43:32,686 --> 00:43:40,177 演讲者 SPEAKER_09：如果你是模拟的，如果你学会了利用模拟硬件的独特特性，你可以用非常低的功耗做事情。
467 00:43:40,978 --> 00:43:43,961 说话人 SPEAKER_09：所以你不能让两个模拟计算机做到完全一样。
468 00:43:44,583 --> 00:43:47,807 说话人 SPEAKER_09：但如果每个都学会了，它们仍然可以做得很好。
469 00:43:47,967 --> 00:43:49,010 说话人 SPEAKER_09：这就是大脑的样子。
470 00:43:49,550 --> 00:43:56,280 讲者 SPEAKER_09：我不能与你共享权重，因为我的神经元和你的神经元之间没有一一对应关系。
471 00:43:57,373 --> 00:44:00,137 讲者 SPEAKER_09：所以你可以非常低功耗，但是不能共享。
472 00:44:00,197 --> 00:44:05,244 讲者 SPEAKER_09：所以我们不能让 1000 个人去上 1000 个不同的课程。
473 00:44:05,786 --> 00:44:09,672 讲者 SPEAKER_09：当他们上课时，他们会将权重变化平均在一起。
474 00:44:10,313 --> 00:44:13,878 讲者 SPEAKER_09：等到他们都完成自己的课程后，每个人只上一门课。
475 00:44:14,338 --> 00:44:15,800 讲者 SPEAKER_09：但在幕后，他们正在平均化权重。
476 00:44:16,862 --> 00:44:19,786 讲者 SPEAKER_09：最后，他们都了解所有 1,000 门课程的内容。
477 00:44:20,648 --> 00:44:22,851 讲者 SPEAKER_09：这正是这些数字智能能够做到的。
478 00:44:23,331 --> 00:44:25,795 讲者 SPEAKER_09：所以他们有共享带宽。
479 00:44:25,775 --> 00:44:29,340 讲者 SPEAKER_09：与权重数量的数量级相当，所以可以共享万亿比特。
480 00:44:30,001 --> 00:44:42,898 讲者 SPEAKER_09：我和你，我们分享的方式是我产生一个句子，你尝试改变你的突触强度，你的大脑会这样做，这样你就会倾向于说出相同的话，如果你信任我的话。
481 00:44:43,579 --> 00:44:53,875 讲者 SPEAKER_09：这是以每秒几比特的带宽进行共享，而不是以每秒几分之一秒的万亿比特进行共享。
482 00:44:54,293 --> 00:45:01,625 讲者 SPEAKER_09：从这个意义上说，它们在获取大量知识和看到所有这些知识片段之间的关系方面要好得多。
483 00:45:02,126 --> 00:45:11,041 讲者 SPEAKER_09：所以，为了只在大约一兆个突触中存储所有知识，它们必须进行大量的压缩。
484 00:45:12,123 --> 00:45:19,255 讲者 SPEAKER_09：而压缩意味着找到许多事物共有的部分，并使用它们共有的部分来存储。
485 00:45:19,588 --> 00:45:21,791 讲者 SPEAKER_09：所以，您通过共同的比特加上一些差异来存储它们。
486 00:45:22,853 --> 00:45:27,398 演讲者 SPEAKER_09：这意味着他们看到了人们从未见过的远程领域之间的各种类比。
487 00:45:28,219 --> 00:45:30,541 演讲者 SPEAKER_09：所以我认为他们将会比我们更有创造力。
488 00:45:31,882 --> 00:45:35,847 演讲者 SPEAKER_09：这有点令人担忧。
489 00:45:38,931 --> 00:45:40,012 演讲者 SPEAKER_04：令人毛骨悚然地迷人。
490 00:45:40,032 --> 00:45:41,313 演讲者 SPEAKER_07: 是的，非常迷人。
491 00:45:41,333 --> 00:45:42,175 演讲者 SPEAKER_04: 谢谢你这么说。
492 00:45:42,195 --> 00:45:42,735 演讲者 SPEAKER_04: 是的，请继续。
493 00:45:42,775 --> 00:45:46,659 演讲者 SPEAKER_04: 关于这一点，我的意思是，我认为我们今天都在努力
494 00:45:46,706 --> 00:45:52,967 讲者 SPEAKER_04：我们今天使用的模型，它们在人类意义上非常像，即使不知道事情也会喋喋不休。
495 00:45:53,768 --> 00:46:00,429 讲者 SPEAKER_04：所以 Wendy，你认为模型真正意识到自己不知道的事情还有多远？
496 00:46:00,831 --> 00:46:02,896 讲者 SPEAKER_09：它们在这方面会变得更好。
497 00:46:02,916 --> 00:46:04,340 讲者 SPEAKER_09：我认为它们已经变得有思想了。
他们在这方面变得更好，并且会逐步改进。但他们仍然不擅长让人们意识到他们在进行心理操纵，但他们是否会停止这样做则是另一个问题。
499 00：46：16,628 --> 00：46：18,452 议长 SPEAKER_06：没有死亡
500 00:46:18,431 --> 00:46:20,195 演讲者 演讲者_06：对人工智能来说，对吧？
501 00：46：20,356 --> 00：46：25,786 议长 SPEAKER_06：所以他们没有真正的理由以某种方式行事或不以某种方式行事。
502 00:46:26,025 --> 00:46:28,230 演讲者 SPEAKER_06: 他们的实体还没有形成。
503 00:46:28,291 --> 00:46:29,753 演讲者 SPEAKER_06: 他们还没有进入世界。
504 00:46:29,773 --> 00:46:31,577 演讲者 SPEAKER_06: 所以风险并不存在。
505 00:46:32,018 --> 00:46:34,141 演讲者 SPEAKER_06: 他们不会失去一条手臂。
506 00:46:34,181 --> 00:46:37,588 说话人 SPEAKER_09: 他们可能会被砍掉数据中心。
507 00:46:37,568 --> 00:46:38,208 说话人 SPEAKER_06: 他们可能会这么做。
508 00:46:40,472 --> 00:46:44,639 说话人 SPEAKER_07: 当数据中心关闭时，他们可能受到幽灵的伤害。
509 00:46:44,659 --> 00:46:49,969 说话人 SPEAKER_09: 但我认为你会看到你想要的东西，即具身人工智能，是在战斗机器人中。
510 00:46:49,989 --> 00:46:51,612 说话人 SPEAKER_09: 他们将会有像杏仁核这样的东西。
511 00:46:51,813 --> 00:46:55,920 说话人 SPEAKER_09: 如果你是一个小战斗机器人，看到一个大战斗机器人，你最好逃跑并躲藏起来。
512 00:46:56,581 --> 00:46:57,563 说话人 SPEAKER_09: 他们将会有所有这些。
513 00:46:57,902 --> 00:47:00,166 说话人 SPEAKER_09: 因此我认为他们会有真正的恐惧。
514 00:47:00,974 --> 00:47:03,677 说话人 SPEAKER_09：这不会是一种模拟的数字恐惧。
515 00:47:04,119 --> 00:47:07,804 说话人 SPEAKER_09：这个小战斗机器人会害怕这个大战斗机器人。
516 00:47:08,045 --> 00:47:09,969 说话人 SPEAKER_09：所以我认为你们会看到所有这些具身化的东西。
517 00:47:11,592 --> 00:47:12,492 说话人 SPEAKER_06：一旦他们离开。
518 00:47:12,773 --> 00:47:14,556 说话人 SPEAKER_09：一旦它们在现实世界中行动。
519 00:47:14,677 --> 00:47:15,978 说话人 SPEAKER_06：而且会有后果。
520 00:47:16,480 --> 00:47:18,382 说话人 SPEAKER_09：我认为并不是因为它们可以死亡。
521 00:47:18,443 --> 00:47:22,128 说话人 SPEAKER_09：我只是认为是因为它们需要所有这些情感因素。
522 00:47:22,650 --> 00:47:23,150 说话人 SPEAKER_09：自我保存。
523 00:47:23,170 --> 00:47:24,193 说话人 SPEAKER_09：为了在世界上生存。
524 00:47:24,313 --> 00:47:26,896 说话人 SPEAKER_07：所以自我保存实际上是在具身中。
525 00:47:26,876 --> 00:47:33,246 说话人 SPEAKER_08：确实，许多强化学习系统似乎需要类似于情感的东西。
526 00:47:33,867 --> 00:47:39,275 讲者 SPEAKER_08：在这种情况下，从数学上讲，你试图最大化未来的预期奖励。
527 00:47:39,635 --> 00:47:43,380 讲者 SPEAKER_08：但很多时候，训练过程中你只有有限的时间来做这件事。
528 00:47:43,400 --> 00:47:46,545 讲者 SPEAKER_08：所以它们实际上，在某种程度上可能会感到压力。
529 00:47:46,565 --> 00:47:48,608 讲者 SPEAKER_08：有些事情比其他事情更糟糕。
530 00:47:49,028 --> 00:47:55,617 演讲者 SPEAKER_08：我认为可以提出这样的观点，我的哲学同行中有些人认为这些就像是基础情感。
531 00:47:55,597 --> 00:48:01,748 演讲者 SPEAKER_08：也许它们不如生物学中的那些优雅和复杂，但我们的目的还是一样的。
532 00:48:01,768 --> 00:48:06,976 演讲者 SPEAKER_08：当预期的奖励没有到来时感到失望是一个非常重要的学习信号。
533 00:48:07,077 --> 00:48:10,563 演讲者 SPEAKER_08：我们都在机器人和人类中看到了这一点。
534 00:48:10,583 --> 00:48:13,387 说话人 SPEAKER_08：只是机器人可能对此更加冷静。
535 00:48:15,324 --> 00:48:21,791 说话人 SPEAKER_09：我想就你提到的关于尝试检测虚假视频的 AI 系统说点东西。
536 00:48:22,853 --> 00:48:24,454 说话人 SPEAKER_09：我以前认为这是个好主意。
537 00:48:25,076 --> 00:48:32,163 说话人 SPEAKER_09：但现在我觉得这几乎是绝望的，因为检测器和生成器之间的军备竞赛。
538 00:48:32,643 --> 00:48:35,467 说话人 SPEAKER_09：这就是所谓的生成对抗网络。
539 00:48:35,726 --> 00:48:40,152 说话人 SPEAKER_09：在扩散模型出现之前，他们就是这样制作好的图像生成器。
540 00:48:40,132 --> 00:48:46,588 说话人 SPEAKER_09：我认为现在人们已经转向认为检测假视频基本上是无望的。
541 00:48:46,909 --> 00:48:50,117 说话人 SPEAKER_09：你需要做的是检测一个视频不是假的。
542 00:48:50,679 --> 00:48:54,568 说话人 SPEAKER_09：所以你需要有一种方法来检查视频的来源。
543 00:48:54,929 --> 00:48:56,875 说话人 SPEAKER_09：比如，对于一个政治视频，
544 00:48:57,260 --> 00:49:02,686 说话人 SPEAKER_09：你需要能够从该视频找到政治活动的网站。
545 00:49:02,746 --> 00:49:13,356 说话人 SPEAKER_09：如果你在网站上找到了相同的视频，并且你确信该网站属于该活动，当然网站是唯一的，所以这并不难，那么你可以相信它。
546 00:49:13,898 --> 00:49:15,478 讲者 SPEAKER_09：如果你不理解，你就无法相信。
547 00:49:16,219 --> 00:49:18,422 讲者 SPEAKER_09：最终你的浏览器可以做到几乎全部这些。
548 00:49:18,943 --> 00:49:24,768 讲者 SPEAKER_09：所以你的浏览器，就像现在你收到垃圾邮件时一样，如果你有一个好的浏览器，它会告诉你这很可能是垃圾邮件。
549 00:49:25,103 --> 00:49:33,251 讲者 SPEAKER_09：你应该能够获取到浏览器显示这是哈里斯竞选活动的视频，但实际上并不是的视频。
550 00:49:33,632 --> 00:49:36,675 讲者 SPEAKER_09：因为它可以检查网站并看到那里没有相同的视频。
551 00:49:37,615 --> 00:49:44,083 讲者 SPEAKER_09：我认为有了来源，我们将能更好地知道事物是真实的。
552 00:49:44,382 --> 00:49:46,184 讲者 SPEAKER_09：报纸们喜欢这个想法。
553 00:49:46,224 --> 00:49:51,329 讲者 SPEAKER_09：纽约时报喜欢这个想法，唯一可以信赖的就是纽约时报。
我完全同意这一点，但我认为问题在于你需要做得比仅仅认证浏览器和服务器更进一步。
555 00：50：01,554 --> 00：50：05,601 演讲者 SPEAKER_04：我的意思是，基本上，我们需要将所有内容重新连接到设备。
我意思是，你需要知道是哪台相机在那个特定地点拍摄了那张照片。
557 00:50:11,273 --> 00:50:12,335 演讲者 演讲者_04：这并不是什么火箭科学。
558 00:50:12,355 --> 00:50:16,963 讲者 SPEAKER_04: 我的意思是，这本质上是一种可用的技术，但你必须重新思考如何使用互联网。
559 00:50:16,943 --> 00:50:18,125 讲者 SPEAKER_04: 如果你喜欢的话，就是做互联网。
560 00:50:18,144 --> 00:50:21,050 讲者 SPEAKER_08: 但你关注的是溯源，能够建立溯源。
561 00:50:21,070 --> 00:50:21,952 讲者 SPEAKER_08: 正确。
562 00:50:21,972 --> 00:50:26,280 演讲者 SPEAKER_08：我认为这实际上以一种有趣的方式将你的观点联系起来。
563 00:50:26,420 --> 00:50:32,612 讲者 SPEAKER_08：当我想到在科学中使用 AI 时，很明显的事情就是，哦，让它阅读所有科学文献。
564 00:50:32,893 --> 00:50:35,237 讲者 SPEAKER_08：但大部分科学文献都是错误的。
565 00:50:35,759 --> 00:50:38,664 讲者 SPEAKER_08：其中一些是假的，很多都是质量很差的论文。
566 00:50:38,644 --> 00:50:46,452 讲者 SPEAKER_08：为了让 AI 在科学中真正学到有用的东西，它可能需要进入实验室并能够进行实验。
567 00:50:46,472 --> 00:50:47,452 讲者 SPEAKER_08：这就是来源。
568 00:50:47,472 --> 00:50:51,315 讲者 SPEAKER_08：你得到一个基础，如果我做这个实验，这实际上会发生。
569 00:50:51,396 --> 00:50:59,184 讲者 SPEAKER_08：这大概需要一种形式的存在，无论是实验室机器人还是传感器，你需要从现实中获得反馈。
570 00:51:00,063 --> 00:51:06,389 演讲者 SPEAKER_08：我认为这对于使人工智能能够以有益的方式超越我们也是相当必要的。
571 00:51:06,639 --> 00:51:19,391 演讲者 SPEAKER_06：鉴于 Annette 实际上是一名记者，让我们记住，就在不久前，我们没有任何照片或视频，很难相信信息。
572 00:51:20,052 --> 00:51:22,438 演讲者 SPEAKER_06：所以 200 年前他们就在我们现在的地方。
573 00:51:22,418 --> 00:51:28,204 演讲者 SPEAKER_06：然后在这段历史中，能够信任视频或照片的只是一段短暂的瞬间。
574 00:51:28,724 --> 00:51:35,351 说话人 SPEAKER_06：现在我们又回到了如何以我们信任的方式在人们之间传递新闻和其他信息的问题。
575 00:51:35,550 --> 00:51:40,215 说话人 SPEAKER_06：我觉得有时候人工智能的发展有点缺乏历史感。
576 00:51:42,277 --> 00:51:47,902 说话人 SPEAKER_09：我认为在英国，大约两百年前，有关于政治小册子的法律。
577 00:51:48,101 --> 00:51:53,951 说话人 SPEAKER_09：如果你制作政治小册子，你必须在小册子上注明印刷者的名字。
578 00:51:55,713 --> 00:51:59,340 讲者 SPEAKER_09：因此，你获得了一种来源，因为瓶颈是印刷机。
579 00:51:59,940 --> 00:52:04,288 讲者 SPEAKER_09：如果上面有印刷者的名字，伪造起来就困难多了。
580 00:52:04,538 --> 00:52:06,760 讲者 SPEAKER_09：我们现在需要再次做到这一点。
581 00:52:06,780 --> 00:52:12,650 讲者 SPEAKER_06：是的，为什么我们创建手机拍照的可能性时没有立刻这么做？
很多年前，我们在这里 IWA 被服务过，实际上也问过这个问题，你知道的，如果你要从头开始重新设计互联网，你会怎么做？
583 00：52：21,324 --> 00：52：22,284 议长 SPEAKER_04：他就是这么说的。
584 00:52:22,706 --> 00:52:25,230 演讲者 演讲者_04：真实性及验证能力。
但在那些日子里，互联网上有200人，他们彼此都认识，所以当时并不需要。
586 00:52:31,277 --> 00:52:44,655 讲者 SPEAKER_07：这就是我想结束这部分讨论的地方，因为我认为这全部都是关于，我的意思是，我们现在所处的位置，这是一个本地和模拟的机会，因为当你了解某个人以及它的来源时，你将能够信任。
587 00:52:44,755 --> 00:52:49,342 讲者 SPEAKER_07：所以，可能有一些与身体紧密相关的东西，也许是与当地社区相关的。
588 00:52:49,483 --> 00:52:54,929 讲者 SPEAKER_07：我的意思是，你谈论《纽约时报》，但也许这是小型、非常紧密的媒体的机会。
589 00:52:54,909 --> 00:52:59,302 讲者 SPEAKER_07：公司，我们了解记者，我们了解编辑，也许。
590 00:52:59,563 --> 00:53:07,826 演讲者 SPEAKER_07：我想回到您最初提到的地方，以及完整的风险情景，因为您现在正变得越来越有建设性。
591 00:53:07,865 --> 00:53:10,253 演讲者 SPEAKER_07：您正在解决问题。
592 00:53:10,233 --> 00:53:17,108 演讲者 SPEAKER_07：为了完成关于生存的问题，所以我们有战斗机器人，我们有生存威胁。
593 00:53:17,849 --> 00:53:28,932 演讲者 SPEAKER_07：您如何看待这个问题，我们是否将其构建到技术中，或者这是否是围绕技术出现的东西，我们可以阻止最糟糕的情况发生？
594 00:53:29,115 --> 00:53:30,681 说话人 SPEAKER_09：我们不知道，对吧？
595 00:53:30,820 --> 00:53:35,074 说话人 SPEAKER_09：我的意思是，我们真的不知道如何控制比我们自己更智能的事物。
596 00:53:35,094 --> 00:53:36,097 说话人 SPEAKER_09：我们不知道这是否可能。
597 00:53:37,201 --> 00:53:38,847 说话人 SPEAKER_09：我认为这很可能不可能。
598 00:53:39,509 --> 00:53:42,518 演讲者 SPEAKER_09：我认为我们不会停止人工智能的发展，因为它对许多事情都非常好，而且从中可以赚取很多短期利润。
599 00:53:42,835 --> 00:53:47,179 演讲者 SPEAKER_09：所以在一个资本主义社会中，你不会只是停止它。
600 00:53:47,880 --> 00:53:50,164 演讲者 SPEAKER_09：所以，在资本主义社会中，你不会只是停止它。
601 00:53:50,364 --> 00:53:52,347 演讲者 SPEAKER_09：我没有签署要求减缓发展的请愿书。
602 00:53:52,786 --> 00:53:53,588 说话人 SPEAKER_09：我觉得这太疯狂了。
603 00:53:53,608 --> 00:53:54,389 说话人 SPEAKER_09：我们不会那么做的。
604 00:53:55,090 --> 00:53:59,534 说话人 SPEAKER_09：我们必须面对它将要被开发的事实，我们必须弄清楚，我们能否安全地做到这一点？
605 00:53:59,554 --> 00:54:00,976 说话人 SPEAKER_09：我们不知道我们能否安全地做到这一点。
606 00:54:03,000 --> 00:54:07,425 说话人 SPEAKER_09：我们应该关注如何去做，但我们不知道解决方案会是什么样子。
607 00:54:08,771 --> 00:54:10,373 说话人 SPEAKER_09：我们只希望有一个。
608 00:54:10,434 --> 00:54:14,018 说话人 SPEAKER_09：如果人类因为不费心寻找解决方案而消失，那就太遗憾了。
609 00:54:16,300 --> 00:54:21,126 说话人 SPEAKER_08：所以我参与航空安全社区已经有很长时间了，这让我感到惊讶。
610 00:54:21,146 --> 00:54:30,697 讲者 SPEAKER_08：我在 1990 年代的邮件列表上，当时 Elias Yudkowsky 还没有意识到空气可能存在危险，他当时非常支持即将到来的奇点。
611 00:54:30,717 --> 00:54:34,442 讲者 SPEAKER_08：然后他意识到，哦，我们需要解决一些安全问题。
612 00:54:34,422 --> 00:54:39,773 讲者 SPEAKER_08：然后我们开始着手解决这个问题，哦，这变得越来越困难，也越来越有趣。
613 00:54:39,793 --> 00:54:45,565 讲者 SPEAKER_08：但真正让我充满乐观的是，现在有很多人在做有用的事情。
614 00:54:46,027 --> 00:54:51,077 说话人 SPEAKER_08：我们在检测空气系统中的内部状态，这些状态可以被解读。
615 00:54:51,097 --> 00:54:54,726 讲者 SPEAKER_08：也许并不完美，但我们实际上在更好地理解它。
616 00:54:54,706 --> 00:55:02,974 讲者 SPEAKER_08：我们发现了一些方法来检测它们在欺骗时的情况，尽管从哲学上讲，当它是一个非有意系统时，欺骗相当复杂。
617 00:55:02,994 --> 00:55:05,858 讲者 SPEAKER_08：我们得到了一些工具，我认为其中一些工具可能已经足够好了。
618 00:55:06,498 --> 00:55:09,922 讲者 SPEAKER_08：一些比我更悲观的同事说，不，还不够。
619 00:55:10,284 --> 00:55:12,726 说话人 SPEAKER_08：我认为我们不应该假设这还不够。
620 00:55:12,766 --> 00:55:13,728 说话人 SPEAKER_08：我们应该更加努力。
621 00:55:13,768 --> 00:55:24,460 说话人 SPEAKER_08：但我非常乐观，如果我们真正集中精力去做，这对商业也可能是有益的，因为你想让你的机器遵守法律并表现出道德行为，否则人们会起诉你。
622 00:55:26,818 --> 00:55:36,577 说话人 SPEAKER_04：所以我现在意识到，当我们构建第一个超级智能时，我们首先要给它分配的任务是告诉我们如何保护它或保护我们免受它们的侵害。
623 00:55:37,557 --> 00:55:40,402 说话人 SPEAKER_04：可能有点矛盾，但我不确定。
624 00:55:40,423 --> 00:55:42,927 说话人 SPEAKER_09：这听起来有点像让警察调查警察。
625 00:55:42,967 --> 00:55:45,733 说话人 SPEAKER_04：这从来都不起作用。
626 00:55:45,753 --> 00:55:47,376 说话人 SPEAKER_07：你不信任他们，是吗？
627 00:55:48,166 --> 00:55:50,809 演讲者 SPEAKER_07：他们将非常擅长欺骗，会从我们这里学到这一点。
628 00:55:50,829 --> 00:56:08,132 演讲者 SPEAKER_07：关于这一点，实体和联系，你的研究，我也想到了学习，学习的一部分是社交规范和羞耻感以及类似的东西，当你在进化心理学中，你知道，在儿童初期，有一种非常强烈的引导他们走向正确的手段。
629 00:56:08,192 --> 00:56:10,355 演讲者 SPEAKER_07：那里有什么吗？
630 00:56:10,414 --> 00:56:14,139 演讲者 SPEAKER_07：我们能教会系统在犯错时感到羞耻吗？
631 00:56:14,119 --> 00:56:23,496 讲者 SPEAKER_06: 我相信它们内部确实需要某种情感系统，以便以特定方式进行学习。
632 00:56:23,896 --> 00:56:33,715 讲者 SPEAKER_06: 但最重要的是，我认为这也关乎我们理解，因为它们所依赖的数据来源于我们、自然以及我们所写的内容等。
633 00:56:33,695 --> 00:56:39,063 讲者 SPEAKER_06: 因此，我们需要更清楚地了解我们的感受是什么。
634 00:56:39,463 --> 00:56:49,701 讲者 SPEAKER_06: 所以，如果你在查看一个种族歧视的面部识别系统时感到尴尬，那么你需要从内心深处去寻找原因。
635 00:56:49,780 --> 00:56:51,163 演讲者 SPEAKER_06：这里发生了什么？
636 00:56:51,224 --> 00:56:57,052 演讲者 SPEAKER_06：为什么我会因为站在这个种族歧视的人脸识别系统旁边而感到尴尬？
637 00:56:57,032 --> 00:57:03,119 演讲者 SPEAKER_06：只有当你能阐明问题来源时，好吧，是的，它实际上是种族歧视，这就是我遇到的问题。
638 00:57:03,139 --> 00:57:04,702 演讲者 SPEAKER_06：这是一个简单的问题，对吧？
639 00:57:05,463 --> 00:57:19,418 演讲者 SPEAKER_06：我们有很多其他更困难的伦理问题，但一旦你感觉到这里有什么不对劲，或者这是好事，这里就给了我一种自由，或者有一种可能性，那么你就需要能够表达出来。
640 00:57:19,579 --> 00:57:23,563 演讲者 SPEAKER_06：而且很多这种伦理感
641 00:57:23,543 --> 00:57:34,798 演讲者 SPEAKER_06：并没有被表达出来，它非常依赖于情感和身体动作，这使得表达更加困难，这就是为什么我们需要新的设计方法来做这件事。
642 00:57:35,559 --> 00:57:51,762 演讲者 SPEAKER_08：也值得注意，你可以使用许多设计方法来确保安全，有一个瑞士奶酪安全的概念，每一层安全就像一片瑞士奶酪，有很多洞，但如果你有足够的片，那么所有洞都被穿过的概率就会降低。
643 00:57:51,742 --> 00:57:52,983 讲者 SPEAKER_08：可能实际上相当低。
644 00:57:53,003 --> 00:57:59,070 讲者 SPEAKER_08：所以我们可能需要设计一些图灵警察来检查人工智能系统。
645 00:57:59,150 --> 00:58:01,353 讲者 SPEAKER_08：我们可能有一些训练标准。
646 00:58:01,373 --> 00:58:11,764 讲者 SPEAKER_08：我们可能希望加入情感，并为小型年轻人工智能程序制定育儿标准，以提供良好的家庭教育，进行良好的道德教育。
647 00:58:12,266 --> 00:58:14,929 演讲者 SPEAKER_08：而且这样可能会让它变得足够可靠。
648 00:58:15,769 --> 00:58:20,414 演讲者 SPEAKER_09：我认为，为了使 AI 系统更安全、更道德，
649 00:58:22,032 --> 00:58:25,900 演讲者 SPEAKER_09：这些系统更像孩子，而不是像计算机代码。
650 00:58:26,242 --> 00:58:31,193 演讲者 SPEAKER_09：在以前，当我们编写程序让计算机做事情时，你可以查看代码行并了解它们的功能。
651 00:58:31,213 --> 00:58:36,666 说话人 SPEAKER_09：可能有数百万行代码，所以很难全部查看，但有可能查看这些代码行。
652 00:58:37,101 --> 00:58:41,666 说话人 SPEAKER_09：我们现在正在训练事物，它们从数据中提取结构。
653 00:58:42,807 --> 00:58:45,371 说话人 SPEAKER_09：所以展示给它们的数据非常重要。
654 00:58:45,931 --> 00:58:51,998 说话人 SPEAKER_09：目前，如果你使用像 GPT-4 这样的模型，据我所知，它只是训练了它们能接触到的一切。
655 00:58:52,739 --> 00:58:55,882 讲者 SPEAKER_09: 因此它可能是在连环杀手日记的基础上进行训练的。
656 00:58:56,523 --> 00:59:02,650 讲者 SPEAKER_09: 如果你在教孩子阅读，你会选择连环杀手的日记作为早期阅读材料吗？
657 00:59:03,972 --> 00:59:06,855 讲者 SPEAKER_09: 孩子们可能会很感兴趣。
658 00:59:06,835 --> 00:59:09,739 讲者 SPEAKER_09: 但这并不是你首选的。
659 00:59:09,759 --> 00:59:15,827 讲者 SPEAKER_09：我认为这些系统中的许多伦理问题将来自数据整理。
660 00:59:15,967 --> 00:59:19,632 讲者 SPEAKER_09：你知道，作为父母，你有两个控制孩子的手段。
661 00:59:20,132 --> 00:59:21,414 讲者 SPEAKER_09：你可以奖励和惩罚他们。
662 00:59:21,956 --> 00:59:22,976 讲者 SPEAKER_09：这并不很有效。
663 00:59:23,418 --> 00:59:24,559 讲者 SPEAKER_09: 或者你可以给他们设置一个好的模型。
664 00:59:24,599 --> 00:59:25,380 讲者 SPEAKER_09: 这样效果会好很多。
665 00:59:25,721 --> 00:59:31,088 讲者 SPEAKER_09: 如果你告诉他们不要说谎，如果他们说了谎就打他们，但如果你自己说谎，
666 00:59:31,338 --> 00:59:32,199 讲者 SPEAKER_09: 这样是不行的。
667 00:59:32,960 --> 00:59:36,646 讲者 SPEAKER_09：我认为道德将从建模良好行为中产生。
668 00:59:37,306 --> 00:59:48,925 讲者 SPEAKER_06：我认为处理数据和看待数据的真正好的理论是女权主义理论，即“抓握”理论。
669 00:59:48,905 --> 00:59:53,809 讲者 SPEAKER_06：数据的去殖民化，因为数据从何而来？
670 00:59:54,251 --> 00:59:55,552 讲者 SPEAKER_06：我们是谁在收集？
671 00:59:55,873 --> 00:59:59,175 讲者 SPEAKER_06：我们在偷什么，没有还给人们？
672 00:59:59,996 --> 01:00:02,800 讲者 SPEAKER_06：谁在尼日利亚训练这些系统？
673 01:00:03,320 --> 01:00:06,525 讲者 SPEAKER_06：这也是我们需要做大量工作的地方。
674 01:00:07,204 --> 01:00:15,974 讲者 SPEAKER_06：所以我完全同意，数据在多个层面，包括我们给它喂食的，以及我们构建这些数据集的方式。
675 01:00:15,954 --> 01:00:22,063 演讲者 SPEAKER_07：当你说话时，这里有一个假设，那就是它肯定会更智能。
676 01:00:22,182 --> 01:00:24,306 演讲者 SPEAKER_07：当然，这来自于你的立场。
677 01:00:24,726 --> 01:00:29,452 演讲者 SPEAKER_07：但是有没有它永远无法拥有的智能部分？
678 01:00:29,873 --> 01:00:30,835 演讲者 SPEAKER_07：我们还没有涉及到这一点。
679 01:00:31,755 --> 01:00:37,423 讲者 SPEAKER_07：机器永远无法达到的内在人性是什么？
680 01:00:37,503 --> 01:00:40,527 讲者 SPEAKER_09：我想就这个话题谈谈，大约五分钟。
681 01:00:40,507 --> 01:00:49,918 讲者 SPEAKER_09：因为很多人，他们有一个最后的防线，就是，是的，但他们没有主观经验或意识或意识。
682 01:00:50,980 --> 01:00:59,469 讲者 SPEAKER_09：现在，这里的大多数人可能认为当前的多模态聊天机器人没有主观经验。
683 01:00:59,690 --> 01:01:00,831 讲者 SPEAKER_09：我希望大家举手。
684 01:01:00,992 --> 01:01:10,043 讲者 SPEAKER_09：现在有多少人认为一个多模态聊天机器人肯定具有主观经验，或者很可能具有主观经验？
685 01:01:12,217 --> 01:01:12,978 讲者 SPEAKER_09：比我想象的要多。
686 01:01:13,018 --> 01:01:13,918 讲者 SPEAKER_09：好的。
687 01:01:14,880 --> 01:01:16,802 讲者 SPEAKER_09：大概有 15 或 20 个，对吧？
688 01:01:17,202 --> 01:01:20,126 讲者 SPEAKER_09：现在我将给出我的论点，然后我会再次请大家举手。
689 01:01:20,606 --> 01:01:23,429 讲者 SPEAKER_09：如果是 15 个，我需要 16 个人举手。
690 01:01:23,889 --> 01:01:25,012 讲者 SPEAKER_09：好的，那么开始了。
691 01:01:25,552 --> 01:01:30,858 演讲者 SPEAKER_09：我想说服你们，当前的多模态聊天机器人具有主观体验。
