1 00:00:24,989 --> 00:00:31,278 主持人 SPEAKER_02：我非常荣幸，能够介绍今天的演讲者。
468 00:38:26,239 --> 00:38:27,340 说话人 SPEAKER_00: 我想它可能就在这里。
469 00:38:27,360 --> 00:38:30,204 说话人 SPEAKER_00: 或者它可能就是，你知道的，那里肯定有一个。
470 00:38:30,224 --> 00:38:32,527 说话人 SPEAKER_00: 因为有洗碗机和微波炉的地方，肯定有电炉。
471 00:38:33,309 --> 00:38:34,250 说话人 SPEAKER_00: 这里有一个洗手盆。
472 00:38:34,710 --> 00:38:36,853 说话人 SPEAKER_00: 所以那里的正确答案非常可疑。
473 00:38:37,114 --> 00:38:38,456 说话人 SPEAKER_00: 实际上它给出了更好的答案。
474 00:38:40,057 --> 00:38:42,641 说话人 SPEAKER_00: 顺便说一下，如果测试集
475 00:38:43,027 --> 00:38:45,311 说话人 SPEAKER_00: 有一些答案并不是最好的答案。
476 00:38:45,793 --> 00:38:48,617 说话人 SPEAKER_00: 如果你全部答对了，那就是零错误。
477 00:38:48,918 --> 00:38:51,844 说话人 SPEAKER_00: 但如果你在测试集中的答案更好，那就是负错误。
478 00:38:51,864 --> 00:38:54,210 说话人 SPEAKER_00: 因此，我的目标是让这个系统达到负错误率。
479 00:38:56,434 --> 00:38:59,159 说话人 SPEAKER_00: 它可以识别像自动检票机这样的分布式设备。
480 00:38:59,621 --> 00:39:04,090 说话人 SPEAKER_00: 它有来自目录中的物品，比如防弹衣。
481 00:39:05,452 --> 00:39:06,534 说话人 SPEAKER_00: 这是我的最爱错误。
482 00:39:07,434 --> 00:39:13,541 说话人 SPEAKER_00: 你向它展示一些 iPhone 耳机，它会说那是螺旋夹，口红，或者螺丝。
483 00:39:14,161 --> 00:39:15,523 说话人 说话人_00: 然后它是一只蚂蚁。
484 00:39:16,945 --> 00:39:19,027 说话人 说话人_00: 它究竟为什么会认为它们是蚂蚁呢？
485 00:39:19,487 --> 00:39:22,811 说话人 说话人_00: 但是如果你看它，这就是你不想看到的蚂蚁的样子。
486 00:39:23,211 --> 00:39:25,974 说话人 说话人_00: 它是一只巨大的蚂蚁，它正要咬你。
487 00:39:26,014 --> 00:39:26,956 说话者 SPEAKER_00: 它正在俯视你。
488 00:39:27,036 --> 00:39:27,797 说话者 SPEAKER_00: 这是触角的部位。
489 00:39:28,998 --> 00:39:30,820 说话者 SPEAKER_00: 这是蚜虫眼中的蚂蚁。
490 00:39:31,929 --> 00:39:36,795 说话者 SPEAKER_00: 现在，我们无法证明这就是它说“但是”的原因，但除此之外，它为什么说“但是”呢？
491 00:39:41,201 --> 00:39:42,822 说话人 SPEAKER_00：还有另一种思考 dropout 的方法。
492 00:39:43,123 --> 00:39:45,025 说话人 SPEAKER_00：所以，我已经向你展示了 dropout 是如何工作的。
493 00:39:45,045 --> 00:39:54,697 说话人 SPEAKER_00：另一种思考方式，类似于进化理论家的观点，就是不要从模型平均的角度去想，而是从隐藏单元需要做什么去想。
494 00:39:55,318 --> 00:39:58,782 说话人 SPEAKER_00：所以，网络中的一个隐藏单元希望做一些有用的事情。
495 00:39:59,268 --> 00:40:06,114 说话者 SPEAKER_00：如果他确切地知道他将与谁合作，那么他可以调整自己的行为以适应他们可能的行为。
496 00:40:07,094 --> 00:40:08,735 说话者 SPEAKER_00：然后你会得到这些复杂的协同适应。
497 00:40:09,277 --> 00:40:14,001 说话者 SPEAKER_00：但如果你不知道还有谁会参加，如果你试图调整以适应他们，那你就没戏了。
498 00:40:14,300 --> 00:40:17,344 说话者 SPEAKER_00：你最好做一些对个人有用的东西。
499 00:40:17,364 --> 00:40:19,585 说话人 SPEAKER_00：将隐藏单元变成坚韧的个体主义者。
500 00:40:20,226 --> 00:40:25,771 说话人 SPEAKER_00：除了这一点，他们是坚韧的个体主义者，想要做些有用的事情，考虑到其他人通常在做什么。
501 00:40:26,110 --> 00:40:28,092 说话人 SPEAKER_00：所以，考虑到所有这些组合性的许多
502 00:40:28,630 --> 00:40:32,474 说话人 SPEAKER_00：其他人你可能需要与之合作的集合，做一些通常有帮助的事情。
503 00:40:32,755 --> 00:40:37,639 说话者 SPEAKER_00: 这会使你做的与他们的不同，但不是依赖于具体是哪些。
504 00:40:38,961 --> 00:40:44,527 说话者 SPEAKER_00: 这使你更能抵御他们变化，也能抵御环境变化。
505 00:40:44,849 --> 00:40:48,853 说话者 SPEAKER_00: 能够抵御环境变化正是防止过拟合的关键。
506 00:40:49,092 --> 00:40:53,077 说话者 SPEAKER_00: 在机器学习中，当从训练集切换到测试集时，环境发生变化。
507 00:40:53,097 --> 00:40:55,179 说话人 SPEAKER_00: 你真正需要稳健应对的是这些变化。
508 00:40:56,902 --> 00:40:58,384 说话人 SPEAKER_00: 这就是一个例子。
509 00:40:59,579 --> 00:41:00,760 说话人 SPEAKER_00: 这里有两个训练案例。
510 00:41:02,442 --> 00:41:04,585 说话人 SPEAKER_00: 这些是输入，这些是期望的输出。
511 00:41:05,485 --> 00:41:07,347 说话人 SPEAKER_00: 这里有一组表现完美的权重。
512 00:41:09,610 --> 00:41:11,632 说话人 SPEAKER_00: 你看 5 加 11 等于 6。
513 00:41:11,853 --> 00:41:13,215 说话人 SPEAKER_00: 如果你把这些加进去，你得到 4。
514 00:41:16,278 --> 00:41:18,001 说话人 SPEAKER_00: 但是 5 和 11 是共适应的。
515 00:41:19,001 --> 00:41:23,206 说话人 SPEAKER_00：这个减 5 似乎走错了方向。
516 00:41:23,811 --> 00:41:27,036 说话人 SPEAKER_00：并且它依赖于这个加 11 的存在，否则它说的东西真的很愚蠢。
517 00:41:27,335 --> 00:41:31,882 说话人 SPEAKER_00：如果你使用 dropout，而这个加 11 有时不存在，你会发现这个减 5 是个糟糕的主意。
518 00:41:32,282 --> 00:41:34,005 说话人 SPEAKER_00：如果你使用 dropout，你会得到更接近这样的权重。
519 00:41:35,806 --> 00:41:40,373 说话人 SPEAKER_00：实际上，你将得到两倍的权重，但当你将它们放入平均网络中时，你将它们减半，然后你会得到这样的权重。
520 00:41:41,134 --> 00:41:49,784 说话人 SPEAKER_00：然后这些权重将起作用。
521 00:41:51,030 --> 00:41:53,715 说话人 SPEAKER_00：在机器学习中，有几种正则化的方法。
522 00:41:53,815 --> 00:41:57,221 说话人 SPEAKER_00：一种是将模型平均化，另一种是添加噪声。
523 00:41:57,380 --> 00:42:04,192 说话人 SPEAKER_00：人们已经证明，在线性系统的权重中添加高斯噪声与 L2 惩罚是等价的。
524 00:42:05,233 --> 00:42:11,503 说话人 SPEAKER_00：实际上，向输入添加高斯噪声与 L2 惩罚是等价的，抱歉。
525 00:42:11,764 --> 00:42:15,789 说话人 SPEAKER_00：是的，向输入添加高斯噪声，就像有 L2 惩罚一样。
526 00:42:16,090 --> 00:42:18,474 说话人 SPEAKER_00：随着网络变得更加复杂，这会变得稍微复杂一些。
527 00:42:18,914 --> 00:42:22,760 说话人 SPEAKER_00: 人们通常认为添加噪声与进行模型平均化是不同的。
528 00:42:22,780 --> 00:42:29,068 说话人 SPEAKER_00: Dropout 展示的是一个既可以看作是添加噪声也可以看作是模型平均化的案例。
529 00:42:29,309 --> 00:42:30,811 说话人 SPEAKER_00: 这两种方法实际上并没有真正的区别。
530 00:42:35,378 --> 00:42:41,827 说话人 SPEAKER_00: 我想再谈谈使用 Dropout 的一个优势，这可能与进化生物学有关，我想。
531 00：42：42,195 --> 00：42：47,101 演讲者 SPEAKER_00：当你训练一个带有 dropout 的网络时，神经元对他们的同事变化非常强大。
他们不知道会是谁在那里，所以他们最好做一些能够应对这些变化的事情。
533 00：42：53,210 --> 00：42：56,353 演讲者 SPEAKER_00：这意味着这些网络在遗传算法方面应该非常好。
534 00：42：57,896 --> 00：43：01,920 演讲者 SPEAKER_00：你应该能够拿两个不同的网，拿一半。
535 00:43:02,001 --> 00:43:03,643 说话人 SPEAKER_00：假设你只有一个隐藏层。
536 00:43:03,663 --> 00:43:06,827 说话人 SPEAKER_00：从一个网络中取一半的隐藏单元，从另一个网络中也取一半的隐藏单元。
537 00:43:07,728 --> 00:43:10,532 说话人 SPEAKER_00：这些隐藏单元已经对同事的变化具有鲁棒性。
538 00:43:10,916 --> 00:43:19,005 说话人 SPEAKER_00：所以当你从每个网络中各取一半时，你得到的东西还不能正常工作，但它已经相当好了。
539 00:43:19,385 --> 00:43:20,585 说话人 SPEAKER_00：我知道 Skiva 已经测试过了。
540 00:43:20,626 --> 00:43:21,327 说话人 SPEAKER_00：它工作得相当不错。
541 00:43:21,646 --> 00:43:25,911 说话人 SPEAKER_00：然后进行一点训练，它的工作效果几乎和父母一样好。
542 00:43:25,931 --> 00:43:38,443 说话人 SPEAKER_00：所以现在你可以做的是，你可以拿一个大集群，或者大农场，你可以进行大量的计算，几乎不需要通信。
543 00:43:39,047 --> 00:43:44,574 说话人 SPEAKER_00: 所以你在少量本地核心上运行了很多网络。
544 00:43:45,534 --> 00:43:49,278 说话人 SPEAKER_00: 有时候，这些网络中的一个会为伴侣做广告。
545 00:43:51,061 --> 00:43:53,563 说话人 SPEAKER_00: 她考虑了可能性，选择了其中一个。
546 00:43:54,543 --> 00:43:59,630 说话人 SPEAKER_00: 然后你从母亲和父亲那里各得到一半的隐藏单元。
547 00:44:01,271 --> 00:44:03,012 说话人 SPEAKER_00: 母网络随后被暂停。
548 00:44:03,574 --> 00:44:06,556 说话人 SPEAKER_00: 妈妈们都知道这件事。
549 00:44:06,925 --> 00:44:09,949 说话人 SPEAKER_00: 那个核心用于运行子网络。
550 00:44:09,969 --> 00:44:11,452 说话人 SPEAKER_00: 子网络随后进行更多训练。
551 00:44:12,432 --> 00:44:16,079 说话人 SPEAKER_00: 然后你对谁最终会做得更好做出预测，是母亲还是这个孩子。
552 00:44:16,139 --> 00:44:18,762 说话人 SPEAKER_00: 这个孩子可能还没有母亲做得好，因为它还没有完成训练。
553 00:44:19,284 --> 00:44:20,324 说话人 SPEAKER_00: 但你必须做出一些预测。
554 00:44:20,364 --> 00:44:22,347 说话人 SPEAKER_00: 这个孩子有可能比母亲做得更好吗？
555 00:44:22,809 --> 00:44:23,650 说话人 SPEAKER_00: 如果是这样，你就杀掉母亲。
556 00:44:24,190 --> 00:44:25,373 说话人 SPEAKER_00: 如果不是，你就杀掉孩子。
557 00:44:25,876 --> 00:44:28,800 说话人 SPEAKER_00: 你可能会问父亲怎么办。
558 00:44:30,021 --> 00:44:33,766 说话人 SPEAKER_00: 在这个算法中，快速改变性别非常重要。
559 00:44:34,407 --> 00:44:37,313 说话人 SPEAKER_00：所以一个网络，有时候是父亲，有时候是母亲。
560 00:44:37,873 --> 00:44:39,255 说话人 SPEAKER_00：如果你是父亲，你永远不会被杀。
561 00:44:41,057 --> 00:44:44,282 说话人 SPEAKER_00：所以要摆脱他们，你必须进行性别转换。
562 00:44:45,023 --> 00:44:45,184 说话人 SPEAKER_00：好的。
563 00:44:49,070 --> 00:44:54,277 说话人 SPEAKER_02: 嗯。
564 00:44:54,297 --> 00:44:54,396 说话人 SPEAKER_00: 嗯。
565 00:44:54,416 --> 00:44:55,579 说话人 SPEAKER_00: 当然。
566 00:44:56,251 --> 00:44:59,775 说话人 SPEAKER_00: 只是一种标准的 dropout，我得到了。
567 00:44:59,875 --> 00:45:00,715 说话人 SPEAKER_00: 这样做不太合适。
568 00:45:02,418 --> 00:45:07,583 说话人 SPEAKER_00: 很可能在生物学中，有两个是因为组织群交太复杂了。
569 00:45:10,367 --> 00:45:11,969 说话人 SPEAKER_00: 但我不知道。
570 00:45:12,489 --> 00:45:13,391 说话人 SPEAKER_00: 我们还没有做过实验。
571 00:45:13,411 --> 00:45:20,699 说话人 SPEAKER_00：我们甚至还没有，我们只进行了一个非常初步的实验，以表明如果你做两件这样的事情，孩子会很快学会做得好。
572 00:45:21,561 --> 00:45:23,422 说话人 SPEAKER_00：所以从 dropout 中获得的鲁棒性非常有帮助。
573 00:45:23,992 --> 00:45:32,003 说话人 SPEAKER_00：至于遗传算法，你可以使用你的一百万个空闲核心，并且可以充分利用它们，而不需要任何通信。
574 00:45:33,365 --> 00:45:33,626 说话人 SPEAKER_00：好的。
575 00:45:34,407 --> 00:45:36,471 说话人 SPEAKER_00：现在来说点不太一样的事情。
576 00:45:39,514 --> 00:45:48,668 说话人 SPEAKER_00：如果你思考 Dropout 所做的工作，它是在取一个神经元，在我的网络中，这个神经元是逻辑神经元，所以它计算一个概率 P。
577 00:45:49,576 --> 00:45:52,659 说话人 SPEAKER_00：然后它从逻辑神经元给出一个数字，P。
578 00:45:53,059 --> 00:45:55,563 说话人 SPEAKER_00：这就是逻辑神经元的输出，我们称之为神经活动。
579 00:45:56,523 --> 00:46:03,030 说话者 SPEAKER_00: 然后以 0.5 的概率将这个数字，这个真实值，发送到上一层。
580 00:46:03,650 --> 00:46:06,134 说话者 SPEAKER_00: 这就是 dropout 所做的事情。
581 00:46:06,153 --> 00:46:16,005 说话人 说话人_00：嗯，这正好与发送一个概率为 P 的 0.5 的期望值相同。好吗？
582 00:46:17,047 --> 00:46:18,289 说话人 说话人_00：方差略有不同。
583 00:46:19,130 --> 00:46:20,170 说话人 说话人_00：那么为什么不试试看呢？
584 00:46:22,634 --> 00:46:25,416 说话人 说话人_00：所以考虑一个神经网络。
585 00:46:25,956 --> 00:46:29,121 讲者 SPEAKER_00：在我们预训练这些神经网络时，我们无论如何都使用随机二进制神经元。
586 00:46:30,001 --> 00:46:39,751 讲者 SPEAKER_00：那么，为什么不用随机选择一个比特位来代替发送这些实数值进行反向传播呢？
587 00:46:39,771 --> 00:46:44,777 讲者 SPEAKER_00：所以你计算 P，然后以概率 P 发送一个 1。
588 00:46:48,233 --> 00:46:55,942 讲者 SPEAKER_00：这有点奇怪，因为我们一直认为反向传播的突破在于意识到需要发送那些实数。
589 00:46:57,023 --> 00:46:58,985 说话人 SPEAKER_00：实际上，如果你这么做，效果真的很好。
590 00:47:01,528 --> 00:47:06,916 说话人 SPEAKER_00：神经网络显然学习速度较慢，你需要将其做得更大才能学习到相同数量的东西。
591 00:47:07,235 --> 00:47:08,577 说话人 SPEAKER_00：但它泛化能力更好。
592 00:47:09,338 --> 00:47:17,007 说话人 SPEAKER_00：并且从我所做的初步实验来看，你在性能上获得的提升与使用 dropout 获得的提升相似。
593 00:47:17,478 --> 00:47:28,913 说话人 SPEAKER_00: 这句话的意思是，如果你有一个很大的深度神经网络，并且你依赖正则化它，那么它很大，对吧？
594 00:47:28,932 --> 00:47:30,235 说话人 SPEAKER_00: 它没有足够的训练数据。
595 00:47:31,237 --> 00:47:34,860 说话人 SPEAKER_00: 你希望使用像 dropout 或噪声这样的方法来正则化它。
596 00:47:35,922 --> 00:47:42,692 说话人 SPEAKER_00: 实际上，神经元发送一个比特比发送一个模拟值要好。
597 00:47:45,541 --> 00:47:56,956 讲者 SPEAKER_00：在 dropout 中，如果你的方差，如果你发送一半，如果你以一半的概率发送 p，你的平均值是半 p。因此，你的值将偏离那个值四分之一 p。
598 00:47:57,016 --> 00:47:59,541 讲者 SPEAKER_00：所以当你，无论什么。
599 00:48:00,601 --> 00:48:01,623 讲者 SPEAKER_00：这就是你得到的方差。
600 00:48:01,724 --> 00:48:06,871 讲者 SPEAKER_00：有一个随机位，但你发送的是 0.5，这是方差。
601 00:48:07,391 --> 00:48:10,054 说话人 SPEAKER_00: 你可以看到，当 p 等于一半时，它们是相同的。
602 00:48:10,114 --> 00:48:11,396 说话人 SPEAKER_00: 这很好，因为它们必须是这样。
603 00:48:11,831 --> 00:48:16,356 说话人 SPEAKER_00: 当 P 很大时，这个家伙的方差比那个家伙低。
604 00:48:18,878 --> 00:48:22,501 说话人 SPEAKER_00: 但当 P 很小时，这个家伙的方差更大。
605 00:48:23,541 --> 00:48:25,724 说话人 SPEAKER_00：当 P 值较小时，这个值与 P 的平方成正比。
606 00:48:25,764 --> 00:48:32,971 说话人 SPEAKER_00：这个值与 P 成正比。因此，当 P 值较小时，使用 SCASI 位，你得到的方差甚至比使用 dropout 还要大。
607 00:48:33,951 --> 00:48:36,514 说话人 SPEAKER_00：这就是当 P 值较小时的高斯极限。
608 00:48:36,534 --> 00:48:37,393 说话人 SPEAKER_00：你忽略这个项。
609 00:48:38,275 --> 00:48:40,336 说话人 SPEAKER_00: 方差现在与 P 成正比。
610 00:48:40,942 --> 00:48:43,766 说话人 SPEAKER_00: 大概就是这样，神经元的样子。
611 00:48:43,806 --> 00:48:50,695 说话人 SPEAKER_00: 许多神经科学家会告诉你，神经元的作用是计算泊松率，然后根据泊松分布发出尖峰。
612 00:48:52,416 --> 00:48:56,623 说话人 SPEAKER_00: 你必须考虑到它不能立即发出另一个尖峰，这使事情变得更加复杂。
613 00:48:56,943 --> 00:49:00,306 说话人 SPEAKER_00: 忽略这一点，泊松模型是神经元的一个相当好的模型。
614 00:49:00,887 --> 00:49:04,552 说话人 SPEAKER_00: 这始终是个谜，他们为什么不使用 spikes 的时间？
615 00:49:04,802 --> 00:49:06,666 说话人 SPEAKER_00: 他们为什么要做所有这些随机性？
616 00:49:07,047 --> 00:49:08,731 说话人 SPEAKER_00: 答案是因为他们想这么做。
617 00:49:08,751 --> 00:49:11,759 说话者 SPEAKER_00：如果你想让模型拟合数据，这是正确的事情。
618 00:49:12,519 --> 00:49:14,284 说话者 SPEAKER_00：如果你发送了实数，你会做得更差。
619 00:49:17,431 --> 00:49:19,817 说话者 SPEAKER_00：所以这是一段有趣的历史，我之前已经暗示过了。
620 00:49:20,878 --> 00:49:21,681 说话者 SPEAKER_00：当我们
621 00:49:22,166 --> 00:49:27,235 说话人 SPEAKER_00：训练，首次发现可以无监督地训练大量特征层。
622 00:49:27,255 --> 00:49:30,139 说话人 SPEAKER_00：我们使用被称为玻尔兹曼机的随机二进制单元。
623 00:49:31,541 --> 00:49:38,010 说话人 SPEAKER_00：Terry Sanofsky 在 1980 年左右坚持使用随机二进制单元，那是我第一次见到他，因为他认为这就是神经元的样子。
624 00:49:38,632 --> 00:49:43,398 说话人 SPEAKER_00：因此我们尝试开发使用它们的方法，因为这就是神经元所做的事情。
625 00:49:44,019 --> 00:49:46,282 说话人 SPEAKER_00：我们发现可以这样训练每个检测器。
626 00:49:46,403 --> 00:49:49,829 说话人 SPEAKER_00：但是做了之后，我们知道反向传播对微调很有用。
627 00:49:50,429 --> 00:49:58,081 说话人 SPEAKER_00：所以我们假装它们是确定性的神经元，这是一种糟糕的智力妥协，我们使用了反向传播。
628 00:49:58,101 --> 00:50:07,233 说话人 SPEAKER_00：结果发现，如果你不这样做，如果你在正向传播中继续将它们作为随机二进制神经元运行，但在反向传播中使用标准的反向传播。
在反向传播过程中，你使用那些 P 和 1 减 P，但它们永远不会需要被传递到神经元外部。
然后，它实际上训练得更慢，但泛化能力更好。
所以，这样做是更好的选择。
因此，我想以一些解释来结束，解释为什么皮层神经元不发送模拟值，因为这始终是个谜。
633 00:50:35,856 --> 00:50:39,541 说话人 SPEAKER_00: 很多人说，他们根本无法高效地做到这一点。
634 00:50:40,534 --> 00:50:45,121 说话人 SPEAKER_00: 但实际上，发送一个尖峰需要一些糖，因为你要发送这股去极化波。
635 00:50:46,623 --> 00:50:50,307 说话人 SPEAKER_00: 发送一个精确时间尖峰所需的糖量是相同的。
636 00:50:51,409 --> 00:50:53,711 说话人 SPEAKER_00: 这并不是不使用时间的理由。
637 00:50:54,072 --> 00:50:57,797 说话人 SPEAKER_00：更重要的是，我们知道有一些神经元会使用非常精确的时间。
638 00:50:58,277 --> 00:51:06,168 说话人 SPEAKER_00：所以当我定位声音时，我依赖于声音到达我两只耳朵的时间差。
639 00:51:06,929 --> 00:51:08,652 说话人 SPEAKER_00：现在，这是声音的 1 毫秒。
640 00:51:09,255 --> 00:51:12,519 说话人 SPEAKER_00：而到达我两只耳朵的时间差更像是这样。
641 00:51:12,621 --> 00:51:13,621 说话人 SPEAKER_00: 这是距离的差异。
642 00:51:14,242 --> 00:51:16,284 说话人 SPEAKER_00: 我们谈论的是毫秒级别的一小部分。
643 00:51:17,467 --> 00:51:23,034 说话人 SPEAKER_00: 您的神经元通过这种方式发送一个脉冲，那种方式发送一个脉冲，并观察它们在哪里重叠。
644 00:51:23,414 --> 00:51:25,217 说话人 SPEAKER_00: 因此，它们非常精确地使用脉冲时间。
645 00:51:26,338 --> 00:51:28,221 说话人 SPEAKER_00：我们都知道，如果进化愿意的话，它可以做到这一点。
646 00:51:28,862 --> 00:51:36,833 说话人 SPEAKER_00：在你的海马体中，如果你是一只老鼠，你就有，实际上你就是。
647 00:51:37,554 --> 00:51:40,400 说话人 SPEAKER_00：你会有一些细胞在你处于某个特定地点时活跃。
648 00:51:41,822 --> 00:51:45,447 说话人 SPEAKER_00：因此，细胞活跃的事实会告诉你你就在那里。
649 00:51:46,268 --> 00:51:51,438 说话者 SPEAKER_00：但是当它相对于振荡发生时，就能告诉你你在该位置场内的哪个位置。
650 00:51:52,559 --> 00:51:54,884 说话者 SPEAKER_00：关于这一点仍有争议，但已经相当明确了。
651 00:51:55,204 --> 00:52:03,478 说话者 SPEAKER_00：所以你使用尖峰的精确时间来告诉你你在哪里，以及它发生的事实告诉你你大概在这里。
652 00:52:04,251 --> 00:52:06,255 说话者 SPEAKER_00：所以我们知道它们可以使用时间来尖峰。
653 00:52:06,315 --> 00:52:09,099 说话人 说话人_00：我认为这根本不是一种合理的解释。
654 00:52:09,360 --> 00:52:10,061 说话人 说话人_00：他们可以做到。
655 00:52:10,561 --> 00:52:11,603 说话人 说话人_00：有做这件事的高效方法。
656 00:52:11,884 --> 00:52:12,445 说话人 说话人_00：但他们做不到。
657 00:52:14,086 --> 00:52:15,949 说话人 SPEAKER_00：另一个论点是进化从未想过这一点。
658 00:52:16,010 --> 00:52:17,793 说话人 SPEAKER_00：我的意思是，它从未偶然遇到这个想法。
659 00:52:18,454 --> 00:52:19,876 说话人 SPEAKER_00：我觉得这非常不可能。
660 00:52:20,396 --> 00:52:23,402 说话人 SPEAKER_00：进化可以将相同的细胞变成牙齿和眼睛。
661 00:52:24,003 --> 00:52:32,436 说话人 SPEAKER_00：如果它能做到那样，那么，你知道，用尖峰的时间似乎很显然。
662 00:52:33,175 --> 00:52:34,195 说话人 SPEAKER_00：我们甚至可以想到这一点。
663 00:52:35,918 --> 00:52:36,657 说话人 SPEAKER_00：所以我不相信这一点。
664 00:52:38,360 --> 00:52:43,965 说话人 SPEAKER_00：我目前的解释是神经元不发送模拟值，因为它们不想这么做。
665 00:52:44,025 --> 00:52:46,047 说话者 SPEAKER_00：他们最好发送随机脉冲。
666 00:52:46,527 --> 00:52:48,369 说话者 SPEAKER_00：这是因为它是一个非常优秀的正则化器。
667 00:52:49,170 --> 00:53:00,201 说话者 SPEAKER_00：神经元真正关心的是将数以亿计的模型拟合到它们所面对的奇怪数据中，平均这些模型的说法，发送随机脉冲是做这件事的一个非常好的方法。
668 00:53:01,081 --> 00:53:01,782 说话者 SPEAKER_00：好的，我完成了。
669 00:53:14,958 --> 00:53:16,920 说话人 SPEAKER_03：我们还有时间问几个问题。
670 00:53:16,940 --> 00:53:20,284 说话人 SPEAKER_03：但如果你想提问，你必须对着麦克风说。
671 00:53:28,235 --> 00:53:28,554 说话人 SPEAKER_03：没有人吗？
672 00:53:28,695 --> 00:53:29,255 说话人 SPEAKER_03：哦，好的。
673 00:53:29,436 --> 00:53:34,623 说话人 SPEAKER_03：将会有一个人发言。
674 00:53:34,663 --> 00:53:42,972 说话人 SPEAKER_06：皮质神经元不发送模拟值的一个另类理由是，随机发送更节能。
675 00:53:44,336 --> 00:53:45,577 说话人 SPEAKER_00：为什么更节能？
676 00:53:45,597 --> 00:53:50,885 说话人 SPEAKER_00：因为能量在于将去极化波传送到轴突。
677 00:53:51,846 --> 00:53:55,409 说话者 SPEAKER_00：你必须，你的钠泵必须将离子再次泵回。
678 00:53:55,789 --> 00:54:03,398 说话者 SPEAKER_06：不，不，不是发送尖峰，就像做与对齐尖峰和查看它在波中的位置相关的工作。
679 00:54:05,561 --> 00:54:07,003 说话者 SPEAKER_00：这并不难。
680 00:54:08,063 --> 00:54:15,250 说话者 SPEAKER_00：真正让我信服这一点的是，我想出了一个计划，这样我就可以仔细地计时尖峰。
681 00:54:15,789 --> 00:54:24,978 说话者 SPEAKER_00：例如，你可以做标量积，这是一个突触强度向量与 spikes 时间向量的标量积。
682 00:54:25,920 --> 00:54:31,144 说话者 SPEAKER_00：你可以做这个标量积，然后很容易将其转换回下一层的 spike 时间。
683 00:54:31,704 --> 00:54:33,907 说话者 SPEAKER_00：所以想出做这件事的机制并不难。
684 00:54:34,668 --> 00:54:36,670 说话者 SPEAKER_00：只是大脑皮层似乎没有使用它。
685 00:54:37,594 --> 00:54:40,467 说话人 SPEAKER_00：我认为有一种节能的方式来做到这一点。
686 00:54:41,797 --> 00:54:43,018 说话人 SPEAKER_00：是的。
687 00:54:43,039 --> 00:54:49,628 说话人 SPEAKER_03：所以在 dropout 的情况下，你会在训练时将其随机性作为正则化项打开。
688 00:54:49,969 --> 00:54:55,516 说话人 SPEAKER_03：但是在测试时，为了恢复这些模型的力量，你会对它们进行平均，对吧？
689 00:54:55,777 --> 00:55:01,485 说话人 SPEAKER_03：但如果这是你对大脑工作方式的猜想，并且随机性始终存在，那就好像它始终在训练。
690 00:55:01,585 --> 00:55:02,847 说话人 SPEAKER_03：它何时可以兑现？
691 00:55:03,027 --> 00:55:08,335 说话人 SPEAKER_03：它如何兑现并实际上平均这些模型，以便在测试时间，比如现在，表现良好？
692 00:55:08,356 --> 00:55:10,639 说话人 SPEAKER_00：所以为了平均这些模型，它需要做什么
693 00:55:10,619 --> 00:55:13,443 说话者 SPEAKER_00: 运行一段时间并使用尖峰率。
694 00:55:13,804 --> 00:55:18,431 说话者 SPEAKER_00: 基本上，你需要对时间进行积分，并且是随机的。
695 00:55:19,391 --> 00:55:24,079 说话者 SPEAKER_00：如果你观察人们在做决策，他们会随着时间的推移变得越来越准确。
696 00:55:26,061 --> 00:55:35,675 说话者 SPEAKER_00：所以大脑使用随机脉冲的方式，如果这就是原因，它必须以正确的方式运行模型平均，即多次运行。
697 00:55:36,356 --> 00:55:40,103 说话者 SPEAKER_00：因此，如果你花更多的时间通过时间平均结果，你会得到更准确的结果。
698 00:55:41,246 --> 00:55:44,030 说话者 SPEAKER_00：心理学家有很多证据表明，当你试图做决策时，你会这样做。
699 00:55:44,070 --> 00:55:45,833 Speaker SPEAKER_00: 这就是为什么如果你给他们更多时间，你就能得到更准确的结果。
700 00:55:54,708 --> 00:55:54,927 Speaker SPEAKER_07: 嗨。
701 00:55:54,947 --> 00:56:00,257 Speaker SPEAKER_07: 那么这种方法是否已经应用于更一般的 Boltzmann 机器，更一般的模型呢？
702 00:56:02,300 --> 00:56:04,463 Speaker SPEAKER_00: 嗯，Boltzmann 机器本身就在做这件事，对吧？
703 00:56:04,483 --> 00:56:07,507 说话人 SPEAKER_00：玻尔兹曼机全是随机的尖峰。
704 00:56:08,467 --> 00:56:12,536 说话人 SPEAKER_04：这是真的。
705 00:56:30,639 --> 00:56:37,688 说话人 SPEAKER_05：我不知道尖峰，尖峰的强度，我的意思是，在你的情况下，它是 0.20 的常数。
706 00:56:38,367 --> 00:56:42,532 说话人 SPEAKER_05：但在观察中，它可能非常多样，对吧？
707 00:56:43,134 --> 00:56:43,373 说话人 SPEAKER_00: 不。
708 00:56:43,914 --> 00:56:46,317 说话人 SPEAKER_00: 针尖的大小几乎都差不多。
709 00:56:47,097 --> 00:56:50,601 说话人 SPEAKER_00: 所以通过在轴突中发送去极化波来传播尖峰。
710 00:56:51,643 --> 00:56:54,204 说话人 SPEAKER_00: 这是一个数字事件。
711 00:56:54,226 --> 00:56:59,331 说话人 SPEAKER_00: 也就是说，每个阶段都有数字清理，这样如果...
