1 00:00:05,684 --> 00:00:16,539 说话人 说话人_00: 谢谢。
475 00:38:24,132 --> 00:38:26,876 说话人 SPEAKER_00：在某个未来状态下，AI 将是全能的。
476 00:38:27,257 --> 00:38:32,525 说话人 SPEAKER_00：嗯，把尼克弄晕，让他双手背后，然后直接把他扔进车里，可能是把尼克送到机场的最佳方式。
477 00:38:32,565 --> 00:38:35,251 说话人 SPEAKER_00：这样效率更高，因为那样的话，他在出去的路上就不会和任何人说话了。
478 00:38:35,711 --> 00:38:39,637 说话人 SPEAKER_00：所以你可以看到这些子目标正在走向失败。
479 00:38:40,833 --> 00:38:43,295 说话人 SPEAKER_01：是的，但记住它是一个非常智能的系统。
480 00:38:43,835 --> 00:38:49,402 说话人 SPEAKER_01：到那时，它应该不会以明显违反人类利益的方式出错。
481 00:38:49,422 --> 00:38:54,327 说话人 SPEAKER_01：它应该被训练成对人类利益感兴趣。
482 00:38:54,648 --> 00:38:56,829 说话人 SPEAKER_00：好吧，太好了，因为我真的不希望这种情况发生在我身上。
483 00:38:57,451 --> 00:39:01,574 说话人 SPEAKER_00：好吧，让我们来过一遍，我想过一遍一些监管框架。
484 00:39:01,735 --> 00:39:07,802 说话人 SPEAKER_00：我有一个问题想问你，我觉得你可能比大多数人更能回答，那就是，
485 00:39:09,182 --> 00:39:32,186 说话人 SPEAKER_00：阻碍大型 AI 公司和 AI 研究人员在安全性或放缓方面工作的因素，不仅仅是力量，不仅仅是金钱，还有实现伟大事业的梦想，或者说，像程序员说的，找到一些美好的东西。
486 00:39:32,166 --> 00:39:44,942 说话人 SPEAKER_00：请告诉我一个时刻，让监管者能够理解，作为突破边缘的开发者，那是什么感觉，以及监管者在思考政策时应该如何考虑这一点。
487 00:39:47,005 --> 00:39:52,891 说话人 SPEAKER_01：我不确定能否给你提供好的见解。
对于一名研究人员，对于被好奇心驱使的研究人员，致力于如何使某物更强大，引入一些戏剧性的新功能。
489 00:40:05,884 --> 00:40:17,059 发言人 SPEAKER_01：就像之前的发言人谈到的，你学习一种语言的模型，你学习另一种语言的模型，然后你可以采用内部表示并将它们相互旋转。
490 00:40:18,260 --> 00:40:19,222 发言人 SPEAKER_01：这真是太神奇了。
491 00:40:19,242 --> 00:40:22,085 发言人 SPEAKER_01：看到这样的事情你会感到很高兴。
492 00:40:22,065 --> 00:40:27,775 说话人 SPEAKER_01：我不确定你是否从安全工作中获得同样的快乐。
493 00:40:29,358 --> 00:40:31,260 说话人 SPEAKER_01：所以我在某种程度上同意你的观点。
494 00:40:31,601 --> 00:40:33,625 说话人 SPEAKER_01：然而，从事安全工作非常重要。
495 00:40:34,347 --> 00:40:39,996 说话人 SPEAKER_01：而且有一些非常优秀的研究人员热衷于将他们的职业生涯投入到安全工作中。
496 00:40:40,356 --> 00:40:45,846 说话人 SPEAKER_01：我认为我们应该尽一切努力让这条职业道路成为一条有回报的职业道路。
497 00:40:46,400 --> 00:40:51,737 说话人 SPEAKER_00：所以你会对这间屋子的年轻企业编码者说，这是上帝的工作。
498 00:40:52,400 --> 00:40:59,362 说话人 SPEAKER_00：从事安全工作，那将是一件好事，也许甚至比当水管工更好。
499 00:41:00,693 --> 00:41:04,157 说话人 SPEAKER_01：哦，是的，如果你能在安全方面取得进展，那将是非常惊人的，是的。
500 00:41:04,516 --> 00:41:06,639 说话人 SPEAKER_00: 好的，太棒了，我要和我的孩子们谈谈。
501 00:41:08,641 --> 00:41:10,603 说话人 SPEAKER_00: 我们来谈谈你想要的监管框架。
502 00:41:11,264 --> 00:41:17,590 说话人 SPEAKER_00: 你提到的一件事是，我相信你去了唐宁街 10 号，说英国应该有普遍基本收入。
503 00:41:18,012 --> 00:41:23,797 说话人 SPEAKER_00: 你能解释一下为什么吗，然后解释一下你在那里推荐的其他法规？
504 00:41:25,043 --> 00:41:34,072 说话人 SPEAKER_01：是的，我被邀请参加了唐宁街，那里有一大批 Sunax 顾问，他的首席助手以及许多其他为他提供 AI 建议的人。
505 00:41:34,793 --> 00:41:36,094 说话人 SPEAKER_01：我和他们谈了好一会儿。
506 00:41:36,976 --> 00:41:38,998 说话人 SPEAKER_01：那时，我并没有坐着。
507 00:41:39,099 --> 00:41:49,829 说话人 SPEAKER_01：所以我走进了这个房间，那里有一大群顾问，我和他们谈了好一会儿，包括说，我认为人工智能创造的就业机会不会像它所取代的那么多。
508 00:41:50,510 --> 00:41:54,054 说话人 SPEAKER_01: 因此他们需要像全民基本收入这样的东西。
509 00:41:55,570 --> 00:42:05,822 说话人 SPEAKER_01: 当会议结束时，我开始出门，意识到我正站在一张巨大的玛格丽特·撒切尔画像前，向人们解释他们应该有社会主义。
510 00:42:06,362 --> 00:42:08,804 说话人 SPEAKER_01: 我站在一张大玛格丽特·撒切尔的画像前，这相当有趣。
511 00:42:11,188 --> 00:42:11,407 说话人 SPEAKER_00: 好的。
512 00:42:11,967 --> 00:42:14,650 说话人 SPEAKER_00：所以是全民基本收入。
513 00:42:14,891 --> 00:42:20,498 说话人 SPEAKER_00：那么，在人工智能的世界里，杰弗里·辛顿的监管计划还包括了哪些内容？
514 00:42:20,478 --> 00:42:29,074 说话人 SPEAKER_01：我认为一个很直接的想法，萨姆·艾尔顿可能不会喜欢，就是应该投入相当的资源来确保安全。
515 00:42:30,077 --> 00:42:39,215 说话人 SPEAKER_01：如果你看看至少一个离开 OpenAI 的人的声明，因为他们认为 OpenAI 对安全的重视程度不够，那是因为资源问题。
516 00:42:41,581 --> 00:42:42,181 说话人 SPEAKER_01：我认为
517 00:42:42,802 --> 00:42:49,771 说话人 SPEAKER_01：如果政府能够的话，应该坚持投入更多资源用于安全。
518 00:42:50,152 --> 00:42:51,574 说话人 SPEAKER_01：这有点像石油公司。
519 00:42:51,614 --> 00:43:00,704 说话人 SPEAKER_01：你可以坚持让他们投入大量资源清理垃圾填埋场和清理他们排放的东西。
520 00:43:01,246 --> 00:43:02,266 说话人 SPEAKER_01：政府可以做到这一点。
521 00:43:02,286 --> 00:43:04,610 说话人 SPEAKER_01：如果政府做不到这一点，他们就会继续胡言乱语。
522 00:43:05,190 --> 00:43:12,539 说话人 SPEAKER_01：这显然是政府的作用，让资本主义在没有摧毁一切的情况下运转。
523 00:43:13,010 --> 00:43:14,110 说话人 SPEAKER_01：这正是他们应该做的事情。
524 00:43:15,873 --> 00:43:17,355 说话人 SPEAKER_00: 但有一个更简单的方法来做这件事，对吧？
525 00:43:17,394 --> 00:43:23,501 说话人 SPEAKER_00: 我的意思是，政府可以监管这些大公司，要求它们关注安全，我们需要审计并确保它们这样做。
526 00:43:24,362 --> 00:43:35,494 说话人 SPEAKER_00: 但政府也可以资助大量的安全研究，收集大量的政府数据，并将其提供给安全研究人员，资助大量的计算资源并分配给安全研究人员。
527 00:43:35,554 --> 00:43:42,983 说话人 SPEAKER_00: 那么这里的政府官员都应该建立人工智能吗？联合国应该建立一个人工智能安全研究所吗？
528 00:43:44,650 --> 00:43:50,365 说话人 SPEAKER_01：我认为联合国资金相当紧张，联合国不得不做一些像在加沙给人们提供食物的事情。
529 00:43:51,990 --> 00:43:53,835 说话人 SPEAKER_01：我宁愿它用这些钱在加沙给人们提供食物。
530 00:43:53,856 --> 00:43:55,942 说话人 SPEAKER_01：我认为联合国没有这些资源。
531 00:43:56,784 --> 00:44:00,094 说话人 SPEAKER_01：也许它应该有这些资源，但它没有。
532 00:44:00,074 --> 00:44:02,657 说话人 SPEAKER_01：我认为加拿大没有这样的资源。
533 00:44:02,737 --> 00:44:10,070 说话人 SPEAKER_01：加拿大已经做出了严肃的努力，为大学和初创企业投入资金用于计算。
534 00:44:10,710 --> 00:44:17,641 说话人 SPEAKER_01：所以他们最近投入了 200 亿美元，这在加拿大来说是一笔巨款。
535 00:44:17,661 --> 00:44:20,547 说话人 SPEAKER_01：但这与大型公司能做的事情相比，微不足道。
536 00:44:21,588 --> 00:44:27,077 说话者 SPEAKER_01：也许像沙特阿拉伯这样的国家可以投入相当的资金，但我并不确定他们是否对安全感兴趣。
537 00:44:27,445 --> 00:44:34,610 说话者 说话者_00：所以杰夫，我们只剩下一分钟了，尽管你给出了精彩、精彩、迅速的回答，我还有14个问题。
538 00:44:35,110 --> 00:44:36,797 说话者 SPEAKER_00：所以我将在最后问一个大问题。
从所有这些人工智能研究中，你一直在研究大脑是如何工作的。
540 00:44:42,797 --> 00:44:45,161 说话人 SPEAKER_00：你对为什么我们睡觉有令人难以置信的理论。
541 00:44:46,304 --> 00:44:49,429 说话人 SPEAKER_00：如果你有机会和 Hinton 博士交谈，我建议你问他那个问题。
542 00:44:50,512 --> 00:44:58,025 说话人 SPEAKER_00：在过去一年半的 AI 爆炸中，关于大脑我们学到了什么让你感到惊讶的？
543 00:44:59,844 --> 00:45:00,827 说话人 SPEAKER_01：哦，那让我感到惊讶。
544 00:45:01,507 --> 00:45:06,695 说话人 SPEAKER_01：我宁愿回顾几年前的经历，真正让我惊讶的是这些大型语言模型有多么出色。
545 00:45:07,577 --> 00:45:18,255 说话人 SPEAKER_01：我认为我在 1985 年创建了第一个使用反向传播来尝试预测一系列单词中下一个单词的语言模型。
546 00:45:18,735 --> 00:45:20,297 说话人 SPEAKER_01：这个序列只有三个单词长。
547 00:45:20,338 --> 00:45:26,527 说话人 SPEAKER_01：这是一个只有几千个权重的整个系统，但它是这种类型模型的第一例。
548 00:45:26,507 --> 00:45:35,324 说话人 SPEAKER_01：当时，我对它似乎能够统一两种关于词义的理论感到非常兴奋。
549 00:45:35,965 --> 00:45:38,572 说话人 SPEAKER_01：一种理论是它与其他词的关系有关。
550 00:45:39,052 --> 00:45:40,635 说话人 SPEAKER_01：这就是德·索绪尔的理论。
551 00:45:41,277 --> 00:45:45,445 说话人 SPEAKER_01：另一个来自心理学家的理论是，这是一个庞大的语义特征集合。
552 00:45:45,862 --> 00:45:57,967 说话人 SPEAKER_01：我们现在通过学习嵌入并让不同单词或词片段的嵌入特征之间进行交互，我们已经成功统一了这两种不同的意义理论。
553 00:45:58,427 --> 00:46:05,442 说话人 SPEAKER_01：我相信，我们现在拥有真正理解它们所说内容的巨大语言模型，几乎和人类一样。
554 00:46:05,422 --> 00:46:15,016 说话人 SPEAKER_01：所以我想说的最后一个观点是，这些语言模型的起源，使用反向传播来预测下一个单词，并不是为了创造一项好的技术。
555 00:46:15,318 --> 00:46:17,221 说话人 SPEAKER_01：这是为了尝试理解人们是如何做到的。
556 00:46:17,842 --> 00:46:24,873 说话人 SPEAKER_01：所以我认为人们理解语言的方式，我们最好的模型就是这些大型 AI 模型。
557 00:46:25,833 --> 00:46:29,659 说话人 SPEAKER_01：那些说“不”，他们实际上并不理解，这是胡说。
558 00:46:29,719 --> 00:46:32,103 说话人 SPEAKER_01：他们理解的方式和我们理解的方式一样。
559 00:46:33,130 --> 00:46:34,753 说话人 SPEAKER_00：好吧，嗯，我们得在这个话题上结束。
560 00:46:34,793 --> 00:46:42,574 说话人 SPEAKER_00：得知杰夫·辛顿那令人难以置信的智慧以某种方式支撑着我们今天使用的所有 AI 模型，这让我感到一丝欣慰。
561 00:46:42,594 --> 00:46:44,117 Speaker SPEAKER_00: 非常感谢，Hinton 博士。
562 00:46:44,358 --> 00:46:45,400 Speaker SPEAKER_00: 感谢您今天加入我们。
563 00:46:46,384 --> 00:46:46,784 Speaker SPEAKER_01: 谢谢。
