1 00:00:00,031 --> 00:00:01,993 说话人 SPEAKER_04: 好吧。
489 00:38:00,509 --> 00:38:04,757 说话人 SPEAKER_05：你不应该，我的意思是，所以，是这样的。
490 00:38:04,838 --> 00:38:06,039 说话人 SPEAKER_05：让我们先把这个问题解决掉。
491 00:38:06,019 --> 00:38:12,628 说话人 SPEAKER_05：所以我认为存在的风险超过 50%。
492 00:38:12,889 --> 00:38:15,391 说话人 SPEAKER_05：但我这么说并不是因为其他人认为风险更低。
493 00:38:16,012 --> 00:38:21,760 说话人 SPEAKER_05：我认为一个考虑了我所认识的人们的意见的合理方案大约是 10%到 20%。
494 00:38:21,820 --> 00:38:27,387 说话人 SPEAKER_05：我们有很大的机会生存下来，但我们最好认真思考如何做到这一点。
495 00:38:29,594 --> 00:38:39,588 说话人 SPEAKER_05：我认为我们最终会做的是，希望在他们变得比我们聪明之前，我们能够拥有具有通用智能但并不完全如我们优秀的事物。
496 00:38:40,268 --> 00:38:49,400 说话人 SPEAKER_05：我们将能够对它们进行实验，看看会发生什么，看看它们是否会试图夺取控制权，看看它们是否会开始进化。
497 00:38:50,483 --> 00:38:52,945 说话人 SPEAKER_05：嗯，我们还能控制它们，但只是刚刚。
498 00:38:54,106 --> 00:38:55,989 说话人 SPEAKER_05：那将是一个非常激动人心的时刻。
499 00:39:01,235 --> 00:39:14,469 说话人 SPEAKER_04：我只是好奇，人们，我想，根据你们刚才谈话的内容，可能会对你们所说的“哦，但你是 Kowski 99.999”感到惊讶。
500 00:39:15,351 --> 00:39:17,653 说话人 SPEAKER_04：你听起来也很悲观。
501 00:39:17,934 --> 00:39:18,253 说话人 SPEAKER_04: 哎，不。
502 00:39:18,273 --> 00:39:19,235 说话人 SPEAKER_04: 但我觉得那太疯狂了。
503 00:39:19,295 --> 00:39:21,737 说话人 SPEAKER_04: 所以我想知道你会如何划分对比。
504 00:39:21,757 --> 00:39:25,081 说话人 SPEAKER_04: 因为你说了很多人们容易出错的事情。
505 00:39:31,137 --> 00:39:35,266 说话人 SPEAKER_05：我的意思是，我经常对自己说，我有点轻微的抑郁。
506 00:39:35,387 --> 00:39:40,619 说话人 SPEAKER_05：我认为我们毫无头绪，所以 50%是个不错的数字。
507 00:39:43,246 --> 00:39:47,896 说话人 SPEAKER_05：但其他人认为我们有些线索，所以我将其调整为 10%到 20%。
508 00:39:53,411 --> 00:39:56,898 说话人 SPEAKER_04：我们构建了非常强大的 AI，如果它们想的话，它们可以接管。
509 00:39:57,818 --> 00:39:58,721 说话人 SPEAKER_04：你的猜测是什么？
510 00:39:58,740 --> 00:40:02,405 说话人 SPEAKER_08：那是去年。
511 00:40:02,427 --> 00:40:03,809 说话人 SPEAKER_04：好吧。
512 00:40:03,969 --> 00:40:09,077 说话人 SPEAKER_04：你对那种参考类别中人们信念分布的猜测是什么？
513 00:40:09,637 --> 00:40:14,766 说话人 SPEAKER_04：这是否会变成一种人们提前两年就基本认真对待的问题，还是不会？
514 00:40:15,306 --> 00:40:16,710 说话人 SPEAKER_04：您可以根据现在的时间来回答。
515 00:40:16,730 --> 00:40:17,952 说话人 SPEAKER_05：可能还不够认真。
516 00:40:17,972 --> 00:40:20,735 说话人 SPEAKER_05：但我认为他们中的很多人实际上是在认真对待的。
517 00:40:20,715 --> 00:40:23,420 说话人 SPEAKER_05：但并不是认真到足够的地步。
518 00:40:23,981 --> 00:40:26,606 说话人 SPEAKER_05：我认为你们必须经历一场大灾难，他们才会认真对待。
519 00:40:27,108 --> 00:40:27,668 说话人 SPEAKER_04：会发生这样的事情吗？
520 00:40:29,391 --> 00:40:38,188 说话人 SPEAKER_05：你可以想象一些流氓 AI 试图接管并破坏电网、水系统等，实际上却无法管理。
521 00：40：39,449 --> 00：40：41,052 议长 SPEAKER_05：那会让他们认真对待的。
