1 00:00:02,443 --> 00:00:06,528 说话人 SPEAKER_02：为这段视频的主题人物 Geoffrey Hinton 写一个简短的介绍。
453 00:41:11,431 --> 00:41:13,554 说话人 SPEAKER_00：这就是为什么谷歌没有发布这些聊天机器人。
454 00:41:13,574 --> 00:41:14,454 说话人 SPEAKER_00：它将它们保留为私密。
455 00:41:14,755 --> 00:41:16,697 说话人 SPEAKER_00：它不想让它们在世界各地供人们玩耍。
456 00:41:17,259 --> 00:41:26,632 说话人 SPEAKER_00: 它想利用它们来给你提供更好的搜索结果，或者帮你完成 Gmail，但不是把它们给人们去玩。
457 00:41:27,472 --> 00:41:33,440 说话人 SPEAKER_00: 直到 OpenAI 和微软把它们推出来，然后谷歌不得不竞争。
458 00:41:34,101 --> 00:41:39,449 说话人 SPEAKER_00: 但大公司的大人物们真的很在乎他们的声誉，以及不想产生不良影响。
459 00:41:40,451 --> 00:41:49,663 说话人 SPEAKER_00: 但也许可以通过政府采取行动，坚持要求他们在这方面投入大量工作，来让他们更加关注安全问题。
460 00:41:50,545 --> 00:41:52,367 说话人 SPEAKER_00: 还可能有其他事情会发生，比如
461 00:41:54,085 --> 00:42:07,086 说话人 SPEAKER_00: 在公司内部让人们专注于长期存在的威胁是非常困难的，因为他们是由公司支付的，存在利益冲突，这也是我离开谷歌的原因之一。
462 00:42:07,527 --> 00:42:10,992 说话人 SPEAKER_00: 不是因为谷歌做了什么错事，只是我不想有任何利益冲突。
463 00:42:13,376 --> 00:42:19,688 说话人 SPEAKER_00: 大型公司肯定可以做的一件事是，投入更多资金支持研究这些问题的基金会。
464 00:42:20,208 --> 00:42:27,518 说话人 SPEAKER_00: 例如，谷歌投入了 3 亿美元到名为 Anthropic 的基金会，该基金会正在研究这些事物。
465 00:42:29,579 --> 00:42:30,902 说话人 SPEAKER_00: 他们可以投入更多的资金。
466 00:42:32,463 --> 00:42:46,822 说话人 SPEAKER_01: 我很好奇您会给那些刚刚进入这个领域的研究人员什么建议或指导，他们想要确保自己在推进这个领域的同时，也要以负责任的方式进行。
467 00:42:48,777 --> 00:42:57,739 说话人 SPEAKER_00: 好吧，我给出的一个建议是看看有多少人在努力让这些事物变得更好，有多少人在努力防止它们失控。
468 00:42:57,798 --> 00:43:03,353 说话人 SPEAKER_00：你会看到有 99 个人在努力让它们变得更好，而一个人在努力防止它们失控。
469 00:43:03,954 --> 00:43:06,280 说话人 SPEAKER_00：那么你可以在哪里产生最大的影响呢？
470 00:43:06,260 --> 00:43:09,123 说话人 SPEAKER_00：可能是在防止它们失控的工作上。
471 00:43:09,143 --> 00:43:10,563 说话人 SPEAKER_00：这是第一条建议。
472 00:43:11,405 --> 00:43:23,655 说话人 SPEAKER_00：另一条建议是给年轻研究者的普遍建议，那就是寻找你认为大家都在做错的地方，并相信你的直觉。
473 00:43:24,697 --> 00:43:33,465 说话人 SPEAKER_00：直到你弄清楚为什么你的直觉是错误的，相信它，并在你认为别人都做错的时候，尝试其他不同的方法。
474 00:43:34,710 --> 00:43:37,054 说话人 SPEAKER_00：事实上，要么你有好的直觉，要么你没有。
475 00:43:37,675 --> 00:43:43,943 说话人 SPEAKER_00：如果你有好的直觉，你应该听从它们，跟随你的直觉，并在此基础上工作，直到你发现为什么它是错误的。
476 00:43:45,344 --> 00:43:49,289 说话人 SPEAKER_00：如果你有糟糕的直觉，那么你做什么其实都无关紧要，所以你不妨跟随你的直觉。
477 00:43:51,271 --> 00:43:55,737 说话人 SPEAKER_02：你描述的风险令人震惊，但你不能只是按一个开关就关闭它吗？
478 00:43:56,840 --> 00:43:59,643 说话人 SPEAKER_02：人类最终不是仍然处于控制之中吗？
479 00:44:00,483 --> 00:44:04,009 说话人 SPEAKER_00：认为我们可以简单地将其关闭是非常诱人的。
480 00:44:05,827 --> 00:44:08,010 说话人 SPEAKER_00：想象这些事物比我们聪明得多。
481 00:44:08,871 --> 00:44:12,074 说话人 SPEAKER_00：并且记住，他们会阅读马基雅维利所写的所有东西。
482 00:44:12,755 --> 00:44:16,697 说话人 SPEAKER_00：他们会阅读人类欺骗文献中的每一个例子。
483 00:44:17,739 --> 00:44:21,123 说话人 SPEAKER_00：他们会成为人类欺骗的真正专家，因为他们会从我们这里学到这一点。
484 00:44:22,324 --> 00:44:23,525 说话人 SPEAKER_00: 他们会比我们好得多。
485 00:44:24,346 --> 00:44:26,588 说话人 SPEAKER_00: 他们会像你操纵一个小孩一样。
486 00:44:27,509 --> 00:44:29,891 你知道，你会对你的小孩说，你想吃豌豆还是花椰菜？
487 00:44:30,351 --> 00:44:34,215 你的小孩实际上并不需要两者都要。
488 00:44:34,364 --> 00:44:39,449 说话人 SPEAKER_00: 他只考虑他最讨厌的，然后说他要选择另一个。
489 00:44:39,831 --> 00:44:46,679 说话人 SPEAKER_00: 所以如果他们能操纵人们，他们就能操纵人们去按按钮和拉杆。
490 00:44:47,960 --> 00:44:50,163 说话人 SPEAKER_00: 所以我们有一个很好的例子，唐纳德·特朗普。
491 00:44:50,262 --> 00:44:55,630 说话人 SPEAKER_00: 唐纳德·特朗普能操纵人们，所以他可以在没有亲自去过那里的情况下入侵华盛顿的一座建筑。
492 00:44:57,231 --> 00:45:00,996 说话人 SPEAKER_00: 你不必阻止唐纳德·特朗普做任何身体上的事情。
493 00:45:01,887 --> 00:45:04,128 说话人 SPEAKER_00: 你必须阻止他说话，以防止这种情况发生。
494 00:45:05,070 --> 00:45:06,030 说话人 SPEAKER_00: 这些是聊天机器人。
495 00:45:06,731 --> 00:45:12,557 说话人 SPEAKER_00: 所以，仅仅通过谈话，他们无法造成任何真正的伤害，因为这需要人们去造成伤害。
496 00:45:13,018 --> 00:45:17,483 说话人 SPEAKER_00：一旦你能操纵人们，那么你就能完成任何你想做的事情。
497 00:45:20,125 --> 00:45:26,010 说话人 SPEAKER_02：你致力于研究人类大脑的工作原理，并在人工智能发展中发挥了关键作用。
498 00:45:26,711 --> 00:45:28,653 说话人 SPEAKER_02：接下来对你来说，杰弗里·辛顿，是什么？
499 00:45:30,202 --> 00:45:38,070 说话人 SPEAKER_00：好的，我 75 岁了，我已经到了写程序不太擅长的地步，因为我总是忘记我正在使用的变量名和其他类似的事情。
500 00:45:38,711 --> 00:45:42,356 说话人 SPEAKER_00: 我忘了... 我复制粘贴了，却忘记修改粘贴的内容。
501 00:45:43,237 --> 00:45:47,762 说话人 SPEAKER_00: 所以我在编程上慢了很多，这非常令人烦恼。
502 00:45:48,202 --> 00:45:50,804 说话人 SPEAKER_00: 没有像以前那样做得好，这非常令人烦恼。
503 00:45:52,065 --> 00:45:58,572 说话人 SPEAKER_00: 很久以前我就决定，当我达到那个地步时，我会成为一个哲学家。
504 00:45:59,684 --> 00:46:01,188 说话者 SPEAKER_00：所以我将成为一个哲学家。
