1 00:00:16,821 --> 00:00:17,463 演讲者 SPEAKER_07: 大家好。
456 00:41:25,094 --> 00:41:25,974 说话人 SPEAKER_07：它有意识的感觉吗？
457 00:41:26,094 --> 00:41:28,759 说话人 SPEAKER_07：还是它只是在模拟感觉及其影响？
458 00:41:30,157 --> 00:41:32,460 说话人 SPEAKER_00: 好吧，这是一个有争议的问题。
459 00:41:33,923 --> 00:41:35,507 说话人 SPEAKER_00: 所以以几种方式来回答它。
460 00:41:35,547 --> 00:41:43,481 说话人 SPEAKER_00: 首先，关于意识，从古至今，哲学家们对意识有着许多不同的看法，对吧？
461 00:41:43,521 --> 00:41:48,351 说话人 SPEAKER_00: 而直到 20 世纪 80 年代，它才
462 00:41:48,331 --> 00:41:53,099 讲者 SPEAKER_00: 不可接受，这始终是一个科学研究的禁忌领域。
463 00:41:53,659 --> 00:42:08,403 讲者 SPEAKER_00: 20 世纪 80 年代，随着伯纳德·巴尔的全球工作空间理论和 fMRI 的出现，你可以无创地观察大脑，人们开始更科学地研究意识。
464 00:42:08,744 --> 00:42:12,972 讲者 SPEAKER_00: 现在关于意识有两种主要理论。
465 00:42:12,952 --> 00:42:16,561 讲者 SPEAKER_00: 嗯，有很多理论，但有两种是相对竞争的。
466 00:42:17,081 --> 00:42:28,210 讲者 SPEAKER_00：其中一个是全局神经元工作空间理论，这里我们关注的是全局工作空间，观察大脑，像 Dehane、Shanzhou、Meshour 等人
467 00:42:28,190 --> 00:42:36,067 讲者 SPEAKER_00：在脑内观察事物，大致勾勒出可能是短期记忆、长期记忆、意识等。
468 00:42:36,527 --> 00:42:40,436 讲者 SPEAKER_00：然后还有一种理论，看起来更偏向数学。
469 00:42:40,456 --> 00:42:44,545 讲者 SPEAKER_00：所以我认为我们的理论非常接近全局神经元
470 00:42:44,525 --> 00:42:45,346 说话人 SPEAKER_00: 工作空间。
471 00:42:45,427 --> 00:42:48,932 说话人 SPEAKER_00: 我们把它看作是我们抽象出来的东西。
472 00:42:48,972 --> 00:42:55,344 说话人 SPEAKER_00: 然后还有一个与之竞争的理论，称为集成信息理论。
473 00:42:55,403 --> 00:43:06,322 说话人 SPEAKER_00: 这似乎是一个更数学化的理论，它基于某种反馈系统来衡量意识。
474 00:43:06,862 --> 00:43:09,688 说话者 SPEAKER_00: 好的，所以再次
475 00:43:09,668 --> 00:43:12,331 说话者 SPEAKER_00: 我们也喜欢这个理论，因为它可以给出一个度量。
476 00:43:12,472 --> 00:43:17,358 说话者 SPEAKER_00: 但是，正如人们所指出的，在这个理论中，恒温器也有意识的度量。
477 00:43:17,898 --> 00:43:23,565 说话者 SPEAKER_00: 所以 Giulio Tononi 是这个理论的发明者，也是与 Koch 一起。
478 00:43:24,306 --> 00:43:30,875 讲者 SPEAKER_00：我认为他们今天会这么说，我们所有的计算机都有一定程度的意识。
479 00:43:31,315 --> 00:43:38,224 讲者 SPEAKER_00：因为如果恒温器有意识，当然计算机也会有。
480 00:43:38,304 --> 00:43:44,996 讲者 SPEAKER_00：但我们现在不相信计算机或系统有太多意识。
481 00:43:45,498 --> 00:43:51,248 讲者 SPEAKER_00：但正如我之前说的，关键不是算法或输入输出映射，我们感觉这一点非常关键。
482 00:43:51,668 --> 00:43:54,753 说话人 SPEAKER_00：这实际上是架构、动态以及它在做什么。
483 00:43:55,153 --> 00:44:00,043 说话人 SPEAKER_00：所以如果你解开某个系统，如果某个系统有意识，你解开它，
484 00:44:01,036 --> 00:44:06,070 说话人 SPEAKER_00：并且它可能有逻辑上等价输入输出，它可能不再有意识。
485 00:44:06,150 --> 00:44:08,757 说话人 SPEAKER_00：这也符合 IIT（集成信息理论）。
486 00:44:09,217 --> 00:44:13,510 演讲者 演讲者_00：我们认为动态和架构对于赋予这种意识至关重要。
487 00:44:13,871 --> 00:44:16,277 演讲者 演讲者_00：所以，好吧。
488 00:44:16,257 --> 00:44:23,889 演讲者 演讲者_00：现在，关于动物是否是我们人类，唯一有意识的实体，存在争议。
489 00:44:24,028 --> 00:44:38,172 演讲者 演讲者_00：我们再次认为这种意识非常普遍，有许多研究，如何知道某物是否有意识，需要像图灵测试这样的东西来测试系统是否有意识，我们正在研究这个问题。
490 00:44:38,291 --> 00:44:41,016 演讲者 演讲者_00：有一种叫做镜像测试的东西，
491 00:44:41,181 --> 00:44:47,289 演讲者 演讲者_07：让我们简短地回答，然后继续。
492 00:44:47,309 --> 00:44:47,489 演讲者 演讲者_00：好的。
493 00:44:48,311 --> 00:44:58,003 演讲者 演讲者_00：所以我们正在研究一种广义测试，一种广义的镜像测试，它可以用来测试系统是否具有意识。
494 00:44:58,965 --> 00:45:04,393 说话人 SPEAKER_00: 但简短的回答是，目前机器可能没有意识。
495 00:45:05,134 --> 00:45:05,373 说话人 SPEAKER_07: 谢谢。
496 00:45:05,775 --> 00:45:09,719 说话人 SPEAKER_07: 为了公平起见，让我们开始回答观众的问题。
497 00:45:12,467 --> 00:45:21,438 说话人 SPEAKER_06: 是的，我们有一个来自 Twitter 的问题。
498 00:45:23,240 --> 00:45:25,322 演讲者 SPEAKER_06：这与之前的一些讨论有关。
499 00:45:25,422 --> 00:45:29,027 演讲者 SPEAKER_06：所以问题是来自 Adriano 的，问题如下。
500 00:45:29,788 --> 00:45:32,931 演讲者 SPEAKER_06：人类是如何记住存储记忆的时间顺序的？
501 00:45:33,913 --> 00:45:37,918 演讲者 SPEAKER_06：也就是说，我知道我今天做了什么，以及它们的顺序。
502 00:45:38,219 --> 00:45:40,983 讲者 SPEAKER_06: 这可能依赖于，引用来说，位置细胞。
503 00:45:42,164 --> 00:45:43,588 讲者 SPEAKER_06: 深度学习中有没有等效的东西？
504 00:45:47,173 --> 00:45:53,143 讲者 SPEAKER_01: 我想如果你有任何可以学习序列的东西，那就没问题，对吧？
505 00:45:53,583 --> 00:45:57,590 讲者 SPEAKER_01: 任何循环网络都会记住事物的顺序，如果它记得序列的话。
506 00:46:00,534 --> 00:46:02,217 演讲者 SPEAKER_02：我不太明白这个问题，我想。
507 00:46:04,527 --> 00:46:12,539 演讲者 SPEAKER_04：在这个问题上几乎没有人类的工作，但在关于迷宫学习的导航文献中，有很多关于老鼠和老鼠的工作。
508 00:46:12,818 --> 00:46:33,588 演讲者 SPEAKER_04：所以关于这些序列是如何存储的，以及本质上从一个位置移动到另一个位置可以引发涉及移动到下一个位置的预测活动，我们知道很多，我的意思是，我不会说一切都已知晓，但关于这些空间移动序列的存储以及如何从一个位置移动到另一个位置引发预测活动，我们知道很多。
509 00:46:34,025 --> 00:46:35,967 演讲者 SPEAKER_04：在序列中。
510 00：46：35,987 --> 00：46：36,887 演讲者 SPEAKER_04：但这些都是非常本地化的。
511 00:46:42,693 --> 00:46:43,114 演讲者 SPEAKER_06: 好的。
512 00:46:43,534 --> 00:46:43,815 演讲者 SPEAKER_06: 有谁吗？
513 00:46:43,875 --> 00:46:44,755 演讲者 SPEAKER_07: 没有问题。
514 00:46:44,775 --> 00:46:44,876 演讲者 SPEAKER_07: 嗯。
515 00:46:44,896 --> 00:46:45,396 演讲者 SPEAKER_07：还有其他问题吗？
516 00:46:46,577 --> 00:46:53,704 演讲者 SPEAKER_06：现在推特上没有了，但是任何人都可以在 Meet 链接上自由地取消静音并提问。
517 00:46:58,769 --> 00:46:58,891 演讲者 SPEAKER_07：好的。
518 00:46:58,911 --> 00:47:00,251 演讲者 SPEAKER_07：同时，我有一个问题。
519 00:47:00,737 --> 00:47:05,686 说话人 SPEAKER_07：如果我们看看编程语言和自然语言，它们看起来非常不同。
520 00:47:07,268 --> 00:47:16,382 说话人 SPEAKER_07：编译理论和解析方法是否可以应用于编程语言，它们能否应用于自然语言，或者 NLP 完全是不同的？
521 00:47:19,407 --> 00:47:22,070 说话人 SPEAKER_05：也许我可以回答这个问题。
522 00:47:22,338 --> 00:47:26,585 说话人 SPEAKER_05：两者都是语言，它们有共同之处。
523 00:47:27,045 --> 00:47:27,786 讲者 SPEAKER_05: 这是一个代码。
524 00:47:28,128 --> 00:47:37,304 讲者 SPEAKER_05: 它是一种具有某些语义的符号序列，你知道，在一种情况下是人与人之间，在另一种情况下是人与计算机之间。
525 00:47:37,905 --> 00:47:44,615 讲者 SPEAKER_05: 我认为这些传统上发展的方式相当不同。
526 00:47:44,596 --> 00:47:50,905 讲者 SPEAKER_05: 计算机语言是以某种方式定义和构建的，而人类语言则是更进化的。
527 00:47:51,065 --> 00:47:58,697 讲者 SPEAKER_05：我认为在未来，我看到的是一个更加融合的世界。
528 00:47:59,559 --> 00:48:12,038 讲者 SPEAKER_05：例如，我们有系统，我认为编程的本质应该发展到更接近自然语言的程度，不一定是你和电脑对话，而是在
529 00:48:12,018 --> 00:48:16,273 讲者 SPEAKER_05：从某些方面受益于自然语言中的不明确性。
530 00:48:16,590 --> 00:48:19,054 讲者 SPEAKER_05：你所拥有的那种不明确性。
531 00:48:19,074 --> 00:48:22,818 演讲者 SPEAKER_05：我想说的是，如果你思考一下自然语言为什么有帮助，主要有两点。
532 00:48:22,998 --> 00:48:31,108 演讲者 SPEAKER_05：一是它具有组合性，所以你可以用一些符号组合成无限种方式，提供丰富的意义。
533 00:48:31,427 --> 00:48:32,909 演讲者 SPEAKER_05：这一点与编程语言是共有的。
534 00:48:33,710 --> 00:48:35,452 演讲者 SPEAKER_05：另一个是你不明确指定。
535 00:48:35,672 --> 00:48:42,260 说话人 SPEAKER_05：因为你有丰富的上下文，所以对面有一个有智慧的生物在听你说的话，所以你不必把所有的话都说出来。
536 00:48:42,240 --> 00:48:49,148 说话人 SPEAKER_05：这也是自然语言比编程更有效的原因，因为你必须指定一切。
537 00:48:49,847 --> 00:49:01,719 说话人 SPEAKER_05：但我认为在未来，希望编程能引领我们进入一个可以不指定一切也能使事情更高效的世界。
538 00:49:01,739 --> 00:49:08,005 说话人 SPEAKER_01：所以我认为自然语言有很多疯狂的捷径，这使得它与编程语言有所不同。
539 00:49:08,545 --> 00:49:11,268 说话人 SPEAKER_01：就像，你说“我会试试做”，
540 00:49:12,126 --> 00:49:15,030 说话人 SPEAKER_01：但你并不是真的想说“我会试试做”。
541 00:49:15,532 --> 00:49:17,054 说话人 SPEAKER_01：你是想说“我会努力做”。
542 00:49:17,855 --> 00:49:20,117 说话人 SPEAKER_01：但你之所以说“我会试试做”，是因为这样说更容易。
543 00:49:20,157 --> 00:49:22,382 说话人 SPEAKER_01：语言中充满了这种东西。
544 00:49:23,103 --> 00:49:26,887 说话人 SPEAKER_01：对于任何想要为自然语言编写语义的人来说，这都是一场噩梦。
545 00:49:28,329 --> 00:49:28,590 说话人 SPEAKER_03：是的。
546 00:49:28,871 --> 00:49:30,373 说话人 SPEAKER_03：我也认为它们相当不同。
547 00:49:30,592 --> 00:49:32,615 讲者 SPEAKER_03：我认为思维是有数学模型的。
548 00:49:32,797 --> 00:49:38,684 讲者 SPEAKER_03：编程语言非常可重复，非常严格，两位程序员阅读同一代码会有相同的执行结果。
549 00:49:39,065 --> 00:49:47,456 讲者 SPEAKER_03：而人类，所写的内容，其解释不同，取决于你的经验，取决于你的心情，它非常多样，非常模糊。
550 00:49:47,775 --> 00:49:50,519 讲者 SPEAKER_03：这赋予了语言真正的弹性。
551 00:49:51,099 --> 00:49:54,204 演讲者 SPEAKER_03：现在的编程语言非常脆弱。
552 00:49:54,324 --> 00:50:01,572 演讲者 SPEAKER_03：所以一些模糊的编程语言，可能是一种概率性语言，正朝着这个方向发展，但在我心中，它们是相当不同的。
553 00:50:04,726 --> 00:50:17,931 演讲者 SPEAKER_05：也许只是要加入一点，稍微平衡一下，我认为如果你非常粗略地看，只看语法，语言的语法实际上是非常严格的，对吧？
554 00:50:17,952 --> 00:50:23,663 演讲者 SPEAKER_05：我的意思是，当然，有一些灰色区域，那里的东西不是语法上的，但大体上，
555 00:50:23,643 --> 00:50:41,331 讲者 SPEAKER_05：形容词放在名词前面的这种想法以及所有这些规则，尤其是如果你从语音学和形态学的角度来看，你会发现一些东西具有一种紧凑性和刚性，这些是你仅仅认为“任何东西都可以放”时可能不会预料的。
556 00:50:41,311 --> 00:50:54,088 讲者 SPEAKER_05：所以，语言似乎已经收敛到某种可以用形式语言描述的东西，几十年来，人们一直在尝试这样做，这让你达到一定的程度。
557 00:50:54,690 --> 00:51:07,047 讲者 SPEAKER_05：这让你觉得它确实告诉你关于语言的一些东西，你有了对语言的科学洞察，但这还远远不够，无法解释整个自然语言。
558 00:51:08,311 --> 00:51:15,259 讲者 SPEAKER_03：但是，我认为即使是这种严格的语义也是不完整的，比如说外国人说某种特定的语言。
559 00:51:15,599 --> 00:51:22,768 说话人 SPEAKER_03：所以，语境、声誉、沟通仍然可以达成，编程语言无法做到这一点。
560 00:51:22,827 --> 00:51:25,711 说话人 SPEAKER_03：我还是认为这相当不同。
561 00:51:25,811 --> 00:51:28,155 说话人 SPEAKER_03：也许有一天我们会更接近。
562 00:51:29,597 --> 00:51:38,266 说话人 SPEAKER_03：你可以打破这些语义，沟通仍然可以进行。
563 00:51:39,427 --> 00:51:41,309 演讲者 SPEAKER_06: 我想我们还有时间再问一个问题。
564 00:51:41,409 --> 00:51:44,793 演讲者 SPEAKER_06: 这个问题来自 YouTube，由 Rishabh Singh 提出。
565 00:51:45,715 --> 00:51:46,755 演讲者 SPEAKER_06: 所以问题是这样的。
566 00:51:47,195 --> 00:51:52,101 演讲者 SPEAKER_06: 目前有很多关于心智如何与人工智能/机器学习不同的宏观问题。
567 00:51:52,782 --> 00:51:57,887 讲者 SPEAKER_06: 但根据您的说法，有哪些事物是可以汲取灵感并复制以推进的？
568 00:52:01,351 --> 00:52:02,572 讲者 SPEAKER_01: 我可以就那一点说些什么吗？
569 00:52:02,811 --> 00:52:08,338 讲者 SPEAKER_01: 我认为我们对“心灵”这个术语的含义非常困惑。
570 00:52:08,572 --> 00:52:26,219 讲者 SPEAKER_01: 所以当我说“我看到粉红色的大象”时，我的意思是，我认为我的意思是，我正在经历一种内部大脑状态，如果真的有粉红色的大象存在，这种状态将是真实的。
571 00:52:26,239 --> 00:52:33,972 讲者 SPEAKER_01：关于心理语言有趣的地方不在于它奇怪、神秘的内在性质，而在于它是假设的外在性质。
572 00:52:34,204 --> 00:52:40,474 讲者 SPEAKER_01：我们用来描述感觉和情感的语言都指的是外部事物，比如我感觉想打你。
573 00:52:41,335 --> 00:52:46,141 讲者 SPEAKER_01：我们所拥有的，是我们想要表达我们头脑中正在发生的事情。
574 00:52:46,643 --> 00:52:47,784 讲者 SPEAKER_01：我们还没有为它找到语言。
575 00:52:47,804 --> 00:52:49,947 说话者 SPEAKER_01：如果你提到神经元，那也无济于事。
576 00:52:50,708 --> 00:52:55,755 说话者 SPEAKER_01：所以我们通过说正常原因是什么来指代我们头脑中发生的事情。
577 00:52:56,076 --> 00:52:57,117 说话者 SPEAKER_01：这被称为感觉。
578 00:52:57,557 --> 00:52:58,960 说话者 SPEAKER_01：或者说是正常效果。
579 00:52:59,221 --> 00:53:00,802 说话人 SPEAKER_01：这就是所谓的情感。
580 00:53:00,782 --> 00:53:05,166 说话人 SPEAKER_01：或者在一个特殊情况下，我们可以同时做到这两点，这被称为思想。
581 00:53:05,807 --> 00:53:12,755 说话人 SPEAKER_01：所以，对于思想来说，你可以把任何可以放在引号内的单词串取出来，比如说，弗雷德想，该死，或者弗雷德想，哦，不。
582 00:53:12,775 --> 00:53:29,371 说话人 SPEAKER_01：你的意思就是，弗雷德头脑中发生的事情，是会因为他听到“哦，不”而引起的，实际上会让他说出“哦，不”，因为我们有语言输入和语言输出，与视频不同。
583 00:53:29,469 --> 00:53:34,237 讲者 SPEAKER_01：我认为思想是这样的，它们不是内部符号字符串。
584 00:53:34,597 --> 00:53:43,351 讲者 SPEAKER_01：它们是外部符号字符串，你当前的脑状态可能会让你说出，或者可能会引起你当前的脑状态。
585 00:53:44,052 --> 00:53:49,860 讲者 SPEAKER_01：所以，人们一直认为必须在大脑内部以某种方式进行的这些符号字符串，实际上是外部事物。
586 00:53:49,880 --> 00:53:53,166 讲者 SPEAKER_01：它们被用来指代大脑内部的活动大向量。
587 00:53:54,074 --> 00:53:57,721 讲者 SPEAKER_07：杰克，简单说两句，然后我们就得结束了。
588 00:53:57,740 --> 00:54:11,768 讲者 SPEAKER_04：是的，这是因为这实际上与今天早些时候的一个演讲有关，有几个早些时候的演讲都指出，你知道，目前的图像网络或者任何在 ImageNet 上训练用于分类对象的网络都是不好的。
589 00:54:11,989 --> 00:54:13,331 讲者 SPEAKER_04：这实际上直接
590 00:54:13,632 --> 00:54:15,213 讲者 SPEAKER_04：与杰夫刚才说的相关。
591 00:54:15,293 --> 00:54:16,414 说话人 SPEAKER_04：人类是机器人。
592 00:54:16,534 --> 00:54:17,735 说话人 SPEAKER_04：我们嵌入在世界之中。
593 00:54:17,755 --> 00:54:18,777 说话人 SPEAKER_04：我们存在于世界之中。
594 00:54:19,398 --> 00:54:25,905 说话人 SPEAKER_04：我们的大部分思想和大部分进化压力基本上都涉及到刺激-反应关系。
595 00:54:26,286 --> 00:54:30,489 讲者 SPEAKER_04：我们必须能够参与在世界上富有成效的行为。
596 00:54:30,811 --> 00:54:41,461 讲者 SPEAKER_04：因此，昆虫不会对任何事物进行标记，或者几乎不对任何事物进行标记，也许除了它们同种异性昆虫之外。
597 00:54:41,864 --> 00:54:43,005 讲者 SPEAKER_04：但它们可以分割世界。
598 00:54:43,344 --> 00:54:45,947 讲者 SPEAKER_04：它们必须分割世界，因为它们必须在世界中导航。
599 00:54:46,648 --> 00:54:53,815 讲者 SPEAKER_04：如果你只是尝试解决图像网而不进行分割，那么你得到的基本上是纹理算子，而不是基于对象的东西。
600 00:54:53,894 --> 00:55:02,242 讲者 SPEAKER_04：所以我认为 Jeff 的观点是有效的，我们做的每一件事都涉及到世界的状态或我们在世界中的行为。
601 00:55:02,302 --> 00:55:09,389 讲者 SPEAKER_04：而且我们的大脑架构都是设计在机器人、我们作为机器人的背景下。
602 00:55:10,027 --> 00:55:12,099 讲者 SPEAKER_07：好的，时间到了。
603 00:55:12,179 --> 00:55:15,797 主持人 SPEAKER_07：感谢所有专家的这些深刻回应。
604 00:55:16,239 --> 00:55:18,108 主持人 SPEAKER_07：我们将在两分钟后进入下一环节。
605 00:55:18,128 --> 00:55:18,672 主持人 SPEAKER_07：非常感谢。
